Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,248,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,349207,607,Successful,50.0,50.0,37.3,48.2,OpenPlay,False
Pass,0,4,117776,607,Successful,36.4,51.2,27.4,41,OpenPlay,False
Pass,0,6,19859,607,Successful,27.2,46.0,26.2,67.4,OpenPlay,False
Pass,0,10,334087,607,Successful,30.3,72.1,22.7,55.5,OpenPlay,False
Pass,0,13,19859,607,Successful,23.8,54.8,27.6,14.3,OpenPlay,False
Pass,0,16,117776,607,Successful,29.4,16.8,24.4,52.4,OpenPlay,False
Pass,0,19,19859,607,Successful,27.5,56.1,32.8,79.1,OpenPlay,False
Pass,0,22,334087,607,Successful,33.4,76.6,27.3,56.1,OpenPlay,False
Pass,0,25,19859,607,Successful,29.6,50.3,34.9,22.5,OpenPlay,False
Pass,0,30,117776,607,Successful,41.4,17.9,34.4,47.8,OpenPlay,False
Pass,0,32,19859,607,Successful,37.6,51.2,43.1,73.8,OpenPlay,False
Pass,0,37,334087,607,Unsuccessful,53.2,79.0,100,93.3,OpenPlay,False
Pass,1,9,29214,248,Unsuccessful,5.2,42.4,58.1,53.1,OpenPlay,False
Pass,1,13,19859,607,Unsuccessful,39.4,47.6,52,55.8,OpenPlay,False
Pass,1,15,32598,248,Successful,46.4,47.0,54.2,46.6,OpenPlay,False
Foul,1,16,244560,248,Successful,49.4,42.8,,,OpenPlay,False
Foul,1,16,329409,607,Unsuccessful,55.5,61.1,,,OpenPlay,False
Pass,1,38,32598,248,Successful,53.2,45.4,60.9,8.5,OpenPlay,False
Pass,1,42,10454,248,Successful,60.6,11.3,58.7,30,OpenPlay,False
Pass,1,44,32598,248,Unsuccessful,58.3,27.6,61.3,24,OpenPlay,False
BallTouch,1,45,329409,607,Successful,40.6,75.9,,,OpenPlay,False
Pass,1,48,244560,248,Successful,55.7,11.0,36,24.4,OpenPlay,False
Pass,1,50,44208,248,Successful,36.6,26.8,33.3,77.7,OpenPlay,False
Pass,1,54,130435,248,Successful,34.3,77.9,57.3,77.7,OpenPlay,False
Foul,1,58,139111,248,Successful,54.0,79.0,,,OpenPlay,False
Foul,1,58,117776,607,Unsuccessful,46.0,21.0,,,OpenPlay,False
Pass,2,33,130435,248,Successful,54.1,73.9,54.6,57.2,OpenPlay,False
Pass,2,35,32598,248,Successful,54.6,57.2,51.9,76.3,OpenPlay,False
Pass,2,37,130435,248,Successful,48.7,75.9,33,56.1,OpenPlay,False
Pass,2,39,44208,248,Successful,32.5,52.2,41.4,4.4,OpenPlay,False
Pass,2,42,10454,248,Successful,43.2,7.1,73.9,6.1,OpenPlay,False
Dispossessed,2,46,127970,248,Successful,75.0,6.8,,,OpenPlay,False
Tackle,2,46,143193,607,Successful,25.0,93.2,,,OpenPlay,False
BallRecovery,2,47,143193,607,Successful,24.1,92.3,,,OpenPlay,False
Pass,2,48,143193,607,Unsuccessful,24.1,92.3,36.6,90,OpenPlay,False
Interception,2,49,32598,248,Successful,66.8,13.1,,,OpenPlay,False
Pass,2,52,44208,248,Successful,53.9,29.4,53.7,43,OpenPlay,False
Pass,2,53,139111,248,Unsuccessful,53.8,43.1,66.2,39.5,OpenPlay,False
Pass,2,56,334087,607,Successful,29.7,70.8,24.1,76.4,OpenPlay,False
Pass,2,58,143193,607,Unsuccessful,26.1,83.7,27.2,82.6,OpenPlay,False
BlockedPass,2,58,127970,248,Successful,72.4,13.9,,,OpenPlay,False
Foul,3,0,143193,607,Successful,29.7,97.0,,,OpenPlay,False
