Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,311,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,248017,311,Successful,50.0,50.0,43.6,56.6,OpenPlay,False
Pass,0,2,74789,311,Successful,43.9,53.7,38.4,5.9,OpenPlay,False
Pass,0,5,244778,311,Successful,36.7,5.0,24.7,23.9,OpenPlay,False
Pass,0,8,67474,311,Successful,26.0,30.6,21.8,60,OpenPlay,False
Pass,0,11,6743,311,Successful,21.8,60.8,25.4,88.7,OpenPlay,False
Pass,0,19,13343,311,Successful,44.1,94.7,47,79.1,OpenPlay,False
Pass,0,22,238903,311,Successful,43.2,74.7,36.8,49.7,OpenPlay,False
Pass,0,25,67474,311,Successful,36.4,45.8,54.5,5.2,OpenPlay,False
Pass,0,27,244778,311,Unsuccessful,54.5,5.2,58.7,9.2,OpenPlay,False
BallTouch,0,29,143193,607,Successful,37.5,93.8,,,OpenPlay,False
Pass,0,31,244778,311,Successful,55.2,0.0,31.8,14.9,ThrowIn,False
Pass,0,37,67474,311,Successful,27.2,37.4,33.4,85.9,OpenPlay,False
Pass,0,41,13343,311,Successful,34.4,88.6,52.7,96.8,OpenPlay,False
Pass,0,42,179014,311,Successful,54.9,97.1,66,91.2,OpenPlay,False
Pass,0,46,114169,311,Unsuccessful,67.0,95.3,68.6,92.3,OpenPlay,False
BlockedPass,0,46,42248,607,Successful,33.0,2.6,,,OpenPlay,False
BallRecovery,0,48,19859,607,Successful,27.8,9.8,,,OpenPlay,False
Pass,0,49,19859,607,Successful,32.3,7.1,37.6,11.2,OpenPlay,False
Pass,0,51,117776,607,Successful,38.7,11.8,36.5,19.6,OpenPlay,False
Pass,0,52,239872,607,Successful,39.0,28.1,48.9,38,OpenPlay,False
Pass,0,53,322094,607,Unsuccessful,49.3,38.0,48,46.2,OpenPlay,False
BallRecovery,0,54,140051,311,Successful,53.7,42.7,,,OpenPlay,False
Pass,0,55,140051,311,Successful,51.9,51.3,49.3,58.1,OpenPlay,False
Pass,0,56,238903,311,Successful,48.8,56.7,46.9,69.1,OpenPlay,False
Pass,0,57,74789,311,Successful,46.9,69.1,54.6,95.6,OpenPlay,False
Pass,1,0,179014,311,Unsuccessful,55.2,95.3,57.6,93.5,OpenPlay,False
BlockedPass,1,0,117776,607,Successful,38.7,7.7,,,OpenPlay,False
Pass,1,12,179014,311,Successful,62.5,100.0,89.9,86.9,ThrowIn,False
Dispossessed,1,17,248017,311,Successful,90.2,86.0,,,OpenPlay,False
Tackle,1,17,42248,607,Successful,9.8,14.0,,,OpenPlay,False
BallTouch,1,18,334087,607,Successful,4.5,16.4,,,OpenPlay,False
CornerAwarded,1,19,334087,607,Unsuccessful,0.0,15.2,,,OpenPlay,False
CornerAwarded,1,19,248017,311,Successful,100.0,84.8,,,OpenPlay,False
Pass,1,56,114169,311,Unsuccessful,99.6,99.5,96.2,59,CornerTaken,False
Clearance,1,59,349207,607,Successful,2.8,40.7,17.6,34.2,OpenPlay,False
BallTouch,2,1,238903,311,Unsuccessful,80.8,66.3,,,OpenPlay,False
BallRecovery,2,2,241019,607,Successful,22.3,12.3,,,OpenPlay,False
Pass,2,10,241019,607,Successful,81.9,18.2,97,65.3,ShotAssist,False
MissedShots,2,13,239872,607,Successful,95.7,66.0,,,OpenPlay,False
Pass,2,51,89928,311,Unsuccessful,5.5,60.2,57.4,75.9,OpenPlay,False
Pass,2,56,329409,607,Successful,42.3,29.5,57,21.9,OpenPlay,False
Aerial,2,57,74789,311,Unsuccessful,41.9,81.1,,,OpenPlay,False
Aerial,2,57,239872,607,Successful,58.1,18.9,,,OpenPlay,False
