Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,302,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,231144,302,Successful,50.0,50.0,51.7,44.6,OpenPlay,False
Pass,0,3,105025,302,Successful,51.7,44.6,32.9,54.5,OpenPlay,False
Pass,0,4,73948,302,Successful,32.6,53.7,24.6,37.7,OpenPlay,False
Pass,0,5,131999,302,Successful,25.2,40.7,26,70.8,OpenPlay,False
Pass,0,7,134984,302,Unsuccessful,26.5,72.1,57.5,80.5,OpenPlay,False
Pass,0,10,136481,607,Unsuccessful,41.3,20.9,73.8,0,OpenPlay,False
Pass,0,19,102212,302,Successful,31.5,100.0,45.8,94.5,ThrowIn,False
Pass,0,21,105025,302,Unsuccessful,45.6,94.5,53.3,87.2,OpenPlay,False
BallRecovery,0,22,136481,607,Successful,42.6,20.6,,,OpenPlay,False
Pass,0,24,136481,607,Unsuccessful,41.8,20.0,54.6,12.9,OpenPlay,False
BallRecovery,0,25,231144,302,Successful,47.7,93.0,,,OpenPlay,False
Pass,0,25,231144,302,Unsuccessful,47.7,93.0,41.8,92.6,OpenPlay,False
Interception,0,26,239872,607,Successful,55.7,8.5,,,OpenPlay,False
BallRecovery,0,27,117776,607,Successful,52.9,7.4,,,OpenPlay,False
Pass,0,28,117776,607,Successful,53.3,8.8,56.2,12.2,OpenPlay,False
Pass,0,29,239872,607,Unsuccessful,56.0,13.2,59.1,22.3,OpenPlay,False
Pass,0,30,117776,607,Unsuccessful,53.0,19.8,61.4,34.2,OpenPlay,False
Interception,0,30,73948,302,Successful,46.0,83.5,,,OpenPlay,False
Pass,0,31,131079,302,Successful,38.0,68.1,9,60,OpenPlay,False
Pass,0,35,32676,302,Successful,9.0,60.0,14.7,83.2,OpenPlay,False
Pass,0,37,134984,302,Successful,14.7,83.2,22.6,96.6,OpenPlay,False
Pass,0,42,102212,302,Unsuccessful,34.4,94.8,63,91.8,OpenPlay,False
Pass,0,44,136481,607,Unsuccessful,33.9,8.3,42.1,5.3,OpenPlay,False
Pass,0,44,231144,302,Unsuccessful,60.4,95.0,74,80.8,OpenPlay,False
BallRecovery,0,47,19859,607,Successful,22.4,19.5,,,OpenPlay,False
Pass,0,49,19859,607,Successful,20.8,22.4,27.8,32.4,OpenPlay,False
Pass,0,51,329409,607,Successful,27.8,32.4,25.5,67,OpenPlay,False
Pass,0,55,11895,607,Successful,36.6,75.0,37.2,95,OpenPlay,False
Pass,0,58,328968,607,Successful,38.4,95.0,45.5,97.4,OpenPlay,False
Pass,1,1,241019,607,Successful,45.5,97.4,57.7,83.9,OpenPlay,False
Pass,1,3,69742,607,Successful,57.7,83.9,65,95.7,OpenPlay,False
Pass,1,6,241019,607,Successful,77.1,95.9,90.5,73.3,OpenPlay,False
Pass,1,9,69742,607,Unsuccessful,90.5,73.3,86.5,66.4,OpenPlay,False
BallRecovery,1,10,131999,302,Successful,11.7,34.6,,,OpenPlay,False
Pass,1,10,131999,302,Unsuccessful,11.7,34.6,56.8,12.8,OpenPlay,False
BallRecovery,1,17,11895,607,Successful,37.2,87.1,,,OpenPlay,False
Pass,1,17,11895,607,Successful,37.2,87.1,32.7,52.8,OpenPlay,False
Pass,1,19,19859,607,Successful,32.4,49.1,38.6,10.6,OpenPlay,False
Pass,1,23,136481,607,Successful,39.7,10.3,45,27.4,OpenPlay,False
Pass,1,26,117776,607,Successful,45.0,27.4,40.2,9.1,OpenPlay,False
Pass,1,28,136481,607,Successful,37.6,14.9,21.8,20,OpenPlay,False
Pass,1,30,19859,607,Successful,21.8,20.0,7.5,49.4,OpenPlay,False
Pass,1,35,141646,607,Unsuccessful,13.3,55.1,57.5,19.8,OpenPlay,False
Pass,1,40,102212,302,Unsuccessful,41.9,77.6,71.7,100,OpenPlay,False
Pass,1,57,136481,607,Successful,33.2,0.0,43.4,3.7,ThrowIn,False
Pass,1,59,239872,607,Unsuccessful,43.4,3.7,48.7,15.8,OpenPlay,False
Pass,2,0,342571,302,Successful,55.7,89.0,61.3,96.6,OpenPlay,False
BallRecovery,2,1,84462,302,Successful,60.6,95.3,,,OpenPlay,False
Dispossessed,2,2,84462,302,Successful,59.0,94.4,,,OpenPlay,False
