Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,613,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,349207,607,Successful,50.0,50.0,39.3,56,OpenPlay,False
Pass,0,2,329409,607,Successful,39.3,56.0,33.8,35.1,OpenPlay,False
Pass,0,4,19859,607,Successful,34.7,34.6,36.7,3.8,OpenPlay,False
Pass,0,7,136481,607,Successful,39.3,4.1,77.9,24.3,OpenPlay,False
Pass,0,13,349207,607,Successful,73.1,16.2,61.9,28.2,OpenPlay,False
Pass,0,15,117776,607,Successful,63.6,30.6,59.6,72.7,OpenPlay,False
Pass,0,22,143193,607,Successful,72.1,83.6,69,76.1,OpenPlay,False
Pass,0,24,329409,607,Unsuccessful,68.3,71.2,100,33.9,OpenPlay,False
Pass,0,47,130304,613,Unsuccessful,4.7,51.5,53.3,86.2,OpenPlay,False
Pass,0,51,136481,607,Unsuccessful,47.3,18.3,62.6,41.8,OpenPlay,False
Aerial,0,53,349207,607,Unsuccessful,61.7,37.1,,,OpenPlay,False
Aerial,0,53,124721,613,Successful,38.3,62.9,,,OpenPlay,False
Pass,0,54,124721,613,Unsuccessful,39.2,67.6,59.1,100,OpenPlay,False
Pass,1,5,136481,607,Unsuccessful,40.6,0.0,55.8,2.8,ThrowIn,False
Aerial,1,6,349207,607,Unsuccessful,55.0,3.6,,,OpenPlay,False
Aerial,1,6,322747,613,Successful,45.0,96.4,,,OpenPlay,False
Pass,1,7,322747,613,Unsuccessful,45.7,95.7,54.7,100,OpenPlay,False
Pass,1,20,136481,607,Successful,52.0,0.0,58.4,4.9,ThrowIn,False
Dispossessed,1,22,239872,607,Successful,60.0,3.4,,,OpenPlay,False
Tackle,1,22,123873,613,Successful,40.0,96.6,,,OpenPlay,False
Pass,1,30,136481,607,Successful,57.8,0.0,66.8,4.3,ThrowIn,False
BallTouch,1,31,349207,607,Unsuccessful,66.6,4.6,,,OpenPlay,False
BallRecovery,1,32,123873,613,Successful,38.0,88.7,,,OpenPlay,False
Pass,1,33,123873,613,Successful,36.6,90.5,25,79.4,OpenPlay,False
Pass,1,34,6683,613,Successful,25.0,77.6,23.5,51.6,OpenPlay,False
Pass,1,37,112220,613,Successful,23.5,41.0,27.8,18.8,OpenPlay,False
Pass,1,42,361816,613,Successful,38.6,9.8,31.7,31.5,OpenPlay,False
Pass,1,45,124721,613,Successful,31.3,35.7,34.9,85.9,OpenPlay,False
Pass,1,48,322747,613,Successful,34.9,85.9,45.7,97.2,OpenPlay,False
Pass,1,51,329246,613,Successful,46.6,97.2,45,80.5,OpenPlay,False
Pass,1,54,123873,613,Successful,47.5,80.6,38.2,57.9,OpenPlay,False
Pass,1,56,6683,613,Successful,38.2,55.2,39.5,31.5,OpenPlay,False
