Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,245,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,23054,607,Successful,50.1,50.3,36.7,50.1,OpenPlay,False
Pass,0,3,117776,607,Successful,34.6,39.7,35.4,8.3,OpenPlay,False
Pass,0,5,136481,607,Successful,37.0,8.5,33.2,25.8,OpenPlay,False
Pass,0,11,117776,607,Successful,37.5,31.2,41,76,OpenPlay,False
Pass,0,12,345664,607,Successful,41.0,76.0,54,95.4,OpenPlay,False
Pass,0,21,143193,607,Successful,53.7,91.2,34.9,64.6,OpenPlay,False
Pass,0,22,334087,607,Successful,33.7,65.1,32.2,22.7,OpenPlay,False
Pass,0,23,19859,607,Successful,32.2,22.7,42.3,3.1,OpenPlay,False
Pass,0,25,136481,607,Successful,43.7,8.8,32.7,31.8,OpenPlay,False
Pass,0,27,19859,607,Successful,33.3,30.7,34,65.7,OpenPlay,False
Pass,0,35,334087,607,Successful,39.0,60.6,35.1,24.9,OpenPlay,False
Pass,0,36,19859,607,Successful,34.8,25.9,54.2,20.6,OpenPlay,False
Pass,0,38,239872,607,Successful,53.8,20.9,34.7,24,OpenPlay,False
Pass,0,39,19859,607,Successful,29.8,36.4,36.2,66.4,OpenPlay,False
Pass,0,42,334087,607,Successful,36.9,69.6,46.1,63.6,OpenPlay,False
Pass,0,45,322094,607,Successful,46.5,62.4,35.1,69.9,OpenPlay,False
Pass,0,47,334087,607,Successful,39.8,74.7,55.6,97.1,OpenPlay,False
Pass,0,51,143193,607,Successful,55.4,96.2,41.9,78.2,OpenPlay,False
Pass,0,53,334087,607,Successful,41.9,78.2,32.7,47.9,OpenPlay,False
Pass,0,57,19859,607,Successful,37.7,40.7,40.8,7.9,OpenPlay,False
Pass,1,3,136481,607,Successful,41.5,18.6,34.6,26.4,OpenPlay,False
Pass,1,5,19859,607,Successful,34.4,28.6,34.3,61.8,OpenPlay,False
Pass,1,8,334087,607,Successful,40.5,68.7,46.1,80.5,OpenPlay,False
Pass,1,14,322094,607,Unsuccessful,59.1,66.0,63.7,57.5,OpenPlay,False
Interception,1,15,234373,245,Successful,37.2,49.3,,,OpenPlay,False
BallRecovery,1,16,234377,245,Successful,39.9,38.6,,,OpenPlay,False
Pass,1,17,234377,245,Successful,39.9,38.6,65.8,18.3,OpenPlay,False
Pass,1,26,259809,245,Unsuccessful,78.5,21.8,85.4,46.1,OpenPlay,False
Clearance,1,28,143193,607,Successful,13.1,58.4,20.8,73,OpenPlay,False
BallRecovery,1,29,345664,607,Successful,20.6,72.4,,,OpenPlay,False
Pass,1,30,345664,607,Successful,20.6,72.4,25.1,51.5,OpenPlay,False
Pass,1,32,117776,607,Successful,27.6,43.7,36,6.7,OpenPlay,False
Pass,1,39,136481,607,Successful,63.2,6.5,80.6,46.4,OpenPlay,False
BallTouch,1,41,241019,607,Unsuccessful,80.1,48.4,,,OpenPlay,False
BallRecovery,1,43,232582,245,Successful,14.8,27.4,,,OpenPlay,False
Pass,1,44,232582,245,Successful,14.8,27.4,30.1,19.5,OpenPlay,False
Pass,1,47,259809,245,Successful,30.9,20.9,32.9,7.9,OpenPlay,False
Pass,1,50,232582,245,Successful,41.0,6.2,48.4,31.3,OpenPlay,False
Pass,1,51,128564,245,Successful,48.4,31.3,40.2,34,OpenPlay,False
Pass,1,56,296221,245,Successful,42.9,38.2,36.3,76.7,OpenPlay,False
Pass,1,57,301047,245,Successful,37.5,79.6,44.3,83.8,OpenPlay,False
Pass,1,58,234373,245,Successful,53.3,91.9,58,95.6,OpenPlay,False
Pass,2,2,249857,245,Successful,56.6,93.9,42.9,90.3,OpenPlay,False
Pass,2,4,301047,245,Successful,42.9,90.3,39.6,74.5,OpenPlay,False
Pass,2,7,234377,245,Successful,40.0,65.7,36,25.6,OpenPlay,False
Pass,2,11,296340,245,Successful,40.8,20.4,43.6,5.2,OpenPlay,False
Pass,2,13,232582,245,Successful,42.2,7.0,30.4,22.7,OpenPlay,False
Pass,2,16,296340,245,Successful,29.2,24.3,10.7,43.9,OpenPlay,False
Pass,2,19,288896,245,Unsuccessful,10.7,43.7,70,95.3,OpenPlay,False
BallRecovery,2,24,19859,607,Successful,28.8,10.1,,,OpenPlay,False
Pass,2,28,19859,607,Successful,32.9,21.6,34.9,61.5,OpenPlay,False
Pass,2,34,334087,607,Successful,38.1,64.3,35.2,34.8,OpenPlay,False
Pass,2,37,19859,607,Successful,35.7,32.5,41.3,8.6,OpenPlay,False
Pass,2,39,136481,607,Successful,43.6,9.1,63.2,4.3,OpenPlay,False
Pass,2,41,239872,607,Successful,63.7,4.1,53.9,5.5,OpenPlay,False
Pass,2,43,136481,607,Successful,53.9,9.4,36,24.1,OpenPlay,False
Pass,2,46,19859,607,Successful,35.4,26.2,40.5,68.2,OpenPlay,False
Pass,2,50,334087,607,Successful,41.8,71.4,46.4,83.6,OpenPlay,False
Pass,2,52,241019,607,Successful,46.4,83.6,59.6,96.6,OpenPlay,False
Pass,2,55,143193,607,Successful,62.0,95.7,80.8,89.6,OpenPlay,False
Dispossessed,2,59,23054,607,Successful,80.6,95.6,,,OpenPlay,False
Tackle,2,59,296340,245,Successful,19.4,4.4,,,OpenPlay,False
Pass,3,6,143193,607,Successful,76.4,100.0,79.3,89.4,ThrowIn,False
Pass,3,9,241019,607,Successful,71.4,96.3,68.3,96.3,OpenPlay,False
Pass,3,11,143193,607,Successful,64.3,92.4,60.3,77.5,OpenPlay,False
Pass,3,13,117776,607,Unsuccessful,60.2,77.2,69.5,71.4,OpenPlay,False
BallRecovery,3,14,234373,245,Successful,39.5,35.4,,,OpenPlay,False
Pass,3,16,234373,245,Successful,39.5,35.4,48.9,32.5,OpenPlay,False
Pass,3,17,128564,245,Successful,47.6,33.6,45.2,37.1,OpenPlay,False
BallTouch,3,18,296221,245,Unsuccessful,46.1,46.4,,,OpenPlay,False
BallRecovery,3,19,345664,607,Successful,54.5,45.8,,,OpenPlay,False
BallTouch,3,21,345664,607,Successful,40.8,33.6,,,OpenPlay,False
Pass,3,22,136481,607,Unsuccessful,41.3,26.8,61.1,13.7,OpenPlay,False
Interception,3,23,301047,245,Successful,40.1,88.2,,,OpenPlay,False
BallTouch,3,24,136481,607,Successful,56.6,13.5,,,OpenPlay,False
BallRecovery,3,25,301047,245,Successful,46.8,93.0,,,OpenPlay,False
BallTouch,3,26,301047,245,Successful,42.4,91.3,,,OpenPlay,False
Pass,3,30,249857,245,Successful,68.9,97.1,79.4,97.1,OpenPlay,False
BallTouch,3,32,301047,245,Unsuccessful,79.8,98.1,,,OpenPlay,False
Pass,4,1,136481,607,Successful,27.1,0.0,23.6,21.8,ThrowIn,False
Pass,4,4,19859,607,Successful,26.8,30.7,33,61.5,OpenPlay,False
Pass,4,9,334087,607,Successful,36.0,65.8,44.6,34,OpenPlay,False
Pass,4,11,117776,607,Successful,41.8,36.0,39,73,OpenPlay,False
Pass,4,19,334087,607,Successful,53.3,69.6,95.5,17.4,OpenPlay,False
Pass,4,22,239872,607,Successful,95.4,13.8,84.5,7.4,OpenPlay,False
Pass,4,24,136481,607,Unsuccessful,84.6,9.4,87.6,45.5,OpenPlay,False
Clearance,4,26,234377,245,Successful,14.5,53.4,30.8,55.1,OpenPlay,False
MissedShots,4,28,345664,607,Successful,70.4,42.3,,,OpenPlay,False
Pass,5,2,288896,245,Unsuccessful,5.1,44.1,61.3,2.9,OpenPlay,False
Foul,5,8,128564,245,Successful,58.2,5.7,,,OpenPlay,False
Foul,5,8,334087,607,Unsuccessful,41.8,94.3,,,OpenPlay,False
Pass,5,27,234377,245,Successful,58.2,8.6,46,54.9,OpenPlay,False
Pass,5,33,296248,245,Unsuccessful,46.6,62.1,72.4,51.2,OpenPlay,False
Aerial,5,34,128564,245,Unsuccessful,74.3,50.4,,,OpenPlay,False
Aerial,5,34,334087,607,Successful,25.7,49.6,,,OpenPlay,False
Clearance,5,35,334087,607,Successful,23.6,50.1,32.4,28.2,OpenPlay,False
BallRecovery,5,38,239872,607,Successful,33.6,28.8,,,OpenPlay,False
Foul,5,41,296221,245,Unsuccessful,65.4,74.0,,,OpenPlay,False
Foul,5,41,239872,607,Successful,34.6,26.0,,,OpenPlay,False
Pass,5,43,239872,607,Successful,35.8,20.3,44.7,34.2,OpenPlay,False
Pass,5,50,117776,607,Successful,44.8,34.2,56.7,52.7,OpenPlay,False
Pass,5,51,239872,607,Successful,56.7,52.7,51.4,57.8,OpenPlay,False
Pass,5,52,345664,607,Successful,51.9,64.9,60.3,70.3,OpenPlay,False
Pass,5,53,241019,607,Successful,57.7,68.0,53.8,65.8,OpenPlay,False
Pass,5,55,345664,607,Successful,53.2,57.3,55.8,11.5,OpenPlay,False
Pass,5,56,136481,607,Successful,61.3,12.8,70.6,4.4,OpenPlay,False
Challenge,5,59,249857,245,Unsuccessful,30.7,93.4,,,OpenPlay,False
TakeOn,5,59,322094,607,Successful,69.3,6.6,,,OpenPlay,False
Pass,6,0,322094,607,Successful,68.2,8.8,61.5,24.7,OpenPlay,False
Pass,6,2,117776,607,Successful,61.5,26.7,67.7,34,OpenPlay,False
Pass,6,4,239872,607,Unsuccessful,66.5,33.1,75.2,30.7,OpenPlay,False
