Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,304,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,300713,304,Successful,50.0,50.0,43.5,52.7,OpenPlay,False,False
Pass,0,3,91961,304,Successful,45.7,53.2,44.6,7.5,OpenPlay,False,False
Pass,0,7,104376,304,Successful,43.3,5.6,37.1,18.3,OpenPlay,False,False
Pass,0,9,361283,304,Successful,36.6,20.9,32.1,49.9,OpenPlay,False,False
Pass,0,16,28550,304,Successful,37.7,52.1,42.3,75,OpenPlay,False,False
Pass,0,22,247800,304,Successful,42.0,75.0,38.8,58.2,OpenPlay,False,False
Pass,0,26,28550,304,Successful,44.1,50.6,44.6,19.5,OpenPlay,False,False
Pass,0,28,361283,304,Successful,44.6,19.5,56.6,4.1,OpenPlay,False,False
Pass,0,31,104376,304,Successful,53.4,3.2,39.4,8,OpenPlay,False,False
Pass,0,35,361283,304,Successful,34.0,22.1,33.4,36.7,OpenPlay,False,False
Pass,0,39,28550,304,Successful,37.1,40.7,72.7,97.2,OpenPlay,False,False
Pass,0,43,106894,304,Successful,77.4,96.6,76.9,88.6,OpenPlay,False,False
Pass,0,44,96449,304,Successful,73.7,91.7,73.7,97.1,OpenPlay,False,False
Pass,0,45,106894,304,Successful,73.7,97.1,68.8,82,OpenPlay,False,False
Pass,0,47,91961,304,Successful,67.9,80.6,70.6,75,OpenPlay,False,False
Pass,0,48,300713,304,Successful,70.6,75.0,67.3,75.9,OpenPlay,False,False
Pass,0,49,91961,304,Successful,68.4,75.6,58.7,73.2,OpenPlay,False,False
Pass,0,55,93700,304,Successful,52.0,62.0,45.4,32,OpenPlay,False,False
Pass,0,58,361283,304,Successful,43.9,28.2,52.2,40.4,OpenPlay,False,False
OffsideGiven,1,,300713,304,Unsuccessful,97.2,49.9,,,OpenPlay,False,False
Pass,1,0,93700,304,Successful,50.6,39.5,39.8,52.2,OpenPlay,False,False
Pass,1,4,28550,304,Successful,42.4,53.6,45,74.7,OpenPlay,False,False
Pass,1,9,247800,304,Successful,54.9,94.1,21.1,72,OpenPlay,False,False
Pass,1,13,92516,304,Successful,22.1,70.2,29.4,61.5,OpenPlay,False,False
Pass,1,17,28550,304,Successful,31.1,58.2,38.9,57.9,OpenPlay,False,False
Pass,1,18,91961,304,Successful,38.9,57.9,40.9,81.5,OpenPlay,False,False
Pass,1,21,247800,304,Successful,46.4,86.9,55.2,96.3,OpenPlay,False,False
Pass,1,23,106894,304,Successful,57.1,97.7,47.5,91.4,OpenPlay,False,False
Pass,1,24,247800,304,Successful,46.6,89.7,38.4,64.3,OpenPlay,False,False
Pass,1,29,28550,304,Successful,40.7,54.0,46.8,22.4,OpenPlay,False,False
Pass,1,32,361283,304,Successful,45.7,24.9,40.6,47.6,OpenPlay,False,False
Pass,1,35,28550,304,Successful,44.4,49.1,53.6,48.7,OpenPlay,False,False
Pass,1,36,96449,304,Successful,53.6,48.7,48.4,70.7,OpenPlay,False,False
BallTouch,1,39,247800,304,Successful,46.6,73.6,,,OpenPlay,False,False
BallTouch,1,40,91961,304,Successful,56.6,72.4,,,OpenPlay,False,False
Pass,1,41,247800,304,Successful,54.6,67.4,80.2,6.4,OpenPlay,False,False
Pass,1,45,104376,304,Successful,80.2,6.2,86.3,24.4,OpenPlay,False,False
Pass,1,46,5780,304,Successful,88.0,23.6,86.9,28.5,ShotAssist,False,False
MissedShots,1,49,104376,304,Successful,89.5,33.1,,,OpenPlay,False,False
OffsideProvoked,1,53,136481,607,Successful,4.8,49.0,,,OpenPlay,False,False
OffsidePass,1,53,104376,304,Successful,93.6,34.9,97.2,49.9,OpenPlay,False,False
Pass,2,45,141646,607,Successful,7.6,45.1,42.9,50.1,OpenPlay,False,False
Pass,2,46,329409,607,Successful,42.9,50.1,38,66.3,OpenPlay,False,False
Pass,2,49,143193,607,Successful,41.3,60.2,35.8,33.4,OpenPlay,False,False
Pass,2,52,19859,607,Unsuccessful,41.0,20.0,74.6,10.2,OpenPlay,False,False
Interception,2,54,247800,304,Successful,23.9,90.5,,,OpenPlay,False,False
Pass,3,1,136481,607,Successful,70.9,0.0,54.6,4.6,ThrowIn,False,False
Pass,3,3,19859,607,Successful,55.6,5.8,56.1,24.3,OpenPlay,False,False
Pass,3,6,117776,607,Successful,56.4,29.2,51.9,77.6,OpenPlay,False,False
Pass,3,10,143193,607,Successful,52.1,78.5,62.1,78.3,OpenPlay,False,False
Pass,3,13,329409,607,Successful,54.4,89.2,55.1,74.4,OpenPlay,False,False
Foul,3,15,117776,607,Successful,54.8,77.8,,,OpenPlay,False,False
Foul,3,15,96449,304,Unsuccessful,45.2,22.2,,,OpenPlay,False,False
Pass,3,29,329409,607,Successful,50.6,68.8,52.7,58.5,OpenPlay,False,False
Pass,3,31,117776,607,Successful,52.5,56.9,50.8,26.7,OpenPlay,False,False
Pass,3,34,19859,607,Successful,51.3,23.9,58.1,5.5,OpenPlay,False,False
Pass,3,38,239872,607,Unsuccessful,64.2,8.1,68.1,18.4,OpenPlay,False,False
BallTouch,3,39,247800,304,Successful,25.9,83.5,,,OpenPlay,False,False
BallRecovery,3,40,28550,304,Successful,21.3,70.5,,,OpenPlay,False,False
Pass,3,41,28550,304,Successful,21.3,70.5,45.8,71.7,OpenPlay,False,False
Pass,3,42,300713,304,Successful,45.8,71.7,44.8,89.9,OpenPlay,False,False
Pass,3,48,96449,304,Successful,61.1,87.8,65.7,82.3,OpenPlay,False,False
TakeOn,3,52,300713,304,Unsuccessful,72.8,96.6,,,OpenPlay,False,False
Tackle,3,52,136481,607,Successful,27.2,3.4,,,OpenPlay,False,False
Pass,3,58,300713,304,Successful,78.4,100.0,72.8,95.8,ThrowIn,False,False
Pass,4,0,91961,304,Successful,73.3,95.7,77.1,98.1,OpenPlay,False,False
Dispossessed,4,1,300713,304,Successful,77.3,96.6,,,OpenPlay,False,False
Tackle,4,1,136481,607,Unsuccessful,22.7,3.4,,,OpenPlay,False,False
BallTouch,4,2,300713,304,Successful,74.7,98.9,,,OpenPlay,False,False
Pass,4,11,136481,607,Successful,23.1,0.0,15.4,10.1,ThrowIn,False,False
Pass,4,13,19859,607,Successful,12.5,13.5,3.3,38,OpenPlay,False,False
Pass,4,16,141646,607,Unsuccessful,3.3,38.0,55.3,31.9,OpenPlay,False,False
Aerial,4,20,23054,607,Unsuccessful,54.0,24.4,,,OpenPlay,False,False
Aerial,4,20,28550,304,Successful,46.0,75.6,,,OpenPlay,False,False
Pass,4,21,28550,304,Unsuccessful,45.4,71.3,59.5,72.1,OpenPlay,False,False
Pass,4,22,329409,607,Successful,37.5,33.9,39.5,28.2,OpenPlay,False,False
Pass,4,24,117776,607,Successful,45.6,27.2,53.7,31.6,OpenPlay,False,False
Pass,4,26,239872,607,Successful,53.1,28.3,45.4,27.3,OpenPlay,False,False
Pass,4,29,117776,607,Successful,53.4,24.3,84.8,46.6,ShotAssist,False,False
MissedShots,4,32,23054,607,Successful,84.8,46.6,,,OpenPlay,False,False
Pass,5,2,92516,304,Successful,5.4,49.9,38.3,4.4,OpenPlay,False,False
Pass,5,4,104376,304,Unsuccessful,38.5,3.8,41.3,11.4,OpenPlay,False,False
BallRecovery,5,6,329409,607,Successful,55.9,82.3,,,OpenPlay,False,False
Pass,5,7,329409,607,Unsuccessful,55.9,82.3,62.8,100,OpenPlay,False,False
Pass,5,13,104376,304,Successful,32.2,0.0,31.7,23.7,ThrowIn,False,False
Pass,5,15,91961,304,Successful,32.5,23.1,35.3,4.1,OpenPlay,False,False
Pass,5,18,104376,304,Successful,43.2,2.7,47.6,2.7,OpenPlay,False,False
Pass,5,19,5780,304,Successful,47.2,2.9,46,8.3,OpenPlay,False,False
BallTouch,5,20,104376,304,Unsuccessful,44.6,8.3,,,OpenPlay,False,False
BallRecovery,5,21,329409,607,Successful,43.7,92.3,,,OpenPlay,False,False
Pass,5,22,329409,607,Successful,43.7,92.3,31.1,71.4,OpenPlay,False,False
Pass,5,24,11895,607,Successful,26.6,69.7,7.7,38,OpenPlay,False,False
Pass,5,29,141646,607,Unsuccessful,8.8,37.1,63.3,0,OpenPlay,False,False
Pass,5,39,106894,304,Successful,32.9,100.0,24.6,90.3,ThrowIn,False,False
Pass,5,41,247800,304,Successful,24.6,90.3,7.2,64.2,OpenPlay,False,False
Pass,5,45,92516,304,Unsuccessful,7.2,64.2,65.1,41.8,OpenPlay,False,False
BallRecovery,5,47,11895,607,Successful,35.7,56.4,,,OpenPlay,False,False
Pass,5,50,11895,607,Successful,36.7,60.3,45.7,57,OpenPlay,False,False
Pass,5,52,117776,607,Successful,45.7,57.0,34.9,68.2,OpenPlay,False,False
Pass,5,56,11895,607,Successful,28.0,72.4,24.4,41,OpenPlay,False,False
Pass,6,0,19859,607,Successful,25.0,42.4,24.6,68.8,OpenPlay,False,False
Pass,6,3,11895,607,Successful,26.9,68.7,38.3,92.9,OpenPlay,False,False
Pass,6,6,143193,607,Successful,40.8,93.9,40.9,88.4,OpenPlay,False,False
Pass,6,7,241019,607,Successful,40.9,88.4,40.2,94.4,OpenPlay,False,False
Pass,6,8,143193,607,Successful,40.2,94.4,46.3,71.4,OpenPlay,False,False
Pass,6,10,329409,607,Successful,45.1,71.4,36.7,75.1,OpenPlay,False,False
Pass,6,12,241019,607,Successful,36.5,72.1,33.8,32.4,OpenPlay,False,False
Pass,6,15,19859,607,Successful,36.2,28.5,52.2,7.6,OpenPlay,False,False
Pass,6,17,136481,607,Successful,55.0,7.0,60.5,13.2,OpenPlay,False,False
Pass,6,21,322094,607,Successful,60.0,15.5,46.7,12.6,OpenPlay,False,False
Pass,6,22,19859,607,Successful,46.7,12.6,52.3,22.1,OpenPlay,False,False
Pass,6,25,117776,607,Successful,52.9,21.6,61.1,13.5,OpenPlay,False,False
Pass,6,26,239872,607,Successful,63.5,14.1,61.1,20.4,OpenPlay,False,False
Pass,6,27,322094,607,Successful,63.2,20.9,64.2,5.4,OpenPlay,False,False
Pass,6,28,136481,607,Successful,64.5,4.6,70.9,8.9,OpenPlay,False,False
BallTouch,6,31,322094,607,Successful,71.4,9.3,,,OpenPlay,False,False
Pass,6,36,239872,607,Successful,91.7,15.9,80,5.6,OpenPlay,False,True
Pass,6,39,322094,607,Successful,77.4,8.9,86.8,43.1,ShotAssist,False,False
MissedShots,6,42,329409,607,Successful,86.8,43.1,,,OpenPlay,True,False
Goal,6,42,104376,304,Successful,7.0,49.0,,,OpenPlay,False,False
Pass,7,41,300713,304,Successful,50.1,49.7,37.8,47.3,OpenPlay,False,False
Pass,7,43,93700,304,Successful,37.8,47.3,40,56.9,OpenPlay,False,False
Pass,7,44,91961,304,Successful,40.0,56.9,39.3,46.6,OpenPlay,False,False
Pass,7,46,93700,304,Successful,41.0,46.7,54.5,2.2,OpenPlay,False,False
Pass,7,50,104376,304,Successful,54.5,2.2,65.1,12,OpenPlay,False,False
Pass,7,52,5780,304,Successful,64.9,10.0,67.5,3.5,OpenPlay,False,False
Pass,7,54,104376,304,Successful,62.7,4.0,56.2,13.1,OpenPlay,False,False
Pass,7,56,93700,304,Successful,56.2,13.1,45.5,7.1,OpenPlay,False,False
Pass,7,58,361283,304,Successful,45.5,7.1,52.7,4.4,OpenPlay,False,False
Pass,8,0,104376,304,Successful,48.3,4.4,38.9,6.4,OpenPlay,False,False
Pass,8,2,361283,304,Successful,38.9,6.4,32.5,34.6,OpenPlay,False,False
Pass,8,5,28550,304,Successful,33.0,45.4,35.8,67.9,OpenPlay,False,False
Pass,8,10,247800,304,Successful,37.7,71.8,41.9,63.9,OpenPlay,False,False
Pass,8,12,91961,304,Successful,42.5,65.1,44.7,79.3,OpenPlay,False,False
Pass,8,16,247800,304,Successful,44.8,83.6,42.8,63.9,OpenPlay,False,False
Pass,8,18,91961,304,Successful,42.8,63.9,44.9,13.4,OpenPlay,False,False
Pass,8,23,361283,304,Successful,53.9,6.8,50.7,17.6,OpenPlay,False,False
Pass,8,25,93700,304,Successful,50.7,17.6,58,36.9,OpenPlay,False,False
Pass,8,27,91961,304,Successful,58.0,36.9,52.3,35.2,OpenPlay,False,False
Pass,8,28,93700,304,Successful,52.3,35.2,44.1,42.5,OpenPlay,False,False
Pass,8,29,28550,304,Successful,44.1,42.5,52,23.7,OpenPlay,False,False
Pass,8,34,91961,304,Successful,54.3,22.1,68.3,4,OpenPlay,False,False
Pass,8,36,104376,304,Successful,70.6,6.7,75.7,17.4,OpenPlay,False,False
Pass,8,37,5780,304,Unsuccessful,75.7,17.4,73.7,17,OpenPlay,False,False
BallTouch,8,38,329409,607,Successful,28.8,85.6,,,OpenPlay,False,False
Pass,8,54,104376,304,Successful,79.5,0.0,95.2,23,ThrowIn,False,False
Pass,8,57,300713,304,Unsuccessful,98.0,25.3,92.8,43.1,OpenPlay,False,False
Clearance,8,58,19859,607,Successful,9.3,53.6,18.3,100,OpenPlay,False,False
Pass,9,9,104376,304,Successful,74.6,0.0,75,7.9,ThrowIn,False,False
Pass,9,10,91961,304,Successful,75.0,7.9,78.5,3.5,OpenPlay,False,False
Pass,9,14,104376,304,Successful,89.6,4.3,79.7,16.2,OpenPlay,False,False
Pass,9,16,5780,304,Successful,79.5,16.7,77.6,3.5,OpenPlay,False,False
Pass,9,17,91961,304,Unsuccessful,76.8,4.6,85.7,9.2,OpenPlay,False,False
Interception,9,18,241019,607,Successful,14.9,85.7,,,OpenPlay,False,False
BallRecovery,9,19,241019,607,Successful,15.2,87.2,,,OpenPlay,False,False
