Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,950,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,349207,607,Successful,50.0,50.0,34.3,37.3,OpenPlay,False
Pass,0,3,19859,607,Successful,34.6,32.2,35.8,8.5,OpenPlay,False
Pass,0,6,136481,607,Successful,30.3,8.6,9.4,37.9,OpenPlay,False
Pass,0,13,141646,607,Successful,15.6,35.4,18,15.9,OpenPlay,False
Pass,0,14,19859,607,Successful,18.0,15.9,9,37.9,OpenPlay,False
Pass,0,16,141646,607,Successful,9.6,41.0,18.7,81.5,OpenPlay,False
Pass,0,19,345261,607,Successful,19.3,81.8,26,95.6,OpenPlay,False
Pass,0,21,328968,607,Successful,26.0,95.6,55,93.3,OpenPlay,False
Pass,0,28,322094,607,Unsuccessful,79.8,87.2,82.4,72.3,OpenPlay,False
BallRecovery,0,29,108493,950,Successful,17.7,25.3,,,OpenPlay,False
Pass,0,30,108493,950,Successful,19.2,24.0,29.2,25.9,OpenPlay,False
Pass,0,34,21073,950,Successful,27.4,47.8,31.8,84.1,OpenPlay,False
Pass,0,37,331567,950,Successful,36.8,85.9,43.6,74.5,OpenPlay,False
Pass,0,41,234346,950,Successful,51.2,87.2,47.8,73.2,OpenPlay,False
Pass,0,43,21073,950,Unsuccessful,47.8,73.2,68.4,76.1,OpenPlay,False
BallTouch,0,45,19859,607,Unsuccessful,27.3,34.6,,,OpenPlay,False
Pass,0,46,236556,950,Successful,63.1,61.4,71,64.6,OpenPlay,False
TakeOn,0,47,83383,950,Unsuccessful,71.6,61.0,,,OpenPlay,False
Tackle,0,47,345261,607,Successful,28.4,39.0,,,OpenPlay,False
BallRecovery,0,48,317743,607,Successful,43.6,53.3,,,OpenPlay,False
Pass,0,52,317743,607,Successful,40.8,61.5,34.8,62.9,OpenPlay,False
Pass,0,54,329409,607,Unsuccessful,41.9,53.7,37.8,0,OpenPlay,False
Pass,1,10,331567,950,Successful,57.2,100.0,34.3,93.2,ThrowIn,False
Pass,1,13,234352,950,Successful,34.3,93.2,28.8,49,OpenPlay,False
Pass,1,16,108493,950,Successful,28.4,48.8,32.3,58.1,OpenPlay,False
Pass,1,19,296841,950,Successful,35.8,41.5,34.8,7.4,OpenPlay,False
Pass,1,22,115882,950,Successful,35.7,10.7,24.1,25.9,OpenPlay,False
Pass,1,26,108493,950,Successful,24.0,30.4,24.8,69.7,OpenPlay,False
Pass,1,30,234352,950,Successful,29.6,78.5,34,97.4,OpenPlay,False
Pass,1,32,331567,950,Unsuccessful,34.0,97.4,57.5,91.8,OpenPlay,False
Pass,1,34,136481,607,Successful,41.9,5.4,54.1,15.9,OpenPlay,False
Foul,1,37,117776,607,Successful,46.0,17.6,,,OpenPlay,False
Foul,1,37,234346,950,Unsuccessful,54.0,82.4,,,OpenPlay,False
Pass,1,47,117776,607,Successful,43.3,20.9,33.9,42.5,OpenPlay,False
Pass,1,49,345261,607,Successful,32.6,45.4,35.1,70.5,OpenPlay,False
Pass,1,52,328968,607,Successful,33.9,75.4,29.6,58.7,OpenPlay,False
Pass,1,56,345261,607,Successful,29.2,55.4,30.5,19.4,OpenPlay,False
Pass,1,58,19859,607,Successful,28.8,20.9,24.3,48.5,OpenPlay,False
Pass,2,1,345261,607,Successful,20.6,50.7,7.5,46.3,OpenPlay,False
Pass,2,5,141646,607,Successful,8.1,42.8,37,5.8,OpenPlay,False
Pass,2,7,136481,607,Successful,36.8,5.0,25.2,11.4,OpenPlay,False
Pass,2,9,19859,607,Successful,25.2,11.4,35.4,37.4,OpenPlay,False
Pass,2,11,117776,607,Successful,35.4,38.0,26.2,40.9,OpenPlay,False
Pass,2,13,345261,607,Successful,25.3,40.9,27.2,21.3,OpenPlay,False
Pass,2,15,19859,607,Successful,27.2,21.3,34.1,44,OpenPlay,False
