Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,313,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,43415,313,Successful,50.0,50.0,35.3,42.8,OpenPlay,False
Pass,0,2,79562,313,Unsuccessful,35.9,40.6,44.7,42.9,OpenPlay,False
Interception,0,3,114168,607,Successful,56.9,50.0,,,OpenPlay,False
Pass,0,4,297540,313,Unsuccessful,32.4,28.3,66.7,34.8,OpenPlay,False
Aerial,0,8,129282,313,Unsuccessful,67.6,35.6,,,OpenPlay,False
Aerial,0,8,11895,607,Successful,32.4,64.4,,,OpenPlay,False
Pass,0,9,11895,607,Unsuccessful,31.5,63.7,45.7,76.1,OpenPlay,False
Aerial,0,10,114168,607,Unsuccessful,43.8,77.1,,,OpenPlay,False
Aerial,0,10,289018,313,Successful,56.2,22.9,,,OpenPlay,False
Pass,0,11,289018,313,Unsuccessful,58.2,21.9,72.7,23.6,OpenPlay,False
BallRecovery,0,13,328968,607,Successful,30.0,80.9,,,OpenPlay,False
Pass,0,14,328968,607,Successful,30.0,80.9,36.9,93.5,OpenPlay,False
Pass,0,16,241019,607,Successful,36.9,93.5,32.2,89,OpenPlay,False
Dispossessed,0,18,328968,607,Successful,33.2,87.3,,,OpenPlay,False
Tackle,0,18,79562,313,Unsuccessful,66.8,12.7,,,OpenPlay,False
BallTouch,0,19,328968,607,Successful,30.0,90.9,,,OpenPlay,False
Pass,0,20,79562,313,Successful,60.9,11.9,78.6,4.1,OpenPlay,False
BallRecovery,0,21,129282,313,Successful,77.2,5.0,,,OpenPlay,False
Pass,0,24,129282,313,Successful,75.2,4.1,57.7,5.2,OpenPlay,False
Pass,0,27,289018,313,Successful,55.8,5.5,44.9,13.1,OpenPlay,False
Pass,0,29,297540,313,Successful,43.3,20.1,36.7,52.4,OpenPlay,False
Pass,0,31,121720,313,Successful,41.1,59.9,56.4,89.9,OpenPlay,False
Pass,0,35,34011,313,Unsuccessful,58.3,93.8,83.4,89.9,OpenPlay,False
Pass,0,37,136481,607,Successful,18.8,7.9,29.1,6.2,OpenPlay,False
BallRecovery,0,38,239872,607,Successful,27.7,5.8,,,OpenPlay,False
Pass,0,39,239872,607,Successful,27.7,5.8,33.5,8.6,OpenPlay,False
Foul,0,41,117776,607,Successful,33.5,11.8,,,OpenPlay,False
Foul,0,41,332144,313,Unsuccessful,66.5,88.2,,,OpenPlay,False
Pass,0,43,136481,607,Successful,32.5,9.4,35.9,33.9,OpenPlay,False
Pass,0,44,329409,607,Successful,35.9,33.9,30.3,53.6,OpenPlay,False
Pass,0,47,11895,607,Successful,29.0,51.2,30.4,41.6,OpenPlay,False
Pass,0,50,329409,607,Successful,33.3,33.4,37.1,14,OpenPlay,False
Pass,0,54,117776,607,Unsuccessful,40.1,11.7,100,20.7,OpenPlay,False
Pass,1,24,283271,313,Successful,4.9,53.9,23.3,24.6,OpenPlay,False
Pass,1,28,297540,313,Successful,37.3,18.2,47.3,1.5,OpenPlay,False
Pass,1,31,289018,313,Successful,48.0,1.6,36.5,11.3,OpenPlay,False
Pass,1,33,297540,313,Successful,36.8,15.5,27.3,70.3,OpenPlay,False
Pass,1,39,121720,313,Successful,33.8,59.4,32,39.8,OpenPlay,False
Pass,1,45,297540,313,Unsuccessful,41.8,34.0,70.8,77.5,OpenPlay,False
Clearance,1,47,136481,607,Successful,30.0,15.3,31.6,0,OpenPlay,False
Pass,1,53,34011,313,Successful,68.4,100.0,73.1,85.3,ThrowIn,False
Pass,1,56,79562,313,Successful,73.1,86.8,75.7,95.3,OpenPlay,False
Pass,1,57,34011,313,Successful,80.1,97.3,83.2,87.4,OpenPlay,False
OffsideGiven,2,,43415,313,Unsuccessful,90.9,69.9,,,OpenPlay,False
Dispossessed,2,2,79562,313,Successful,89.1,90.1,,,OpenPlay,False
Tackle,2,2,117776,607,Successful,10.9,9.9,,,OpenPlay,False
Pass,2,22,34011,313,Successful,91.4,100.0,86,85.9,ThrowIn,False
Pass,2,24,322670,313,Successful,86.8,87.5,88.9,95.7,OpenPlay,False
Pass,2,26,34011,313,Successful,83.6,93.2,80.8,73.2,OpenPlay,False
OffsideProvoked,2,28,328968,607,Successful,13.4,58.8,,,OpenPlay,False
OffsidePass,2,28,79562,313,Successful,80.2,69.9,90.9,69.9,OpenPlay,False
Pass,2,45,141646,607,Successful,4.8,45.6,17.8,76.7,OpenPlay,False
Pass,2,48,11895,607,Successful,18.4,80.5,25.5,69.3,OpenPlay,False
