Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,145,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,23054,607,Successful,50.0,50.0,33.9,66.1,OpenPlay,False
Pass,0,2,329409,607,Successful,38.0,57.3,32.7,21.6,OpenPlay,False
Pass,0,7,19859,607,Successful,31.1,21.9,26.1,43.8,OpenPlay,False
Pass,0,9,11895,607,Successful,26.1,43.8,31.3,84.1,OpenPlay,False
Pass,0,14,329409,607,Successful,33.3,81.8,26.5,28.8,OpenPlay,False
Pass,0,18,19859,607,Successful,26.9,24.8,43.6,4.9,OpenPlay,False
Pass,0,21,117776,607,Successful,34.5,14.7,27.7,28.5,OpenPlay,False
Pass,0,23,19859,607,Successful,29.1,29.4,26.9,63.1,OpenPlay,False
Pass,0,28,11895,607,Successful,43.9,65.1,48.9,96.2,OpenPlay,False
Pass,0,33,329409,607,Unsuccessful,56.7,94.5,81.2,20.3,OpenPlay,False
Pass,0,37,44417,145,Unsuccessful,21.8,81.7,30.2,96.5,OpenPlay,False
Pass,0,40,136481,607,Unsuccessful,79.4,3.2,80.6,12.9,OpenPlay,False
BallRecovery,0,41,23094,145,Successful,31.2,92.9,,,OpenPlay,False
Dispossessed,0,44,23094,145,Successful,25.3,92.3,,,OpenPlay,False
Tackle,0,44,322094,607,Unsuccessful,74.7,7.7,,,OpenPlay,False
Pass,0,45,23094,145,Successful,29.1,94.8,24,77.8,OpenPlay,False
Pass,0,48,25482,145,Successful,24.2,81.4,20.7,96,OpenPlay,False
Pass,0,50,44417,145,Successful,19.8,96.3,46.8,90.6,OpenPlay,False
BallTouch,0,52,85693,145,Unsuccessful,46.8,90.6,,,OpenPlay,False
BallTouch,0,53,19859,607,Unsuccessful,61.8,11.9,,,OpenPlay,False
Pass,0,54,23094,145,Unsuccessful,45.5,92.4,46.6,92,OpenPlay,False
BlockedPass,0,54,19859,607,Successful,61.8,10.7,,,OpenPlay,False
BallRecovery,0,56,117776,607,Successful,63.3,21.0,,,OpenPlay,False
Pass,0,57,117776,607,Successful,63.3,21.0,60.2,32.7,OpenPlay,False
Pass,0,58,329409,607,Unsuccessful,60.2,32.7,66.6,29.7,OpenPlay,False
Pass,0,59,25482,145,Unsuccessful,36.6,74.2,75.3,67.5,OpenPlay,False
OffsideGiven,1,,23054,607,Unsuccessful,70.3,37.9,,,OpenPlay,False
Pass,1,2,136481,607,Successful,25.2,25.8,34.1,12,OpenPlay,False
BallRecovery,1,3,19859,607,Successful,34.1,12.0,,,OpenPlay,False
OffsideProvoked,1,4,25482,145,Successful,37.1,66.4,,,OpenPlay,False
OffsidePass,1,4,19859,607,Successful,34.8,12.2,70.3,37.9,OpenPlay,False
Pass,1,35,25608,145,Unsuccessful,34.9,68.2,72,73.8,OpenPlay,False
Pass,1,38,117776,607,Successful,36.8,23.3,40,28.6,OpenPlay,False
BallRecovery,1,39,329409,607,Successful,37.4,23.7,,,OpenPlay,False
Pass,1,40,329409,607,Successful,37.1,23.7,28.5,7,OpenPlay,False
Pass,1,41,136481,607,Successful,28.5,7.0,3.9,34.3,OpenPlay,False
Pass,1,44,141646,607,Unsuccessful,3.9,34.3,53.4,34,OpenPlay,False
Pass,1,48,33886,145,Unsuccessful,48.0,67.3,65.8,25.2,OpenPlay,False
Pass,1,52,328968,607,Successful,28.6,77.6,35.8,83.9,OpenPlay,False
Pass,1,54,241019,607,Successful,35.8,83.9,39.6,76.9,OpenPlay,False
Pass,1,57,328968,607,Successful,44.1,83.9,55.3,95.9,OpenPlay,False
Pass,2,5,241019,607,Successful,58.3,96.0,53.6,57.1,OpenPlay,False
Pass,2,7,117776,607,Successful,57.7,48.2,72.1,18.5,OpenPlay,False
Pass,2,10,239872,607,Successful,72.2,18.3,74.1,26.7,OpenPlay,False
Pass,2,11,322094,607,Unsuccessful,74.1,26.7,70.5,34,OpenPlay,False
BallRecovery,2,12,99537,145,Successful,27.1,52.2,,,OpenPlay,False
Pass,2,13,99537,145,Successful,27.1,52.2,45.4,73.2,OpenPlay,False
Pass,2,16,85693,145,Successful,56.6,77.8,59.9,87.1,OpenPlay,False
Pass,2,19,23094,145,Successful,76.2,85.7,77.6,71.5,OpenPlay,False
BallTouch,2,20,71381,145,Unsuccessful,77.6,71.5,,,OpenPlay,False
BallRecovery,2,21,117776,607,Successful,25.7,37.9,,,OpenPlay,False
Challenge,2,23,85693,145,Unsuccessful,75.0,65.0,,,OpenPlay,False
TakeOn,2,23,117776,607,Successful,25.0,35.0,,,OpenPlay,False
Challenge,2,24,71381,145,Unsuccessful,75.5,58.2,,,OpenPlay,False
TakeOn,2,24,117776,607,Successful,24.5,41.8,,,OpenPlay,False
Pass,2,25,117776,607,Successful,25.1,53.0,22.1,72.6,OpenPlay,False
Pass,2,27,328968,607,Successful,22.1,72.6,47.4,95.6,OpenPlay,False
TakeOn,2,39,241019,607,Unsuccessful,90.7,78.8,,,OpenPlay,False
Pass,3,7,25608,145,Successful,5.1,59.3,46.9,64.8,OpenPlay,False
Aerial,3,10,329409,607,Unsuccessful,53.0,34.6,,,OpenPlay,False
Aerial,3,10,99537,145,Successful,47.0,65.4,,,OpenPlay,False
Pass,3,11,99537,145,Successful,46.9,64.8,54,65.1,OpenPlay,False
Foul,3,17,71381,145,Successful,52.8,68.6,,,OpenPlay,False
Foul,3,17,117776,607,Unsuccessful,47.2,31.4,,,OpenPlay,False
Pass,4,41,33886,145,Successful,52.0,67.5,56.2,82.3,OpenPlay,False
Pass,4,42,85693,145,Successful,55.4,84.5,62.5,97.8,OpenPlay,False
Pass,4,43,44417,145,Successful,62.5,97.8,51.2,85,OpenPlay,False
Pass,4,48,33886,145,Successful,48.7,80.0,53.5,94.7,OpenPlay,False
Pass,4,52,85693,145,Successful,53.6,80.2,62.5,96.5,OpenPlay,False
Pass,4,56,44417,145,Successful,78.6,82.4,80.6,64.9,OpenPlay,False
Pass,4,58,71381,145,Successful,80.6,64.9,95.9,76.3,OpenPlay,False
Pass,5,0,23094,145,Unsuccessful,96.9,76.3,96.9,75.6,OpenPlay,False
Clearance,5,0,19859,607,Successful,3.9,26.4,3.9,26.4,OpenPlay,False
KeeperPickup,5,2,141646,607,Successful,3.8,47.9,,,OpenPlay,False
Pass,5,3,141646,607,Successful,6.0,49.7,40.4,94.8,OpenPlay,False
Foul,5,13,99537,145,Unsuccessful,23.9,3.0,,,OpenPlay,False
Foul,5,13,241019,607,Successful,76.1,97.0,,,OpenPlay,False
Pass,6,0,117776,607,Unsuccessful,74.3,96.8,100,31.8,OpenPlay,False
Pass,6,26,25608,145,Unsuccessful,4.6,60.3,53,93,OpenPlay,False
Aerial,6,29,23094,145,Unsuccessful,51.0,90.5,,,OpenPlay,False
Aerial,6,29,239872,607,Successful,49.0,9.5,,,OpenPlay,False
Pass,6,30,239872,607,Successful,50.9,12.0,56,35.5,OpenPlay,False
Aerial,6,31,99537,145,Unsuccessful,43.2,63.9,,,OpenPlay,False
Aerial,6,31,23054,607,Successful,56.8,36.1,,,OpenPlay,False
Pass,6,32,23054,607,Unsuccessful,56.0,35.5,54.7,36.9,OpenPlay,False
BallTouch,6,33,99537,145,Successful,42.4,63.3,,,OpenPlay,False
BallRecovery,6,34,329409,607,Successful,45.7,49.9,,,OpenPlay,False
Pass,6,35,329409,607,Successful,37.6,70.8,15.9,51.6,OpenPlay,False
