Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,148,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,2,90107,148,Successful,50.0,50.0,44.1,49.6,OpenPlay,False
Pass,0,3,92792,148,Successful,44.1,49.6,38.8,32.7,OpenPlay,False
Pass,0,4,306766,148,Successful,38.8,32.7,27.4,47.3,OpenPlay,False
Pass,0,7,84041,148,Successful,27.4,47.3,35.8,45.4,OpenPlay,False
Pass,0,9,92792,148,Successful,36.3,44.6,31.3,20,OpenPlay,False
Pass,0,12,34214,148,Unsuccessful,35.4,9.1,62.7,13.5,OpenPlay,False
Pass,0,14,328968,607,Successful,31.7,84.8,41.6,75.4,OpenPlay,False
BallRecovery,0,15,329409,607,Successful,39.3,72.9,,,OpenPlay,False
Pass,0,16,329409,607,Successful,38.9,72.6,45.3,45.4,OpenPlay,False
Pass,0,18,239872,607,Successful,45.3,45.4,33.5,37.1,OpenPlay,False
Pass,0,19,117776,607,Successful,33.5,37.1,54,11.6,OpenPlay,False
Pass,0,23,136481,607,Successful,60.1,10.6,70,33.9,OpenPlay,False
Pass,0,25,69742,607,Successful,70.3,33.9,65.2,31.8,ShotAssist,False
SavedShot,0,26,239872,607,Successful,72.8,36.1,,,OpenPlay,False
Save,0,26,78386,148,Successful,2.6,50.1,,,OpenPlay,False
KeeperPickup,0,27,78386,148,Successful,2.6,50.1,,,OpenPlay,False
Pass,0,44,78386,148,Successful,11.5,50.1,43.3,6.2,OpenPlay,False
BallTouch,0,45,345648,148,Successful,43.3,6.2,,,OpenPlay,False
BallRecovery,0,47,11895,607,Successful,19.6,85.4,,,OpenPlay,False
Pass,0,48,11895,607,Successful,19.9,85.3,22.3,41.9,OpenPlay,False
Pass,0,51,19859,607,Successful,24.4,41.3,30.6,5.5,OpenPlay,False
Pass,0,55,136481,607,Successful,32.2,6.4,25.9,29.5,OpenPlay,False
Pass,0,57,19859,607,Successful,26.8,30.0,23.5,65.2,OpenPlay,False
Pass,1,0,11895,607,Successful,24.6,68.2,34.4,77.8,OpenPlay,False
Pass,1,4,329409,607,Successful,41.5,66.0,43.7,48.4,OpenPlay,False
Pass,1,7,117776,607,Successful,43.8,34.5,53.1,7.3,OpenPlay,False
Dispossessed,1,11,136481,607,Successful,59.0,4.2,,,OpenPlay,False
Tackle,1,11,344143,148,Successful,41.0,95.8,,,OpenPlay,False
Pass,1,22,136481,607,Successful,58.4,0.0,35.1,21.3,ThrowIn,False
Pass,1,24,19859,607,Successful,35.1,21.3,34.2,68.7,OpenPlay,False
Pass,1,27,11895,607,Successful,45.6,73.5,47,96.6,OpenPlay,False
Pass,1,29,328968,607,Successful,47.0,96.6,40.9,77.3,OpenPlay,False
Pass,1,32,11895,607,Successful,40.1,75.0,40.2,33.6,OpenPlay,False
Pass,1,36,117776,607,Successful,46.9,29.1,53.2,8.2,OpenPlay,False
Pass,1,38,136481,607,Unsuccessful,53.6,7.7,78.4,23,OpenPlay,False
Clearance,1,41,234405,148,Successful,22.7,80.0,29.2,88.1,OpenPlay,False
Pass,1,47,322094,607,Successful,66.6,9.4,64,25,OpenPlay,False
Pass,1,51,117776,607,Unsuccessful,65.6,17.6,78.1,10.3,OpenPlay,False
BallRecovery,1,52,137720,148,Successful,22.1,87.4,,,OpenPlay,False
Pass,1,53,137720,148,Unsuccessful,24.0,86.0,63.4,95.1,OpenPlay,False
BallRecovery,1,58,19859,607,Successful,34.0,5.6,,,OpenPlay,False
Pass,1,59,19859,607,Successful,35.2,8.0,36.1,57,OpenPlay,False
Pass,2,2,11895,607,Successful,36.6,58.5,42.6,77.5,OpenPlay,False
Pass,2,8,329409,607,Successful,51.3,77.3,44.6,54.2,OpenPlay,False
Pass,2,10,117776,607,Successful,45.0,49.4,54.5,7.4,OpenPlay,False
Pass,2,14,136481,607,Successful,57.4,6.1,66,3.2,OpenPlay,False
Pass,2,15,239872,607,Unsuccessful,66.0,3.1,67.5,3.2,OpenPlay,False
