Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,246,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,29814,246,Successful,50.1,50.1,33.2,45.4,OpenPlay,False
Pass,0,2,18539,246,Successful,34.3,44.1,33.2,35.9,OpenPlay,False
Pass,0,6,113260,246,Successful,34.6,39.5,72.4,83.3,OpenPlay,False
Aerial,0,8,136481,607,Unsuccessful,29.4,14.4,,,OpenPlay,False
Aerial,0,8,121858,246,Successful,70.6,85.6,,,OpenPlay,False
Pass,0,9,121858,246,Unsuccessful,72.4,83.3,78.1,63.4,OpenPlay,False
BallRecovery,0,10,345261,607,Successful,20.0,32.4,,,OpenPlay,False
Pass,0,11,345261,607,Unsuccessful,20.0,32.4,56.4,35.7,OpenPlay,False
Pass,0,15,18539,246,Successful,44.7,61.0,54.1,45.6,OpenPlay,False
Pass,0,16,297210,246,Unsuccessful,54.3,45.2,74.1,74.6,OpenPlay,False
Pass,0,19,136481,607,Successful,25.6,23.3,34.6,26.6,OpenPlay,False
Pass,0,20,117776,607,Successful,34.8,26.2,43,25.6,OpenPlay,False
BallRecovery,0,22,322094,607,Successful,41.9,23.5,,,OpenPlay,False
Pass,0,23,322094,607,Unsuccessful,42.9,24.4,41.3,22.5,OpenPlay,False
BlockedPass,0,23,136238,246,Successful,57.4,77.7,,,OpenPlay,False
Pass,0,25,117776,607,Unsuccessful,39.2,25.3,66.8,23.3,OpenPlay,False
Clearance,0,27,18539,246,Successful,24.5,83.0,19.2,100,OpenPlay,False
Pass,0,39,136481,607,Unsuccessful,76.2,0.0,96.7,32.2,ThrowIn,False
Clearance,0,42,18539,246,Successful,2.6,70.3,0,70.1,OpenPlay,False
CornerAwarded,0,43,18539,246,Unsuccessful,3.1,68.2,,,OpenPlay,False
CornerAwarded,0,43,136481,607,Successful,76.4,0.0,,,OpenPlay,False
Pass,1,1,117776,607,Unsuccessful,99.5,0.5,93.1,57.2,CornerTaken,False
Clearance,1,5,121858,246,Successful,6.4,43.1,2.8,29.1,OpenPlay,False
Clearance,1,8,295950,246,Successful,3.3,27.9,38.3,37.1,OpenPlay,False
Pass,1,11,328968,607,Successful,66.0,57.9,67.4,89.6,OpenPlay,False
Pass,1,16,241019,607,Successful,70.1,87.8,83.1,93,OpenPlay,False
Pass,1,18,328968,607,Successful,85.5,93.2,75.9,93.5,OpenPlay,False
Pass,1,19,241019,607,Successful,75.9,91.2,73.1,74.8,OpenPlay,False
Pass,1,21,239872,607,Unsuccessful,73.1,74.7,88.8,74.4,OpenPlay,False
Clearance,1,24,113260,246,Successful,8.5,31.9,19.5,0,OpenPlay,False
Pass,1,42,328968,607,Successful,74.8,100.0,77.8,84.5,ThrowIn,False
