Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,228,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,23054,607,Successful,50.0,50.0,40.1,38,OpenPlay,False
Pass,0,2,345664,607,Successful,39.6,35.4,37,7.1,OpenPlay,False
Pass,0,5,136481,607,Successful,35.2,8.6,39.6,19.2,OpenPlay,False
Pass,0,7,345664,607,Successful,36.9,21.9,25.7,50.4,OpenPlay,False
Pass,0,9,334087,607,Unsuccessful,25.7,50.4,62.5,37.4,OpenPlay,False
Aerial,0,11,322094,607,Unsuccessful,62.0,38.8,,,OpenPlay,False
Aerial,0,11,243511,228,Successful,38.0,61.2,,,OpenPlay,False
Pass,0,12,243511,228,Successful,38.5,59.9,44.5,55.8,OpenPlay,False
BallRecovery,0,13,322096,228,Successful,44.2,54.3,,,OpenPlay,False
Pass,0,14,322096,228,Successful,44.3,53.6,34.4,22.8,OpenPlay,False
Pass,0,16,146724,228,Successful,33.4,22.8,29.4,31.6,OpenPlay,False
Pass,0,18,27761,228,Successful,28.0,31.3,32.3,30.9,OpenPlay,False
Pass,0,21,321389,228,Successful,34.5,36.7,34.6,76.3,OpenPlay,False
Pass,0,24,243511,228,Successful,35.9,76.7,47.3,97.4,OpenPlay,False
Pass,0,26,296337,228,Successful,45.8,96.5,33.5,90.2,OpenPlay,False
Pass,0,29,243511,228,Successful,29.2,89.9,13.5,57,OpenPlay,False
Pass,0,32,71833,228,Unsuccessful,13.5,57.0,62.8,66.1,OpenPlay,False
Pass,0,37,19859,607,Successful,39.9,26.2,41,17,OpenPlay,False
Pass,0,40,136481,607,Unsuccessful,41.9,18.4,52.4,32,OpenPlay,False
BallTouch,0,41,322096,228,Successful,50.5,65.5,,,OpenPlay,False
Pass,0,44,321389,228,Successful,44.3,48.5,52.3,8.9,OpenPlay,False
Pass,0,47,146724,228,Successful,58.7,7.9,70,11.1,OpenPlay,False
Pass,0,51,109807,228,Successful,64.2,10.1,68.3,28.9,OpenPlay,False
Pass,0,53,321389,228,Successful,68.3,28.9,94.2,18.2,OpenPlay,False
Pass,0,59,110154,228,Unsuccessful,95.0,18.0,94.2,23.9,OpenPlay,False
Clearance,0,59,248121,607,Successful,8.7,74.1,8.7,74.1,OpenPlay,False
Pass,1,0,248121,607,Successful,9.8,73.5,28.7,73.3,OpenPlay,False
BallRecovery,1,0,248121,607,Successful,9.8,73.5,,,OpenPlay,False
Foul,1,6,23054,607,Successful,29.8,73.4,,,OpenPlay,False
Foul,1,6,27761,228,Unsuccessful,70.2,26.6,,,OpenPlay,False
Pass,1,32,334087,607,Unsuccessful,32.9,68.1,69.4,39.7,OpenPlay,False
Aerial,1,36,243511,228,Successful,28.6,63.4,,,OpenPlay,False
Pass,1,36,243511,228,Unsuccessful,26.6,66.6,43.3,64.2,OpenPlay,False
Aerial,1,36,23054,607,Unsuccessful,71.4,36.6,,,OpenPlay,False
Pass,1,39,345664,607,Successful,59.2,34.5,55.9,4.3,OpenPlay,False
Pass,1,41,136481,607,Successful,55.9,4.3,45.7,10.1,OpenPlay,False
Pass,1,43,19859,607,Successful,44.6,11.3,33.4,42.7,OpenPlay,False
Pass,1,51,334087,607,Successful,38.3,62.4,54.6,96.3,OpenPlay,False
BallTouch,1,53,143193,607,Unsuccessful,54.6,96.5,,,OpenPlay,False
Pass,1,57,146724,228,Successful,44.8,0.0,42.8,7,ThrowIn,False
Pass,1,59,321389,228,Successful,41.5,10.9,33.6,45.8,OpenPlay,False
Pass,2,2,243511,228,Successful,33.7,46.4,41.2,80.9,OpenPlay,False
Pass,2,4,296337,228,Successful,43.0,74.5,56.2,68.2,OpenPlay,False
Pass,2,6,329356,228,Unsuccessful,56.2,68.2,54.5,72.1,OpenPlay,False
BallRecovery,2,8,241019,607,Successful,45.3,23.0,,,OpenPlay,False
Pass,2,8,241019,607,Successful,45.3,23.0,41.7,13.7,OpenPlay,False
Pass,2,11,136481,607,Successful,57.0,7.3,65.2,27.1,OpenPlay,False
Pass,2,15,239872,607,Successful,72.4,36.3,78.8,60.8,OpenPlay,False
Pass,2,20,241019,607,Successful,78.8,60.3,71,40.4,OpenPlay,False
Pass,2,24,345664,607,Successful,65.6,33.9,55.9,21.8,OpenPlay,False
Pass,2,28,19859,607,Successful,58.1,15.5,61.4,2.6,OpenPlay,False
Pass,2,29,136481,607,Successful,60.4,2.6,58.5,18.8,OpenPlay,False
Pass,2,33,345664,607,Unsuccessful,65.1,28.2,86,32.4,OpenPlay,False
Interception,2,36,27761,228,Successful,14.8,70.3,,,OpenPlay,False
BallRecovery,2,38,27761,228,Successful,10.6,81.4,,,OpenPlay,False
Pass,2,41,27761,228,Successful,5.4,97.5,10.9,96.3,OpenPlay,False
Foul,2,44,296337,228,Successful,12.0,95.0,,,OpenPlay,False
Foul,2,44,322094,607,Unsuccessful,88.0,5.0,,,OpenPlay,False
Pass,3,18,71833,228,Successful,14.5,97.5,60.9,96.3,OpenPlay,False
Aerial,3,20,136481,607,Unsuccessful,38.8,8.2,,,OpenPlay,False
Aerial,3,20,329356,228,Successful,61.2,91.8,,,OpenPlay,False
Pass,3,21,329356,228,Unsuccessful,60.7,95.3,60.3,79,OpenPlay,False
BallRecovery,3,24,248121,607,Successful,41.0,35.5,,,OpenPlay,False
Pass,3,24,248121,607,Unsuccessful,41.0,35.5,80.5,31,OpenPlay,False
BallRecovery,3,27,71833,228,Successful,21.5,71.5,,,OpenPlay,False
Pass,3,28,71833,228,Successful,21.5,71.5,28.7,51.8,OpenPlay,False
Pass,3,31,27761,228,Successful,30.9,44.2,34.6,7.6,OpenPlay,False
Pass,3,34,146724,228,Unsuccessful,36.7,4.0,92.9,18.8,OpenPlay,False
Clearance,3,40,334087,607,Successful,9.6,84.7,14.6,100,OpenPlay,False
Pass,3,47,146724,228,Successful,88.5,0.0,73.3,4.1,ThrowIn,False
Pass,3,52,134893,228,Successful,67.2,1.9,54,7.4,OpenPlay,False
Pass,3,54,27761,228,Successful,54.1,9.7,52.9,54.8,OpenPlay,False
Pass,3,58,322096,228,Successful,53.4,64.6,65,97.7,OpenPlay,False
Pass,4,3,296337,228,Successful,62.4,79.6,60.6,72.3,OpenPlay,False
BallTouch,4,6,322096,228,Successful,55.9,74.1,,,OpenPlay,False
BlockedPass,4,8,345664,607,Successful,54.9,29.7,,,OpenPlay,False
Pass,4,8,243511,228,Unsuccessful,47.0,72.0,48,71.5,OpenPlay,False
BallRecovery,4,13,322094,607,Successful,67.8,11.4,,,OpenPlay,False
Pass,4,18,322094,607,Successful,74.7,17.3,66.7,28.3,OpenPlay,False
Pass,4,21,345664,607,Successful,65.4,28.0,60.6,52.8,OpenPlay,False
Pass,4,23,248121,607,Successful,54.0,56.4,61.8,94.8,OpenPlay,False
Pass,4,29,143193,607,Successful,76.8,96.0,91.3,68.1,OpenPlay,False
BallTouch,4,31,23054,607,Unsuccessful,91.3,68.1,,,OpenPlay,False
Clearance,4,32,243511,228,Successful,11.9,41.6,48.7,57.2,OpenPlay,False
Pass,4,35,19859,607,Successful,53.8,44.8,66.4,38.5,OpenPlay,False
Pass,4,37,345664,607,Successful,65.1,29.4,73.1,9.5,ShotAssist,False
SavedShot,4,42,322094,607,Successful,79.9,29.9,,,OpenPlay,False
Save,4,42,321389,228,Successful,18.3,68.5,,,OpenPlay,False
Clearance,4,46,146724,228,Successful,14.4,45.4,33.3,40.7,OpenPlay,False
