Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,249,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,349207,607,Successful,50.0,50.0,40.1,57,OpenPlay,False
Pass,0,2,329409,607,Successful,40.1,57.0,25.6,43.9,OpenPlay,False
Pass,0,4,19859,607,Successful,25.4,44.6,31.9,45.4,OpenPlay,False
Pass,0,10,117776,607,Successful,31.5,48.5,29.1,37.3,OpenPlay,False
Pass,0,12,19859,607,Successful,29.9,35.4,26.2,73.9,OpenPlay,False
Pass,0,17,11895,607,Successful,30.4,70.9,36.2,43.7,OpenPlay,False
Pass,0,24,117776,607,Successful,43.5,30.3,46.1,6.8,OpenPlay,False
Pass,0,26,136481,607,Successful,42.5,7.4,26.3,49.6,OpenPlay,False
Pass,0,29,19859,607,Successful,26.3,49.6,31.4,75.4,OpenPlay,False
Pass,0,34,11895,607,Successful,42.9,75.9,53.4,96.2,OpenPlay,False
Pass,0,36,143193,607,Successful,53.4,94.1,35.3,80.5,OpenPlay,False
Pass,0,39,11895,607,Successful,34.6,79.6,28.5,41.9,OpenPlay,False
Pass,0,42,19859,607,Successful,28.5,41.9,36.7,23.7,OpenPlay,False
Pass,0,44,117776,607,Successful,37.6,22.2,60.9,4.4,OpenPlay,False
Pass,0,47,239872,607,Successful,63.5,5.0,72,32.4,OpenPlay,False
Pass,0,49,349207,607,Successful,69.6,30.9,58.1,29.7,OpenPlay,False
Pass,0,50,329409,607,Unsuccessful,58.1,36.4,61.6,50.4,OpenPlay,False
Interception,0,52,99143,249,Successful,34.2,29.8,,,OpenPlay,False
Pass,0,53,349207,607,Successful,72.1,46.7,61.5,93,OpenPlay,False
Pass,0,56,143193,607,Unsuccessful,71.5,94.1,92.9,43.1,OpenPlay,False
Clearance,1,0,134902,249,Successful,10.0,67.8,0,72,OpenPlay,False
CornerAwarded,1,1,134902,249,Unsuccessful,0.0,69.4,,,OpenPlay,False
CornerAwarded,1,1,143193,607,Successful,100.0,30.6,,,OpenPlay,False
Pass,1,27,117776,607,Unsuccessful,99.5,0.5,91.7,46.9,CornerTaken,False
Clearance,1,30,32432,249,Successful,8.3,54.9,17.9,50.6,OpenPlay,False
Clearance,1,32,9279,249,Successful,19.2,48.2,20.3,61.8,OpenPlay,False
BallRecovery,1,35,104747,249,Successful,21.3,65.2,,,OpenPlay,False
Dispossessed,1,37,104747,249,Successful,31.4,62.6,,,OpenPlay,False
Tackle,1,37,19859,607,Successful,68.6,37.4,,,OpenPlay,False
BallTouch,1,39,117776,607,Successful,57.8,22.7,,,OpenPlay,False
Pass,1,40,134902,249,Successful,53.7,91.2,86.7,86.5,OpenPlay,False
BallTouch,1,44,302441,249,Unsuccessful,94.8,79.0,,,OpenPlay,False
Clearance,1,45,136481,607,Successful,9.4,24.4,19.2,8.5,OpenPlay,False
Pass,1,46,134902,249,Successful,87.3,84.3,91.3,39.2,ShotAssist,False
SavedShot,1,49,99143,249,Successful,90.7,38.4,,,OpenPlay,False
Save,1,49,322094,607,Successful,4.4,58.8,,,OpenPlay,False
CornerAwarded,1,50,99143,249,Successful,96.8,36.3,,,OpenPlay,False
CornerAwarded,1,50,322094,607,Unsuccessful,3.2,63.7,,,OpenPlay,False
OffsideGiven,2,,32432,249,Unsuccessful,96.3,46.4,,,OpenPlay,False
Pass,2,14,99143,249,Successful,99.5,0.5,89.1,37.1,CornerTaken,False
Aerial,2,17,239872,607,Unsuccessful,8.3,60.1,,,OpenPlay,False
Aerial,2,17,331790,249,Successful,91.7,39.9,,,OpenPlay,False
SavedShot,2,18,331790,249,Successful,90.3,38.4,,,OpenPlay,False
Save,2,18,349207,607,Successful,5.7,57.3,,,OpenPlay,False
Pass,2,21,302441,249,Successful,75.1,59.0,68.3,58.2,OpenPlay,False
Pass,2,23,134902,249,Successful,68.3,58.1,75.5,4.3,OpenPlay,False
Pass,2,25,288883,249,Successful,75.4,4.3,80.3,6.5,OpenPlay,False
Pass,2,27,99143,249,Successful,80.5,7.0,90,6.4,OpenPlay,False
Pass,2,30,288883,249,Unsuccessful,90.0,14.1,90.4,44.3,OpenPlay,False
Clearance,2,32,11895,607,Successful,11.5,56.1,34.1,77,OpenPlay,False
Pass,2,34,104747,249,Successful,70.4,27.1,78.2,7.7,OpenPlay,False
Pass,2,37,288883,249,Successful,77.6,10.9,73.2,33.4,OpenPlay,False
Pass,2,39,35954,249,Unsuccessful,72.2,36.3,78.4,44.8,OpenPlay,False
Interception,2,41,19859,607,Successful,22.4,54.0,,,OpenPlay,False
BallRecovery,2,41,19859,607,Successful,24.5,57.3,,,OpenPlay,False
Pass,2,42,19859,607,Unsuccessful,24.5,57.3,32.9,70.6,OpenPlay,False
BallRecovery,2,43,288883,249,Successful,71.7,25.2,,,OpenPlay,False
Pass,2,44,288883,249,Successful,72.4,24.1,87.8,7.1,OpenPlay,False
Pass,2,47,104747,249,Successful,89.5,7.0,91.3,55.8,ShotAssist,False
Aerial,2,50,136481,607,Unsuccessful,7.5,42.1,,,OpenPlay,False
Aerial,2,50,9279,249,Successful,91.0,56.4,,,OpenPlay,False
SavedShot,2,51,9279,249,Successful,91.0,56.4,,,OpenPlay,False
Save,2,51,141646,607,Successful,1.7,50.1,,,OpenPlay,False
OffsideProvoked,2,53,136481,607,Successful,4.3,44.3,,,OpenPlay,False
OffsidePass,2,53,302441,249,Successful,90.2,46.6,96.3,46.4,OpenPlay,False
Pass,5,6,141646,607,Successful,10.5,44.8,23,37.4,OpenPlay,False
Pass,5,8,19859,607,Successful,25.6,53.1,34.3,35.5,OpenPlay,False
Pass,5,14,117776,607,Successful,44.8,29.7,36,52.8,OpenPlay,False
Pass,5,16,19859,607,Successful,36.6,53.3,41.2,75.9,OpenPlay,False
Pass,5,17,11895,607,Successful,41.6,79.0,54.9,96.8,OpenPlay,False
Pass,5,20,143193,607,Successful,55.0,96.8,73.8,95.9,OpenPlay,False
