Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,248,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,114168,607,Successful,50.0,49.5,40.3,38.2,OpenPlay,False
Pass,0,3,117776,607,Successful,34.6,36.4,24.1,26.1,OpenPlay,False
Pass,0,5,19859,607,Successful,24.1,26.1,7.8,42.8,OpenPlay,False
Pass,0,7,141646,607,Unsuccessful,7.8,42.8,63,5.8,OpenPlay,False
Aerial,0,11,239872,607,Unsuccessful,62.8,6.6,,,OpenPlay,False
Aerial,0,11,143524,248,Successful,37.2,93.4,,,OpenPlay,False
Clearance,0,12,143524,248,Successful,36.6,93.6,43.9,100,OpenPlay,False
Pass,0,54,136481,607,Successful,56.1,0.0,32.8,40.1,ThrowIn,False
Pass,0,55,11895,607,Successful,32.8,40.1,37,67.2,OpenPlay,False
Pass,0,57,329409,607,Successful,38.0,70.3,35.8,58.3,OpenPlay,False
Pass,0,59,11895,607,Successful,35.9,48.0,43.6,17.2,OpenPlay,False
Pass,1,2,19859,607,Successful,46.2,13.7,53.1,7.1,OpenPlay,False
Pass,1,4,114168,607,Successful,53.0,6.8,58,21,OpenPlay,False
Pass,1,6,117776,607,Successful,58.2,19.2,60.8,5.3,OpenPlay,False
Pass,1,8,239872,607,Successful,60.0,5.6,54.6,6,OpenPlay,False
Pass,1,10,114168,607,Successful,46.0,12.3,32.7,50.1,OpenPlay,False
Pass,1,12,11895,607,Successful,34.0,46.0,37.5,72.6,OpenPlay,False
Pass,1,17,329409,607,Successful,45.4,75.0,54.4,94.7,OpenPlay,False
Pass,1,20,328968,607,Successful,58.3,94.6,47.3,92.1,OpenPlay,False
Pass,1,21,329409,607,Successful,44.7,91.7,32.9,40,OpenPlay,False
Pass,1,26,19859,607,Successful,34.3,43.1,41,10.7,OpenPlay,False
Pass,1,28,117776,607,Successful,42.1,5.5,57.4,2.2,OpenPlay,False
Pass,1,32,136481,607,Successful,52.7,1.7,36.6,7.7,OpenPlay,False
Pass,1,34,19859,607,Unsuccessful,37.8,4.4,69.4,24.3,OpenPlay,False
Aerial,1,36,329620,607,Unsuccessful,70.4,21.6,,,OpenPlay,False
Aerial,1,36,130435,248,Successful,29.6,78.4,,,OpenPlay,False
Pass,1,37,130435,248,Successful,27.3,80.6,24.6,64.8,OpenPlay,False
BallRecovery,1,39,262262,248,Successful,24.8,65.5,,,OpenPlay,False
Pass,1,40,262262,248,Unsuccessful,24.8,65.5,41.2,91.9,OpenPlay,False
BallTouch,1,42,136481,607,Successful,59.1,8.7,,,OpenPlay,False
Pass,1,47,143524,248,Successful,44.0,100.0,52.4,78.9,ThrowIn,False
Pass,1,48,18701,248,Successful,48.0,82.2,39.6,80.2,OpenPlay,False
Pass,1,50,139111,248,Successful,38.0,75.4,31.5,42.1,OpenPlay,False
Pass,1,54,262262,248,Successful,35.4,30.6,47.2,4,OpenPlay,False
Pass,1,59,347858,248,Successful,45.8,4.6,40.1,7.4,OpenPlay,False
Pass,2,1,262262,248,Successful,40.1,7.4,34,35.4,OpenPlay,False
Pass,2,3,44208,248,Successful,33.0,35.7,33,67,OpenPlay,False
Pass,2,5,130435,248,Successful,33.0,64.9,31.3,34,OpenPlay,False
Pass,2,9,44208,248,Unsuccessful,35.2,26.5,66.1,6.4,OpenPlay,False
Pass,2,12,328968,607,Unsuccessful,32.3,93.4,44.7,90.7,OpenPlay,False
Pass,2,14,262262,248,Unsuccessful,55.3,8.9,62.5,8.9,OpenPlay,False
Aerial,2,15,347858,248,Unsuccessful,63.6,12.0,,,OpenPlay,False
Aerial,2,15,328968,607,Successful,36.4,88.0,,,OpenPlay,False
Pass,2,16,328968,607,Successful,38.0,90.1,40.9,82.2,OpenPlay,False
Pass,2,17,329409,607,Successful,40.0,82.0,44.4,82.2,OpenPlay,False
BallRecovery,2,18,328968,607,Successful,44.6,81.4,,,OpenPlay,False
Dispossessed,2,19,328968,607,Successful,44.0,74.4,,,OpenPlay,False
Tackle,2,19,262262,248,Unsuccessful,56.0,25.6,,,OpenPlay,False
Pass,2,23,141646,607,Successful,18.8,43.7,27.1,42.4,OpenPlay,False
Pass,2,25,19859,607,Successful,27.2,42.5,36.5,4.6,OpenPlay,False
Pass,2,28,117776,607,Unsuccessful,38.0,4.8,62.7,0,OpenPlay,False
Pass,2,37,143524,248,Successful,37.1,100.0,45.1,91.8,ThrowIn,False
Pass,2,39,29072,248,Successful,45.1,91.8,53.8,83.9,OpenPlay,False
Pass,2,40,18701,248,Unsuccessful,54.8,83.3,44.3,78.7,OpenPlay,False
BallRecovery,2,41,114168,607,Successful,57.1,25.2,,,OpenPlay,False
Pass,2,45,114168,607,Successful,52.6,29.9,52.4,44.7,OpenPlay,False
Pass,2,47,329409,607,Successful,53.4,54.0,62.4,53.6,OpenPlay,False
Pass,2,48,241019,607,Successful,62.4,53.6,57.1,47,OpenPlay,False
Pass,2,50,329409,607,Unsuccessful,57.5,46.4,72.4,32.8,OpenPlay,False
BallRecovery,2,51,143524,248,Successful,26.5,70.6,,,OpenPlay,False
Pass,2,52,143524,248,Successful,25.9,70.9,5.4,52,OpenPlay,False
Pass,2,56,10714,248,Successful,7.4,44.2,15,28.2,OpenPlay,False
Pass,3,1,44208,248,Successful,22.4,31.8,19.2,66.6,OpenPlay,False
Pass,3,7,130435,248,Successful,22.1,65.8,47.7,2.2,OpenPlay,False
Pass,3,11,262262,248,Successful,55.1,3.2,62.4,6.5,OpenPlay,False
BallTouch,3,12,347858,248,Unsuccessful,63.8,6.1,,,OpenPlay,False
Pass,3,26,328968,607,Successful,29.8,100.0,41.9,96,ThrowIn,False
Pass,3,29,114168,607,Unsuccessful,41.7,96.2,46.6,89.6,OpenPlay,False
Pass,3,30,44208,248,Unsuccessful,53.3,9.9,52.3,69.7,OpenPlay,False
TakeOn,3,34,239872,607,Unsuccessful,55.7,27.7,,,OpenPlay,False
Tackle,3,34,143524,248,Successful,44.3,72.3,,,OpenPlay,False
Pass,3,41,239872,607,Successful,58.1,0.0,55.7,7.9,ThrowIn,False
Pass,3,42,117776,607,Successful,55.3,10.6,57,3.6,OpenPlay,False
Pass,3,43,239872,607,Successful,57.0,3.8,43.2,11.2,OpenPlay,False
Pass,3,47,19859,607,Successful,46.0,21.3,54.8,94.4,OpenPlay,False
Pass,3,54,328968,607,Successful,42.7,85.3,28.1,72.4,OpenPlay,False
Pass,3,57,11895,607,Successful,27.5,70.9,22.6,49.7,OpenPlay,False
Pass,3,59,19859,607,Successful,22.5,50.7,7.1,44.8,OpenPlay,False
Pass,4,2,141646,607,Successful,7.1,44.8,38.8,7.6,OpenPlay,False
Pass,4,5,136481,607,Unsuccessful,38.8,7.6,58,0,OpenPlay,False
Pass,4,11,143524,248,Successful,44.6,100.0,44.9,91.1,ThrowIn,False
Pass,4,13,139111,248,Unsuccessful,53.7,83.1,63.7,81.6,OpenPlay,False
BallRecovery,4,15,19859,607,Successful,36.6,17.4,,,OpenPlay,False
Pass,4,16,19859,607,Successful,35.8,11.0,44.4,7.7,OpenPlay,False
Pass,4,17,239872,607,Successful,44.3,8.7,52.1,21.3,OpenPlay,False
Pass,4,19,329620,607,Successful,52.7,21.1,45,20.7,OpenPlay,False
Pass,4,20,117776,607,Successful,44.9,26.0,52,56.3,OpenPlay,False
Pass,4,22,329409,607,Successful,52.6,58.1,59.1,63.9,OpenPlay,False
Pass,4,23,114168,607,Successful,60.1,65.1,74.4,85.1,OpenPlay,False
Pass,4,26,328968,607,Unsuccessful,74.5,85.9,86.6,45.4,OpenPlay,False
Foul,4,28,130435,248,Successful,13.0,54.6,,,OpenPlay,False
Foul,4,28,329620,607,Unsuccessful,87.0,45.4,,,OpenPlay,False
Pass,4,53,10714,248,Unsuccessful,11.5,55.4,36,0,OpenPlay,False
Pass,5,0,241019,607,Successful,69.4,100.0,69.4,92.9,ThrowIn,False
Pass,5,1,114168,607,Successful,69.5,93.4,69.5,98.7,OpenPlay,False
Foul,5,3,136345,248,Unsuccessful,32.0,1.5,,,OpenPlay,False
Foul,5,3,241019,607,Successful,68.0,98.5,,,OpenPlay,False
Pass,5,49,117776,607,Successful,74.2,97.9,87.3,52.8,ShotAssist,False
Aerial,5,51,44208,248,Unsuccessful,11.2,47.5,,,OpenPlay,False
Aerial,5,51,19859,607,Successful,88.8,52.5,,,OpenPlay,False
MissedShots,5,52,19859,607,Successful,88.0,52.6,,,OpenPlay,False
Pass,6,13,10714,248,Successful,4.6,49.0,19.4,71.8,OpenPlay,False
Pass,6,14,130435,248,Successful,23.2,64.7,33.5,93.6,OpenPlay,False
Pass,6,17,143524,248,Successful,34.8,89.4,22.8,69.7,OpenPlay,False
Pass,6,19,130435,248,Successful,22.2,61.8,25.9,28.1,OpenPlay,False
Pass,6,22,44208,248,Successful,27.9,26.0,24.2,52.6,OpenPlay,False
Pass,6,26,130435,248,Successful,26.4,44.7,30.8,16.3,OpenPlay,False
Pass,6,29,44208,248,Unsuccessful,35.9,9.7,61,12,OpenPlay,False
BallRecovery,6,30,328968,607,Successful,39.3,85.5,,,OpenPlay,False
Pass,6,31,328968,607,Unsuccessful,39.3,86.8,48.1,85.9,OpenPlay,False
Aerial,6,32,241019,607,Unsuccessful,48.9,86.6,,,OpenPlay,False
Aerial,6,32,262262,248,Successful,51.1,13.4,,,OpenPlay,False
Pass,6,33,262262,248,Successful,49.7,12.4,61.3,15.3,OpenPlay,False
BallTouch,6,35,18701,248,Unsuccessful,61.4,14.3,,,OpenPlay,False
Clearance,6,37,11895,607,Successful,31.3,92.9,31.2,100,OpenPlay,False
Pass,6,45,262262,248,Successful,66.4,0.0,74.2,11.6,ThrowIn,False
Pass,6,47,18701,248,Successful,74.2,12.4,68.8,10.4,OpenPlay,False
Pass,6,51,136345,248,Unsuccessful,66.0,1.4,68,2.6,OpenPlay,False
BlockedPass,6,51,241019,607,Successful,32.3,96.9,,,OpenPlay,False
Pass,6,53,262262,248,Successful,64.1,5.0,64.1,9.5,OpenPlay,False
Pass,6,55,347858,248,Successful,64.8,11.0,58.2,9.8,OpenPlay,False
Pass,6,57,44208,248,Successful,58.2,9.8,73.2,86.6,OpenPlay,False
Pass,7,1,127970,248,Successful,72.5,90.1,82.5,96.2,OpenPlay,False
Pass,7,3,143524,248,Unsuccessful,82.1,96.4,83.1,91.3,OpenPlay,False
Clearance,7,3,239872,607,Successful,16.5,7.1,17.1,9.5,OpenPlay,False
Pass,7,8,143524,248,Successful,89.7,100.0,82.2,73.2,ThrowIn,False
Pass,7,10,139111,248,Successful,89.9,84.7,91.2,93.4,OpenPlay,False
Pass,7,12,143524,248,Unsuccessful,91.0,93.4,91,91.1,OpenPlay,False
Clearance,7,12,117776,607,Successful,6.8,10.3,6.8,10.3,OpenPlay,False
BallTouch,7,13,143524,248,Successful,91.0,92.9,,,OpenPlay,False
BallRecovery,7,14,136481,607,Successful,6.3,14.9,,,OpenPlay,False
