Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,311,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,23054,607,Successful,50.0,50.0,32.3,51.6,OpenPlay,False
Pass,0,6,317743,607,Successful,31.9,53.1,30.2,88.7,OpenPlay,False
Pass,0,9,328968,607,Successful,30.2,89.0,22.3,72,OpenPlay,False
Pass,0,12,345261,607,Successful,22.2,71.4,24.3,32.5,OpenPlay,False
Pass,0,13,19859,607,Successful,24.3,32.5,31.5,12.9,OpenPlay,False
Foul,0,15,79976,311,Unsuccessful,65.8,80.6,,,OpenPlay,False
Foul,0,15,117776,607,Successful,34.2,19.4,,,OpenPlay,False
Pass,0,26,117776,607,Successful,42.8,16.1,43.9,9.8,OpenPlay,False
Pass,0,27,136481,607,Successful,43.9,9.8,26.9,30.3,OpenPlay,False
Pass,0,34,19859,607,Successful,34.4,43.9,40.2,27.1,OpenPlay,False
Pass,0,38,117776,607,Successful,52.1,20.4,78.4,13.5,OpenPlay,False
Pass,0,41,136481,607,Successful,78.4,13.5,75.9,22.4,OpenPlay,False
Pass,0,43,239872,607,Successful,75.1,24.4,74.3,34.8,ShotAssist,False
SavedShot,0,45,322094,607,Successful,79.1,43.9,,,OpenPlay,False
Save,0,45,89928,311,Successful,2.6,49.7,,,OpenPlay,False
CornerAwarded,0,50,89928,311,Unsuccessful,2.6,49.7,,,OpenPlay,False
CornerAwarded,0,50,322094,607,Successful,100.0,41.8,,,OpenPlay,False
Pass,1,18,117776,607,Successful,99.5,99.5,86.8,81.5,CornerTaken,False
Pass,1,20,317743,607,Successful,86.8,81.5,87.8,90.8,OpenPlay,False
Pass,1,21,117776,607,Successful,87.8,90.8,94.8,48.4,BigChanceCreated,False
SavedShot,1,24,239872,607,Successful,96.6,43.1,,,OpenPlay,False
Save,1,24,89928,311,Successful,1.6,50.3,,,OpenPlay,False
SavedShot,1,26,19859,607,Successful,97.2,49.9,,,OpenPlay,False
Save,1,26,89928,311,Successful,1.6,49.9,,,OpenPlay,False
Clearance,1,28,342540,311,Successful,4.4,49.7,13.8,100,OpenPlay,False
Pass,2,13,136481,607,Successful,75.9,0.0,77.7,6.5,ThrowIn,False
Pass,2,14,329409,607,Successful,77.6,5.9,75.7,3.4,OpenPlay,False
Pass,2,15,136481,607,Unsuccessful,75.7,3.4,77.9,4.7,OpenPlay,False
BallTouch,2,16,243069,311,Successful,22.9,92.7,,,OpenPlay,False
BallRecovery,2,17,79976,311,Successful,30.3,91.2,,,OpenPlay,False
Pass,2,18,79976,311,Successful,30.3,91.2,30.4,89.4,OpenPlay,False
BallTouch,2,19,243069,311,Successful,30.4,89.4,,,OpenPlay,False
BallRecovery,2,20,117776,607,Successful,62.9,14.7,,,OpenPlay,False
Foul,2,25,74789,311,Unsuccessful,32.8,86.2,,,OpenPlay,False
Foul,2,25,117776,607,Successful,67.2,13.8,,,OpenPlay,False
Pass,2,28,317743,607,Successful,61.2,14.0,46.8,44.2,OpenPlay,False
Pass,2,32,345261,607,Successful,50.7,48.4,53.6,77.3,OpenPlay,False
Pass,2,34,328968,607,Successful,54.4,79.3,61.4,88,OpenPlay,False
BallTouch,2,38,23054,607,Unsuccessful,60.8,90.5,,,OpenPlay,False
BallRecovery,2,39,140051,311,Successful,33.8,8.3,,,OpenPlay,False
Pass,2,40,140051,311,Successful,35.8,8.2,39.2,15.5,OpenPlay,False
Pass,2,41,114169,311,Successful,38.2,12.6,27.1,12.5,OpenPlay,False
Pass,2,45,238903,311,Successful,26.2,14.6,23.7,31.2,OpenPlay,False
Pass,2,46,6743,311,Successful,23.7,31.2,31.4,91.8,OpenPlay,False
