Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,302,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,241019,607,Successful,50.0,50.0,37.8,47,OpenPlay,False
Pass,0,3,117776,607,Successful,37.8,44.6,45.9,8.6,OpenPlay,False
Pass,0,6,136481,607,Successful,47.8,12.2,45.7,7.3,OpenPlay,False
Pass,0,8,239872,607,Successful,44.1,8.6,26.2,20.7,OpenPlay,False
Pass,0,11,19859,607,Successful,26.8,24.7,25.5,66.3,OpenPlay,False
Pass,0,14,11895,607,Successful,27.0,68.4,41.8,98.4,OpenPlay,False
Pass,0,18,143193,607,Successful,43.7,96.6,27.7,82.6,OpenPlay,False
Pass,0,21,11895,607,Successful,26.8,78.2,27.3,32.8,OpenPlay,False
Pass,0,25,19859,607,Successful,32.8,29.8,43.7,8.9,OpenPlay,False
Pass,0,28,136481,607,Unsuccessful,44.4,8.0,74.7,18.9,OpenPlay,False
Pass,0,29,84899,302,Successful,25.3,82.6,31.6,89.9,OpenPlay,False
Pass,0,30,102212,302,Successful,31.6,89.9,41.8,94.5,OpenPlay,False
BallTouch,0,31,131079,302,Unsuccessful,44.0,92.8,,,OpenPlay,False
BallTouch,0,32,136481,607,Unsuccessful,56.0,7.2,,,OpenPlay,False
Pass,0,33,131079,302,Unsuccessful,46.6,93.6,48,92.5,OpenPlay,False
BlockedPass,0,33,136481,607,Successful,52.1,8.1,,,OpenPlay,False
Pass,0,43,102212,302,Successful,53.7,100.0,59.3,87.7,ThrowIn,False
Pass,0,45,93721,302,Successful,59.0,90.6,44.2,93.9,OpenPlay,False
Pass,0,47,84899,302,Successful,43.0,90.8,35.9,72.9,OpenPlay,False
Pass,0,49,134984,302,Successful,33.9,67.6,37.3,23.7,OpenPlay,False
Pass,0,54,116212,302,Unsuccessful,42.2,13.8,73.6,22.4,OpenPlay,False
Pass,0,57,11895,607,Successful,23.8,75.6,29.4,93.9,OpenPlay,False
BallRecovery,0,59,143193,607,Successful,29.4,93.9,,,OpenPlay,False
Pass,0,59,143193,607,Successful,29.4,93.9,35.2,90.8,OpenPlay,False
Pass,1,2,317743,607,Successful,33.5,91.1,19.4,49.1,OpenPlay,False
Pass,1,4,19859,607,Successful,20.7,47.5,31.9,11.6,OpenPlay,False
Pass,1,10,136481,607,Successful,45.3,12.6,34.2,27.6,OpenPlay,False
Pass,1,14,19859,607,Successful,40.6,25.6,53.4,6.5,OpenPlay,False
Pass,1,21,239872,607,Successful,39.7,21.2,30.4,31.5,OpenPlay,False
Pass,1,23,19859,607,Successful,31.1,32.4,31.4,73.8,OpenPlay,False
Pass,1,29,11895,607,Successful,33.0,93.6,43.2,96.9,OpenPlay,False
Pass,1,32,143193,607,Successful,43.6,97.2,90.1,78.1,OpenPlay,False
Pass,1,38,241019,607,Unsuccessful,93.2,76.4,93.4,75.1,OpenPlay,False
BlockedPass,1,38,134984,302,Successful,4.3,26.4,,,OpenPlay,False
CornerAwarded,1,40,134984,302,Unsuccessful,1.8,26.4,,,OpenPlay,False
CornerAwarded,1,40,241019,607,Successful,98.2,73.6,,,OpenPlay,False
Pass,2,7,329409,607,Successful,99.5,99.5,88.3,50.1,ShotAssist,False
SavedShot,2,9,19859,607,Successful,90.7,51.1,,,OpenPlay,False
Save,2,9,44031,302,Successful,4.9,50.4,,,OpenPlay,False
Foul,2,15,93721,302,Successful,29.4,52.5,,,OpenPlay,False
Foul,2,15,143193,607,Unsuccessful,70.6,47.5,,,OpenPlay,False
Pass,2,38,134984,302,Successful,26.8,52.5,29.5,74.5,OpenPlay,False
Pass,2,39,84899,302,Unsuccessful,31.4,74.8,87.4,69.4,OpenPlay,False
KeeperPickup,2,43,141646,607,Successful,10.1,26.4,,,OpenPlay,False
Pass,2,45,141646,607,Successful,11.6,37.6,25.1,86.3,OpenPlay,False
Pass,2,48,143193,607,Successful,25.5,88.2,40.9,83.1,OpenPlay,False
Pass,2,50,317743,607,Successful,41.2,89.2,47.6,95.4,OpenPlay,False
Pass,2,55,143193,607,Successful,62.6,94.2,70.9,85.9,OpenPlay,False
Pass,2,58,241019,607,Successful,70.9,85.9,63.6,90.8,OpenPlay,False
