Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,613,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,69742,607,Successful,50.0,50.0,44,57.3,OpenPlay,False
Pass,0,2,248121,607,Successful,44.0,57.3,38.8,43,OpenPlay,False
Pass,0,4,329409,607,Successful,38.8,42.2,40.4,11.4,OpenPlay,False
Pass,0,7,136481,607,Unsuccessful,40.4,10.9,77.4,22.8,OpenPlay,False
Pass,0,9,6683,613,Successful,21.9,78.5,36.4,78.4,OpenPlay,False
Foul,0,10,123873,613,Successful,33.0,79.8,,,OpenPlay,False
Foul,0,10,329409,607,Unsuccessful,67.0,20.2,,,OpenPlay,False
Pass,0,18,14240,613,Successful,30.5,90.3,25.1,65.4,OpenPlay,False
Pass,0,20,6683,613,Successful,25.1,65.4,26.6,30.4,OpenPlay,False
Pass,0,22,112220,613,Successful,26.6,30.4,33.8,4,OpenPlay,False
Pass,0,25,361816,613,Successful,30.8,8.8,4.4,44,OpenPlay,False
Pass,0,31,130304,613,Successful,3.3,32.1,3.3,13.5,OpenPlay,False
Pass,0,32,112220,613,Unsuccessful,3.3,13.5,8.5,15.8,OpenPlay,False
BallTouch,0,33,322094,607,Successful,94.7,91.8,,,OpenPlay,False
Pass,0,50,130304,613,Unsuccessful,4.6,43.1,58,62.3,OpenPlay,False
Aerial,0,51,33799,613,Unsuccessful,58.2,63.4,,,OpenPlay,False
Aerial,0,51,19859,607,Successful,41.8,36.6,,,OpenPlay,False
Pass,0,52,19859,607,Unsuccessful,41.7,35.4,51.9,18.6,OpenPlay,False
Pass,0,53,14240,613,Successful,47.7,90.3,45.1,77.2,OpenPlay,False
Pass,0,55,123873,613,Successful,42.3,74.1,45.5,65.7,OpenPlay,False
Pass,0,56,124721,613,Successful,45.5,65.7,41.8,77.6,OpenPlay,False
Pass,1,0,123873,613,Unsuccessful,41.2,75.3,65.3,30.7,OpenPlay,False
BallTouch,1,3,143193,607,Successful,36.1,78.2,,,OpenPlay,False
Pass,1,5,361816,613,Unsuccessful,71.2,11.4,78.8,16.7,OpenPlay,False
Interception,1,6,143193,607,Successful,21.6,84.8,,,OpenPlay,False
Pass,1,8,301243,613,Unsuccessful,93.6,23.6,89.1,90,OpenPlay,False
BallRecovery,1,12,136481,607,Successful,10.2,8.8,,,OpenPlay,False
Pass,1,13,136481,607,Unsuccessful,11.2,8.8,46.8,30.3,OpenPlay,False
Dispossessed,1,17,322747,613,Successful,57.4,69.2,,,OpenPlay,False
Tackle,1,17,69742,607,Successful,42.6,30.8,,,OpenPlay,False
Pass,1,22,239872,607,Successful,72.0,39.8,78.9,28.3,OpenPlay,False
Pass,1,27,322094,607,Successful,82.0,45.2,86,68.7,ShotAssist,False
MissedShots,1,29,241019,607,Successful,86.2,67.5,,,OpenPlay,False
Pass,1,56,130304,613,Unsuccessful,4.8,52.2,46.7,23.1,OpenPlay,False
Pass,1,59,241019,607,Unsuccessful,53.7,88.4,65.6,79.9,OpenPlay,False
Pass,2,0,124721,613,Successful,38.4,29.8,27,27.6,OpenPlay,False
Pass,2,3,112220,613,Successful,26.1,27.7,10.5,39.1,OpenPlay,False
KeeperPickup,2,5,130304,613,Successful,10.5,39.1,,,OpenPlay,False
Pass,2,6,130304,613,Successful,12.0,39.2,22.1,44.3,OpenPlay,False
Pass,2,9,6683,613,Successful,25.5,45.4,35.6,46.6,OpenPlay,False
Pass,2,12,124721,613,Successful,35.7,43.3,35.9,24.1,OpenPlay,False
Pass,2,14,112220,613,Successful,38.6,17.7,62.5,2.9,OpenPlay,False
Pass,2,17,361816,613,Successful,67.2,4.4,89.8,18.6,OpenPlay,False
Pass,2,21,135891,613,Unsuccessful,97.3,31.3,89.2,61.7,OpenPlay,False
BallRecovery,2,24,136481,607,Successful,4.6,31.0,,,OpenPlay,False
Pass,2,25,136481,607,Unsuccessful,0.2,25.9,2,24.3,OpenPlay,False
BlockedPass,2,25,123873,613,Successful,94.2,74.1,,,OpenPlay,False
Pass,2,29,329409,607,Unsuccessful,10.7,13.4,12.6,11,OpenPlay,False
BlockedPass,2,29,14240,613,Successful,85.8,88.7,,,OpenPlay,False
Pass,2,43,136481,607,Successful,12.5,0.0,22,4.1,ThrowIn,False
Pass,2,44,239872,607,Unsuccessful,22.0,4.3,12.8,0,OpenPlay,False
Pass,2,49,14240,613,Successful,90.1,100.0,91.3,82.6,ThrowIn,False
Pass,2,50,33799,613,Unsuccessful,96.5,81.1,91.6,55.8,OpenPlay,False
Clearance,2,52,345261,607,Successful,9.6,48.7,15.6,13.2,OpenPlay,False
Pass,2,53,14240,613,Unsuccessful,87.3,84.1,83.1,88.6,OpenPlay,False
BallRecovery,2,55,239872,607,Successful,19.7,4.3,,,OpenPlay,False
Dispossessed,2,56,239872,607,Successful,20.2,4.8,,,OpenPlay,False
Tackle,2,56,14240,613,Successful,79.8,95.2,,,OpenPlay,False
OffsideGiven,3,,33799,613,Unsuccessful,70.3,88.7,,,OpenPlay,False
Pass,3,14,136481,607,Unsuccessful,26.3,0.0,43.3,4.3,ThrowIn,False
OffsideProvoked,3,17,19859,607,Successful,29.6,23.4,,,OpenPlay,False
OffsidePass,3,17,322747,613,Successful,54.6,95.3,70.3,88.7,OpenPlay,False
Pass,3,33,19859,607,Successful,32.8,24.0,35.1,82.4,OpenPlay,False
Pass,3,40,143193,607,Successful,36.1,90.2,30,65.7,OpenPlay,False
Pass,3,44,345261,607,Successful,30.0,65.7,38.4,59.1,OpenPlay,False
Pass,3,45,248121,607,Successful,38.4,59.1,32,28.5,OpenPlay,False
Pass,3,46,19859,607,Successful,32.0,28.6,29.2,56.1,OpenPlay,False
Pass,3,50,345261,607,Successful,29.4,59.3,37.5,93.3,OpenPlay,False
Pass,3,53,143193,607,Unsuccessful,39.2,93.6,70.4,80.6,OpenPlay,False
Interception,3,54,124721,613,Successful,24.1,17.8,,,OpenPlay,False
TakeOn,3,56,241019,607,Unsuccessful,74.5,87.6,,,OpenPlay,False
Tackle,3,56,124721,613,Successful,25.5,12.4,,,OpenPlay,False
BallRecovery,3,57,124721,613,Successful,26.7,16.1,,,OpenPlay,False
Pass,3,59,124721,613,Successful,31.5,15.2,90.5,2.2,OpenPlay,False
Pass,4,8,135891,613,Successful,92.8,13.4,79.6,37.4,ShotAssist,False
SavedShot,4,11,301243,613,Successful,79.1,44.5,,,OpenPlay,False
Save,4,11,19859,607,Successful,14.5,47.8,,,OpenPlay,False
Pass,4,14,329409,607,Unsuccessful,25.1,44.8,29.5,36.6,OpenPlay,False
Pass,4,15,322747,613,Successful,74.3,68.5,74.3,81.5,OpenPlay,False
Pass,4,17,14240,613,Successful,74.1,81.5,81.9,88.9,OpenPlay,False
Pass,4,20,33799,613,Successful,78.7,88.3,72,77.6,OpenPlay,False
Pass,4,23,123873,613,Successful,69.4,76.9,66,58.8,OpenPlay,False
Pass,4,25,124721,613,Successful,65.5,58.4,65.1,25.5,OpenPlay,False
Pass,4,28,112220,613,Successful,64.6,24.7,80.1,6.4,OpenPlay,False
Pass,4,34,361816,613,Unsuccessful,74.1,9.7,71.1,37.1,OpenPlay,False
Interception,4,37,329409,607,Successful,33.4,57.3,,,OpenPlay,False
BallRecovery,4,38,69742,607,Successful,37.0,66.9,,,OpenPlay,False
Pass,4,40,69742,607,Successful,42.5,80.0,57.9,79.3,OpenPlay,False
Pass,4,43,241019,607,Successful,58.4,79.3,63.9,90.6,OpenPlay,False
Pass,4,45,322094,607,Unsuccessful,86.9,76.0,88.4,54.6,OpenPlay,False
Interception,4,46,322747,613,Successful,12.4,44.2,,,OpenPlay,False
KeeperPickup,4,48,130304,613,Successful,8.1,40.9,,,OpenPlay,False
Pass,4,59,130304,613,Successful,12.4,44.3,27,28.9,OpenPlay,False
OffsideGiven,5,,361816,613,Unsuccessful,93.0,4.0,,,OpenPlay,False
Pass,5,2,112220,613,Successful,25.3,29.8,9.6,49.6,OpenPlay,False
Pass,5,4,130304,613,Successful,9.6,49.6,23.2,55.7,OpenPlay,False
Pass,5,8,6683,613,Successful,25.4,58.1,39.6,61.7,OpenPlay,False
Pass,5,9,124721,613,Successful,39.6,61.7,44.8,98,OpenPlay,False
Pass,5,13,14240,613,Successful,45.8,97.5,38.1,66.9,OpenPlay,False
Pass,5,17,6683,613,Successful,39.8,67.6,43.2,86.9,OpenPlay,False
Pass,5,21,322747,613,Unsuccessful,43.9,88.9,74,80.2,OpenPlay,False
Pass,5,24,19859,607,Successful,27.6,24.7,39.3,24.3,OpenPlay,False
BallRecovery,5,25,329409,607,Successful,39.5,23.0,,,OpenPlay,False
Pass,5,26,329409,607,Unsuccessful,39.5,23.0,44.4,0,OpenPlay,False
Pass,5,32,14240,613,Successful,55.0,100.0,52.2,79.3,ThrowIn,False
Pass,5,33,124721,613,Successful,52.2,79.3,42.8,45.7,OpenPlay,False
Pass,5,36,112220,613,Successful,41.2,41.2,60.1,4.7,OpenPlay,False
Pass,5,39,361816,613,Successful,60.4,4.7,70,19.5,OpenPlay,False
Pass,5,41,135891,613,Successful,70.4,17.3,85,3.1,OpenPlay,False
Pass,5,44,361816,613,Unsuccessful,87.6,3.4,89.6,8.2,OpenPlay,False
Clearance,5,44,143193,607,Successful,9.2,91.4,9.2,91.4,OpenPlay,False
Pass,5,51,361816,613,Successful,93.2,0.0,91.7,11,ThrowIn,False
OffsideProvoked,5,58,143193,607,Successful,10.1,92.1,,,OpenPlay,False
OffsidePass,5,58,135891,613,Successful,91.0,11.4,93,4,OpenPlay,False
Pass,6,23,141646,607,Unsuccessful,12.1,84.8,63,75.1,OpenPlay,False
Pass,6,27,112220,613,Successful,31.5,22.7,41.3,37,OpenPlay,False
Pass,6,29,123873,613,Unsuccessful,42.4,39.2,43.7,40.8,OpenPlay,False
BlockedPass,6,29,329409,607,Successful,57.2,61.2,,,OpenPlay,False
BallRecovery,6,32,239872,607,Successful,64.9,44.8,,,OpenPlay,False
TakeOn,6,33,239872,607,Unsuccessful,73.0,49.6,,,OpenPlay,False
Tackle,6,33,14240,613,Successful,27.0,50.4,,,OpenPlay,False
