Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,245,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,0,349207,607,Successful,50.0,50.0,34.1,34.9,OpenPlay,False
Pass,0,4,345261,607,Successful,29.4,33.0,26.5,64.8,OpenPlay,False
Pass,0,7,19859,607,Successful,26.4,64.8,26.3,39.4,OpenPlay,False
Pass,0,12,345261,607,Successful,27.2,37.7,25.6,61.4,OpenPlay,False
Pass,0,13,19859,607,Successful,25.6,61.4,25.3,31.5,OpenPlay,False
Pass,0,15,345261,607,Unsuccessful,25.6,29.4,37.6,29.1,OpenPlay,False
Interception,0,18,234373,245,Successful,60.2,77.0,,,OpenPlay,False
Pass,0,18,345261,607,Successful,34.4,29.4,39.7,30.1,OpenPlay,False
Pass,0,22,239872,607,Successful,46.3,27.1,53.6,24.1,OpenPlay,False
Pass,0,23,349207,607,Successful,53.7,23.7,48.6,12.6,OpenPlay,False
Pass,0,25,136481,607,Unsuccessful,43.8,7.3,85.2,16.2,OpenPlay,False
BallRecovery,0,26,296232,245,Successful,12.1,82.0,,,OpenPlay,False
Pass,0,26,296232,245,Successful,12.1,82.0,4.1,66.3,OpenPlay,False
Pass,0,28,288896,245,Unsuccessful,4.1,66.3,53.5,77.9,OpenPlay,False
BallRecovery,0,32,345261,607,Successful,46.0,25.8,,,OpenPlay,False
Pass,0,33,345261,607,Successful,46.0,25.8,34.5,45.4,OpenPlay,False
Pass,0,34,19859,607,Successful,34.5,45.4,9.8,38,OpenPlay,False
Pass,0,49,141646,607,Unsuccessful,20.1,24.0,61.6,29.1,OpenPlay,False
Aerial,0,52,349207,607,Unsuccessful,67.0,31.0,,,OpenPlay,False
Aerial,0,52,296248,245,Successful,33.0,69.0,,,OpenPlay,False
BallTouch,0,52,296248,245,Successful,29.1,67.8,,,OpenPlay,False
Pass,0,54,234369,245,Successful,22.9,61.2,31.3,73.3,OpenPlay,False
BallRecovery,0,56,234373,245,Successful,31.3,73.3,,,OpenPlay,False
Pass,0,56,234373,245,Successful,31.3,73.3,23.5,78.4,OpenPlay,False
Pass,0,58,296232,245,Unsuccessful,25.6,78.7,70.7,76.9,OpenPlay,False
Pass,1,1,345261,607,Successful,28.8,20.0,34.5,33.6,OpenPlay,False
Aerial,1,3,95422,245,Unsuccessful,70.0,66.8,,,OpenPlay,False
Aerial,1,3,329409,607,Successful,30.0,33.2,,,OpenPlay,False
Pass,1,4,329409,607,Unsuccessful,33.8,33.4,40.2,20,OpenPlay,False
Pass,1,8,249857,245,Successful,64.0,69.1,71,61.7,OpenPlay,False
Pass,1,9,361813,245,Unsuccessful,71.0,61.7,63.6,71.7,OpenPlay,False
BallRecovery,1,10,117776,607,Successful,35.4,23.1,,,OpenPlay,False
Pass,1,13,117776,607,Unsuccessful,43.7,25.2,50.1,26.6,OpenPlay,False
Interception,1,14,234377,245,Successful,50.0,74.6,,,OpenPlay,False
