Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,304,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,50835,304,Successful,50.0,50.0,51.4,53.7,OpenPlay,False
Pass,0,2,300713,304,Successful,44.8,52.2,39.1,43.3,OpenPlay,False
Pass,0,4,91961,304,Successful,39.1,43.3,36.3,24.3,OpenPlay,False
Pass,0,8,101949,304,Successful,36.6,26.2,32.9,48.5,OpenPlay,False
Pass,0,10,28550,304,Successful,34.9,52.8,40.8,77.6,OpenPlay,False
Pass,0,13,96449,304,Successful,42.5,82.4,43.4,93.9,OpenPlay,False
Pass,0,15,255167,304,Successful,46.1,96.2,48,85.4,OpenPlay,False
Pass,0,16,96449,304,Successful,46.6,86.2,38.7,88.1,OpenPlay,False
Pass,0,20,255167,304,Successful,42.3,86.8,36.1,59.1,OpenPlay,False
Pass,0,25,28550,304,Successful,45.1,45.7,58.3,2.3,OpenPlay,False
Pass,0,28,104376,304,Successful,61.0,2.8,67.4,3.4,OpenPlay,False
Foul,0,29,328968,607,Unsuccessful,32.0,95.8,,,OpenPlay,False
Foul,0,29,23110,304,Successful,68.0,4.2,,,OpenPlay,False
Card,0,35,328968,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,1,32,50835,304,Unsuccessful,70.5,5.8,90.8,82.6,OpenPlay,False
BallRecovery,1,37,136481,607,Successful,5.5,10.6,,,OpenPlay,False
Pass,1,38,136481,607,Successful,5.5,10.6,22.5,6.8,OpenPlay,False
Pass,1,40,322094,607,Unsuccessful,23.1,6.4,20.5,6.2,OpenPlay,False
BlockedPass,1,40,28550,304,Successful,80.4,98.9,,,OpenPlay,False
BallRecovery,1,41,28550,304,Successful,80.4,98.9,,,OpenPlay,False
Pass,1,42,28550,304,Unsuccessful,80.4,98.9,81,82.9,OpenPlay,False
BallRecovery,1,43,19859,607,Successful,18.5,17.7,,,OpenPlay,False
Pass,1,44,19859,607,Successful,18.5,17.7,28.1,18.3,OpenPlay,False
Dispossessed,1,46,117776,607,Successful,27.7,8.4,,,OpenPlay,False
Tackle,1,46,28550,304,Successful,72.3,91.6,,,OpenPlay,False
BallRecovery,1,48,255167,304,Successful,66.2,87.2,,,OpenPlay,False
Pass,1,49,255167,304,Successful,62.7,85.3,47.5,74.1,OpenPlay,False
Pass,1,51,91961,304,Successful,48.2,71.4,46.1,34.9,OpenPlay,False
Pass,1,54,101949,304,Successful,46.1,34.9,49,20.1,OpenPlay,False
Pass,1,57,23110,304,Successful,46.5,26.5,53.6,93.6,OpenPlay,False
Pass,2,1,28550,304,Successful,58.1,94.4,63.5,97.5,OpenPlay,False
Dispossessed,2,2,106894,304,Successful,64.4,98.3,,,OpenPlay,False
Tackle,2,2,136481,607,Successful,35.6,1.7,,,OpenPlay,False
Pass,2,14,106894,304,Successful,58.1,100.0,43.9,95.1,ThrowIn,False
Pass,2,21,255167,304,Successful,38.3,59.6,41.3,25,OpenPlay,False
Pass,2,22,101949,304,Successful,41.3,25.0,53.3,2.6,OpenPlay,False
Pass,2,25,104376,304,Successful,53.0,3.8,67.1,4.3,OpenPlay,False
Challenge,2,31,241019,607,Unsuccessful,27.2,85.6,,,OpenPlay,False
