Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,950,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,365122,950,Successful,50.0,50.0,34.8,54,OpenPlay,False
Pass,0,2,236556,950,Successful,35.1,46.7,34.2,5.3,OpenPlay,False
Pass,0,5,115882,950,Successful,34.2,5.3,23.5,27.3,OpenPlay,False
Pass,0,7,108493,950,Successful,24.1,30.1,22,68.7,OpenPlay,False
Pass,0,11,234352,950,Successful,22.5,70.9,27.6,95.7,OpenPlay,False
Pass,0,13,114845,950,Successful,26.1,93.9,23.2,35.2,OpenPlay,False
Pass,0,17,108493,950,Successful,23.6,33.3,38.8,3.4,OpenPlay,False
Pass,0,19,115882,950,Successful,38.8,3.4,37,18.3,OpenPlay,False
Pass,0,21,21073,950,Successful,37.0,18.3,56.1,12,OpenPlay,False
TakeOn,0,23,144285,950,Unsuccessful,55.8,7.3,,,OpenPlay,False
Tackle,0,23,143193,607,Unsuccessful,44.2,92.7,,,OpenPlay,False
BallTouch,0,24,144285,950,Successful,54.1,5.9,,,OpenPlay,False
Pass,0,34,143193,607,Successful,53.2,100.0,34.7,95.4,ThrowIn,False
Pass,0,38,11895,607,Successful,31.7,84.1,32.3,52.4,OpenPlay,False
Pass,0,44,19859,607,Successful,43.7,48.8,41.3,77.9,OpenPlay,False
Pass,0,51,11895,607,Successful,44.9,76.7,40.6,63.4,OpenPlay,False
Pass,0,54,19859,607,Successful,45.4,56.7,46.4,79.9,OpenPlay,False
Pass,0,57,11895,607,Successful,54.1,80.6,60.3,81.2,OpenPlay,False
Pass,0,58,322094,607,Successful,60.2,83.2,65.1,94.5,OpenPlay,False
Pass,1,2,143193,607,Unsuccessful,70.7,94.1,87.1,52.1,OpenPlay,False
BallTouch,1,4,114845,950,Successful,12.6,65.1,,,OpenPlay,False
BallRecovery,1,5,234352,950,Successful,14.1,50.7,,,OpenPlay,False
Pass,1,6,234352,950,Successful,14.4,49.6,27.5,25.9,OpenPlay,False
Pass,1,10,21073,950,Unsuccessful,28.8,34.5,62.4,95.6,OpenPlay,False
BallRecovery,1,16,136481,607,Successful,34.4,4.0,,,OpenPlay,False
Pass,1,17,136481,607,Unsuccessful,33.2,3.4,45.7,4.7,OpenPlay,False
BallTouch,1,20,114845,950,Unsuccessful,56.5,95.9,,,OpenPlay,False
Foul,1,22,117776,607,Successful,32.3,3.8,,,OpenPlay,False
Foul,1,22,114845,950,Unsuccessful,67.7,96.2,,,OpenPlay,False
Pass,1,33,136481,607,Successful,33.8,4.3,26.4,28.2,OpenPlay,False
Pass,1,42,19859,607,Successful,45.1,46.6,47,25.6,OpenPlay,False
Pass,1,43,117776,607,Successful,47.0,25.6,39.6,41.2,OpenPlay,False
Pass,1,48,19859,607,Successful,39.9,43.6,38,73.2,OpenPlay,False
Pass,1,53,11895,607,Successful,43.5,76.7,37.3,57.6,OpenPlay,False
Pass,1,56,19859,607,Successful,36.7,56.7,41.4,24,OpenPlay,False
Pass,1,58,117776,607,Successful,40.6,26.8,37,55.2,OpenPlay,False
Pass,2,1,19859,607,Successful,37.0,56.6,46.7,67.6,OpenPlay,False
Pass,2,2,322094,607,Successful,46.7,67.6,41.3,89,OpenPlay,False
Pass,2,9,11895,607,Successful,52.8,83.6,44.8,50.6,OpenPlay,False
Pass,2,14,19859,607,Successful,48.2,45.1,59.5,2.9,OpenPlay,False
Pass,2,18,136481,607,Successful,60.5,7.6,46.2,41.8,OpenPlay,False
Pass,2,21,19859,607,Successful,52.5,45.2,46.3,70.6,OpenPlay,False
Pass,2,25,11895,607,Successful,53.9,74.4,60.1,96.5,OpenPlay,False
Pass,2,27,143193,607,Successful,60.0,95.7,66.8,91.4,OpenPlay,False
Pass,2,32,241019,607,Successful,54.6,81.4,45.6,57,OpenPlay,False
Pass,2,35,19859,607,Successful,46.6,52.8,61.5,47,OpenPlay,False
Pass,2,36,239872,607,Successful,61.5,47.0,45.9,50.9,OpenPlay,False
Pass,2,39,19859,607,Successful,45.9,51.0,46.6,77.3,OpenPlay,False
Pass,2,44,11895,607,Successful,58.3,80.8,62.9,80.9,OpenPlay,False
Pass,2,45,241019,607,Successful,62.9,80.9,65,94.7,OpenPlay,False
Pass,2,49,143193,607,Successful,65.4,94.8,49.7,81.8,OpenPlay,False
