Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,313,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,129999,313,Successful,50.0,49.9,43.6,56.5,OpenPlay,False
Pass,0,3,79562,313,Successful,42.9,52.0,56,2.1,OpenPlay,False
Pass,0,7,322670,313,Successful,55.6,4.7,39.6,3.5,OpenPlay,False
Pass,0,11,289018,313,Successful,40.0,8.0,33.4,34.8,OpenPlay,False
Pass,0,12,34176,313,Successful,33.4,34.8,30.3,63.1,OpenPlay,False
Pass,0,16,121720,313,Successful,28.6,61.7,32.1,33,OpenPlay,False
Pass,0,18,34176,313,Successful,32.3,25.8,36.2,5.9,OpenPlay,False
Pass,0,20,289018,313,Successful,37.0,4.4,58.7,3.6,OpenPlay,False
Pass,0,23,129999,313,Successful,56.7,3.2,52.7,13.8,OpenPlay,False
Pass,0,24,289018,313,Successful,54.1,14.6,69.2,5.6,OpenPlay,False
BallTouch,0,27,322670,313,Unsuccessful,70.2,5.2,,,OpenPlay,False
Pass,0,40,361812,607,Unsuccessful,31.0,100.0,40.1,95.3,ThrowIn,False
Pass,0,43,289018,313,Successful,51.8,7.9,54.9,14.9,OpenPlay,False
BallRecovery,0,44,369109,313,Successful,54.9,14.9,,,OpenPlay,False
Pass,0,45,369109,313,Successful,53.8,18.6,44.3,49.3,OpenPlay,False
Pass,0,49,288892,313,Successful,50.0,61.0,62.1,75.6,OpenPlay,False
Pass,0,52,300291,313,Successful,60.8,90.6,59.8,78.7,OpenPlay,False
Pass,0,54,79562,313,Successful,60.4,89.1,37.2,77.2,OpenPlay,False
Pass,0,58,121720,313,Successful,36.9,59.3,42.2,31.2,OpenPlay,False
Pass,1,0,369109,313,Successful,47.0,18.5,55.4,3.2,OpenPlay,False
Pass,1,3,289018,313,Successful,60.5,3.8,77.9,2.9,OpenPlay,False
Pass,1,10,369109,313,Unsuccessful,78.9,20.9,81,58.8,OpenPlay,False
BallRecovery,1,12,42248,607,Successful,16.5,42.8,,,OpenPlay,False
Pass,1,13,42248,607,Successful,18.7,43.5,31.5,49.9,OpenPlay,False
TakeOn,1,16,322094,607,Unsuccessful,44.4,49.7,,,OpenPlay,False
Tackle,1,16,121720,313,Unsuccessful,55.6,50.3,,,OpenPlay,False
Pass,1,18,322094,607,Unsuccessful,49.9,54.2,51.2,55.1,OpenPlay,False
BlockedPass,1,18,34176,313,Successful,45.0,46.1,,,OpenPlay,False
BallTouch,2,14,58761,313,Successful,58.8,67.0,,,OpenPlay,False
Pass,2,25,141646,607,Successful,12.6,34.9,19.6,66.7,OpenPlay,False
Pass,2,29,11895,607,Successful,18.7,63.9,20.2,28.2,OpenPlay,False
Pass,2,31,19859,607,Successful,20.2,26.7,8.5,45.5,OpenPlay,False
Pass,2,33,141646,607,Unsuccessful,8.5,45.5,58.1,35.1,OpenPlay,False
Aerial,2,36,23054,607,Unsuccessful,60.5,36.8,,,OpenPlay,False
Aerial,2,36,121720,313,Successful,39.5,63.2,,,OpenPlay,False
Pass,2,37,121720,313,Unsuccessful,37.1,61.5,63.2,64.5,OpenPlay,False
Pass,2,40,117776,607,Successful,43.1,37.0,45.9,23.3,OpenPlay,False
Pass,2,43,42248,607,Successful,54.7,21.8,63,4.4,OpenPlay,False
Pass,2,49,317743,607,Successful,58.3,21.6,56.7,33.1,OpenPlay,False
Pass,2,52,117776,607,Successful,56.3,33.6,56.6,92.3,OpenPlay,False
Pass,2,58,361812,607,Successful,62.8,97.1,60.9,88.7,OpenPlay,False
Pass,3,0,241019,607,Successful,65.0,84.3,64.4,61.8,OpenPlay,False
Pass,3,1,117776,607,Successful,65.4,56.3,65.7,63.7,OpenPlay,False
Pass,3,3,248121,607,Successful,64.9,64.3,71.3,51.6,ShotAssist,False
SavedShot,3,4,322094,607,Successful,74.2,53.2,,,OpenPlay,False
Save,3,4,283271,313,Successful,4.3,50.4,,,OpenPlay,False
