Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,145,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,69499,145,Successful,49.9,50.0,51.9,50,OpenPlay,False
Pass,0,3,71381,145,Successful,51.9,50.0,47.7,2.8,OpenPlay,False
Pass,0,5,11367,145,Successful,48.0,2.8,47.5,12.6,OpenPlay,False
Pass,0,8,296230,145,Successful,47.4,11.7,27.4,22.7,OpenPlay,False
Pass,0,10,361822,145,Successful,27.8,22.7,26.9,74,OpenPlay,False
Pass,0,14,25482,145,Successful,25.0,74.4,29.4,95.3,OpenPlay,False
Pass,0,16,44417,145,Unsuccessful,28.1,95.0,32.8,95.2,OpenPlay,False
BallTouch,0,17,239872,607,Successful,62.6,7.6,,,OpenPlay,False
Pass,0,18,136481,607,Unsuccessful,42.9,5.9,58,7.4,OpenPlay,False
Pass,0,19,44417,145,Successful,44.5,92.7,53,92.7,OpenPlay,False
Pass,0,20,69499,145,Successful,53.0,92.7,47.9,96,OpenPlay,False
Pass,0,21,44417,145,Successful,47.9,96.0,67.2,94.5,OpenPlay,False
Pass,0,26,85693,145,Unsuccessful,71.4,76.6,91.3,82.7,OpenPlay,False
BallRecovery,0,30,136481,607,Successful,8.2,14.3,,,OpenPlay,False
Pass,0,32,136481,607,Unsuccessful,3.0,8.2,3.7,8.2,OpenPlay,False
BlockedPass,0,32,44417,145,Successful,94.3,91.2,,,OpenPlay,False
Pass,0,47,136481,607,Successful,8.3,0.0,16.7,6.2,ThrowIn,False
Pass,0,48,117776,607,Successful,16.7,6.2,5.4,6.8,OpenPlay,False
Pass,0,50,136481,607,Unsuccessful,5.4,6.8,44,20.6,OpenPlay,False
Aerial,0,54,239872,607,Unsuccessful,43.2,18.1,,,OpenPlay,False
Aerial,0,54,296230,145,Successful,56.8,81.9,,,OpenPlay,False
Pass,0,55,296230,145,Successful,54.1,81.2,40.3,73.8,OpenPlay,False
BallRecovery,0,56,361822,145,Successful,40.7,69.7,,,OpenPlay,False
Pass,0,57,361822,145,Unsuccessful,40.7,69.7,42.5,75.6,OpenPlay,False
BallRecovery,0,59,322094,607,Successful,63.5,12.0,,,OpenPlay,False
Pass,1,0,322094,607,Successful,65.2,27.9,62.4,40.8,OpenPlay,False
Pass,1,2,349207,607,Successful,62.3,40.7,57.7,70.6,OpenPlay,False
Pass,1,4,143193,607,Unsuccessful,64.6,74.2,78.9,41.8,OpenPlay,False
Clearance,1,7,25482,145,Successful,21.2,58.1,43.2,64.3,OpenPlay,False
Pass,1,9,19859,607,Successful,59.9,32.1,73.9,32.4,OpenPlay,False
Pass,1,12,322094,607,Successful,75.8,35.1,80.3,26.8,OpenPlay,False
Pass,1,13,349207,607,Unsuccessful,80.3,26.8,86.8,43.6,OpenPlay,False
Clearance,1,15,361822,145,Successful,13.8,55.4,53.2,76.4,OpenPlay,False
Pass,1,20,19859,607,Successful,43.1,30.1,34.3,49.9,OpenPlay,False
Pass,1,21,334087,607,Unsuccessful,34.3,49.9,61.4,8.5,OpenPlay,False
BallRecovery,1,24,85693,145,Successful,39.0,93.6,,,OpenPlay,False
Foul,1,25,349207,607,Unsuccessful,61.8,7.5,,,OpenPlay,False
Foul,1,25,85693,145,Successful,38.2,92.5,,,OpenPlay,False
Pass,1,58,44417,145,Successful,35.2,94.1,27.1,66.3,OpenPlay,False
Pass,1,59,25482,145,Successful,27.1,66.3,27.3,20.4,OpenPlay,False
Pass,2,4,361822,145,Successful,30.2,22.1,30,59.4,OpenPlay,False
Pass,2,7,25482,145,Successful,35.1,63.3,33.2,93.2,OpenPlay,False
Pass,2,10,44417,145,Unsuccessful,35.7,92.1,100,81.1,OpenPlay,False
Pass,2,44,141646,607,Unsuccessful,5.4,54.0,55.3,85.9,OpenPlay,False
Aerial,2,49,349207,607,Unsuccessful,56.4,85.5,,,OpenPlay,False
Aerial,2,49,11367,145,Successful,43.6,14.5,,,OpenPlay,False
Pass,2,50,11367,145,Unsuccessful,42.6,14.9,45,15,OpenPlay,False
BallTouch,2,51,349207,607,Successful,55.3,86.6,,,OpenPlay,False
BallRecovery,2,52,78023,145,Successful,45.5,3.2,,,OpenPlay,False
Pass,2,53,78023,145,Successful,45.5,3.2,39.3,4.3,OpenPlay,False
Pass,2,54,361822,145,Successful,39.3,3.8,45,20.2,OpenPlay,False
Pass,2,55,296230,145,Successful,44.6,22.5,34.9,46.1,OpenPlay,False
Pass,2,57,33886,145,Successful,34.9,46.1,25.2,31.9,OpenPlay,False
Pass,2,59,25482,145,Successful,25.1,32.1,3.2,36.4,OpenPlay,False
Pass,3,3,25608,145,Successful,3.2,36.4,45.8,32.2,OpenPlay,False
Pass,3,6,69499,145,Successful,46.1,34.6,37.1,41.2,OpenPlay,False
Pass,3,9,296230,145,Successful,37.4,43.3,34.9,69.7,OpenPlay,False
Pass,3,10,33886,145,Successful,34.9,69.7,44.9,96.5,OpenPlay,False
Pass,3,14,44417,145,Successful,48.1,93.8,45.5,79.6,OpenPlay,False
Pass,3,16,33886,145,Successful,45.8,78.7,73.3,6.8,OpenPlay,False
Pass,3,21,78023,145,Unsuccessful,81.6,12.8,90.4,43.3,OpenPlay,False
Clearance,3,23,334087,607,Successful,11.5,59.4,22.3,76.9,OpenPlay,False
BallTouch,3,29,78023,145,Unsuccessful,79.5,19.2,,,OpenPlay,False
BallTouch,3,30,241019,607,Successful,20.4,82.0,,,OpenPlay,False
BallRecovery,3,31,329409,607,Successful,20.7,81.2,,,OpenPlay,False
Pass,3,32,329409,607,Successful,19.4,80.8,14.5,94.8,OpenPlay,False
TakeOn,3,33,143193,607,Unsuccessful,16.6,92.2,,,OpenPlay,False
Tackle,3,33,11367,145,Successful,83.4,7.8,,,OpenPlay,False
Pass,4,4,141646,607,Successful,5.4,54.0,59,86.5,OpenPlay,False
Aerial,4,9,11367,145,Unsuccessful,38.7,11.6,,,OpenPlay,False
Aerial,4,9,241019,607,Successful,61.3,88.4,,,OpenPlay,False
Pass,4,10,241019,607,Unsuccessful,59.0,86.5,63.5,89.4,OpenPlay,False
Interception,4,11,25482,145,Successful,38.4,8.9,,,OpenPlay,False
Pass,4,13,322094,607,Successful,62.3,93.8,64.7,86.5,OpenPlay,False
Pass,4,14,241019,607,Successful,64.7,86.5,64.7,88.9,OpenPlay,False
BallTouch,4,17,349207,607,Unsuccessful,85.6,80.4,,,OpenPlay,False
Pass,4,49,25608,145,Successful,4.1,47.0,60.6,22.8,OpenPlay,False
TakeOn,4,53,78023,145,Unsuccessful,73.2,33.1,,,OpenPlay,False
KeeperSweeper,4,56,141646,607,Successful,0.0,0.0,,,OpenPlay,False
Smother,4,57,141646,607,Successful,14.2,56.9,,,OpenPlay,False
Pass,4,59,141646,607,Successful,14.5,55.0,28.1,42.5,OpenPlay,False
Pass,5,0,329409,607,Successful,30.3,39.4,26.1,18.4,OpenPlay,False
Foul,5,5,136481,607,Successful,31.4,4.0,,,OpenPlay,False
Foul,5,5,85693,145,Unsuccessful,68.6,96.0,,,OpenPlay,False
Pass,5,46,19859,607,Successful,36.5,8.5,12,34.9,OpenPlay,False
Pass,5,49,141646,607,Successful,12.5,33.1,24,18,OpenPlay,False
Pass,5,53,19859,607,Successful,22.7,39.2,22.3,74.8,OpenPlay,False
Pass,5,57,334087,607,Successful,23.0,70.0,15.3,51.6,OpenPlay,False
Pass,5,59,19859,607,Successful,15.3,57.2,22.8,88.4,OpenPlay,False
Pass,6,2,334087,607,Successful,28.0,93.3,42,83.6,OpenPlay,False
Pass,6,7,322094,607,Unsuccessful,62.7,80.0,94.6,89.6,OpenPlay,False
BallRecovery,6,11,11367,145,Successful,6.4,6.2,,,OpenPlay,False
Pass,6,12,11367,145,Successful,6.4,6.2,3.8,23.9,OpenPlay,False
Pass,6,14,361822,145,Successful,3.7,17.7,3.6,3.7,OpenPlay,False
Pass,6,15,11367,145,Unsuccessful,3.6,3.7,19.2,4.3,OpenPlay,False
BallRecovery,6,17,322094,607,Successful,75.2,96.0,,,OpenPlay,False
TakeOn,6,19,322094,607,Unsuccessful,78.0,95.2,,,OpenPlay,False
Tackle,6,19,78023,145,Unsuccessful,22.0,4.8,,,OpenPlay,False
BallTouch,6,20,322094,607,Successful,76.7,95.4,,,OpenPlay,False
Pass,6,21,296230,145,Unsuccessful,18.5,7.3,27.1,0,OpenPlay,False
Pass,6,25,329409,607,Successful,68.8,100.0,68.1,92.7,ThrowIn,False
Pass,6,26,241019,607,Successful,68.1,92.1,61.9,96.9,OpenPlay,False
Pass,6,27,329409,607,Successful,61.2,97.1,50.4,96.5,OpenPlay,False
Pass,6,29,334087,607,Successful,44.7,93.5,39.1,65.1,OpenPlay,False
Pass,6,35,19859,607,Successful,38.6,61.2,46.7,61.8,OpenPlay,False
Pass,6,39,329409,607,Successful,38.8,31.5,39.4,7.6,OpenPlay,False
Pass,6,41,136481,607,Unsuccessful,38.4,6.8,65.6,6.5,OpenPlay,False
Clearance,6,43,25482,145,Successful,35.2,92.1,38.9,100,OpenPlay,False
Pass,7,18,136481,607,Successful,62.9,0.0,70.5,5.2,ThrowIn,False
Pass,7,19,239872,607,Unsuccessful,70.5,5.2,64.6,2.6,OpenPlay,False
Clearance,7,20,33886,145,Successful,30.1,98.1,30.8,100,OpenPlay,False
Pass,7,28,136481,607,Successful,64.8,0.0,76.4,6.5,ThrowIn,False
Pass,7,29,349207,607,Unsuccessful,75.4,6.0,74.8,12,OpenPlay,False
Pass,7,30,25482,145,Successful,24.2,86.1,41.6,92.3,OpenPlay,False
BallRecovery,7,32,69499,145,Successful,38.3,93.0,,,OpenPlay,False
Pass,7,33,69499,145,Successful,38.3,93.0,42.8,75.1,OpenPlay,False
BallTouch,7,36,71381,145,Successful,58.9,74.4,,,OpenPlay,False
Foul,7,37,78023,145,Successful,65.5,77.1,,,OpenPlay,False
Foul,7,37,334087,607,Unsuccessful,34.5,22.9,,,OpenPlay,False
Pass,8,18,71381,145,Unsuccessful,65.5,79.6,100,31.9,OpenPlay,False
Pass,8,30,141646,607,Successful,5.5,55.1,31.1,79,OpenPlay,False
Pass,8,31,322094,607,Successful,28.9,83.7,32.8,65.5,OpenPlay,False
Pass,8,35,117776,607,Unsuccessful,38.6,53.3,74.7,91.4,OpenPlay,False
Clearance,8,37,361822,145,Successful,22.1,8.0,16.6,0,OpenPlay,False
Pass,8,51,143193,607,Successful,81.7,100.0,73.5,94.1,ThrowIn,False
Pass,8,52,329409,607,Successful,72.6,93.9,70.6,98.7,OpenPlay,False
Pass,8,53,143193,607,Successful,70.6,98.7,65.5,72.1,OpenPlay,False
Dispossessed,8,55,117776,607,Successful,66.2,69.2,,,OpenPlay,False
Tackle,8,55,71381,145,Successful,33.8,30.8,,,OpenPlay,False
BallRecovery,8,56,78023,145,Successful,37.0,23.3,,,OpenPlay,False
Dispossessed,8,57,78023,145,Successful,36.7,22.6,,,OpenPlay,False
Tackle,8,57,329409,607,Successful,63.3,77.4,,,OpenPlay,False
BallRecovery,8,58,143193,607,Successful,61.9,78.1,,,OpenPlay,False
Pass,8,59,143193,607,Successful,61.9,78.1,46.4,56.3,OpenPlay,False
Pass,9,4,19859,607,Unsuccessful,68.8,31.3,76.5,15.3,OpenPlay,False
BallRecovery,9,6,44417,145,Successful,21.7,86.3,,,OpenPlay,False
Pass,9,7,44417,145,Successful,21.7,86.3,45.5,92.6,OpenPlay,False
TakeOn,9,9,71381,145,Unsuccessful,45.5,92.6,,,OpenPlay,False
BallRecovery,9,10,334087,607,Successful,40.9,28.6,,,OpenPlay,False
Pass,9,11,334087,607,Successful,40.9,28.6,48.7,35.1,OpenPlay,False
Pass,9,13,329409,607,Unsuccessful,53.6,33.9,87.6,65.1,OpenPlay,False
BallRecovery,9,16,25608,145,Successful,14.1,30.3,,,OpenPlay,False
Pass,9,20,25608,145,Successful,14.9,30.0,25.6,22.8,OpenPlay,False
Pass,9,23,361822,145,Successful,25.1,24.4,27.5,75.3,OpenPlay,False
Pass,9,28,33886,145,Successful,27.7,77.5,42.4,75.6,OpenPlay,False
Pass,9,29,85693,145,Successful,40.2,76.5,40.6,59.2,OpenPlay,False
Pass,9,31,296230,145,Unsuccessful,40.5,64.2,36.8,80.8,OpenPlay,False
Error,9,32,296230,145,Successful,31.1,60.3,,,OpenPlay,False
Interception,9,33,239872,607,Successful,63.4,22.1,,,OpenPlay,False
BallRecovery,9,34,239872,607,Successful,68.5,18.9,,,OpenPlay,False
Challenge,9,36,25482,145,Unsuccessful,12.4,64.3,,,OpenPlay,False
TakeOn,9,36,239872,607,Successful,87.6,35.7,,,OpenPlay,False
SavedShot,9,37,239872,607,Successful,96.4,38.5,,,OpenPlay,False
Save,9,37,25608,145,Successful,2.0,55.0,,,OpenPlay,False
CornerAwarded,9,38,25608,145,Unsuccessful,3.2,59.7,,,OpenPlay,False
CornerAwarded,9,38,239872,607,Successful,96.8,40.3,,,OpenPlay,False
Pass,10,10,329409,607,Unsuccessful,99.5,0.5,92.8,42.5,CornerTaken,False
Clearance,10,13,44417,145,Successful,4.1,57.3,28.1,8.1,OpenPlay,False
Pass,10,19,241019,607,Successful,74.5,93.6,86.5,59.1,ShotAssist,False
SavedShot,10,21,349207,607,Successful,86.8,52.1,,,OpenPlay,False
Save,10,21,25608,145,Successful,1.8,49.4,,,OpenPlay,False
KeeperPickup,10,25,25608,145,Successful,1.8,49.4,,,OpenPlay,False
Pass,10,37,25608,145,Successful,6.2,49.3,29.6,53.7,OpenPlay,False
Pass,10,39,33886,145,Unsuccessful,29.9,54.0,57.7,100,OpenPlay,False
Pass,10,47,136481,607,Successful,40.5,0.0,59.2,6.7,ThrowIn,False
Pass,10,49,349207,607,Unsuccessful,59.2,6.7,56.6,15,OpenPlay,False
BallTouch,10,50,44417,145,Successful,39.7,86.3,,,OpenPlay,False
BallRecovery,10,51,33886,145,Successful,46.2,75.1,,,OpenPlay,False
Pass,10,52,33886,145,Successful,46.3,74.6,61,75,OpenPlay,False
Pass,10,53,71381,145,Successful,63.4,73.8,75.4,85.7,OpenPlay,False
Pass,10,56,69499,145,Successful,81.2,87.6,79.6,93.1,OpenPlay,False
Pass,11,4,85693,145,Successful,80.1,86.6,77.5,91.8,OpenPlay,False
Pass,11,8,33886,145,Successful,75.2,92.1,61.3,54.8,OpenPlay,False
Pass,11,12,296230,145,Unsuccessful,65.8,51.2,85.8,81.4,OpenPlay,False
Clearance,11,15,136481,607,Successful,17.1,15.6,26.4,14.4,OpenPlay,False
Pass,11,16,44417,145,Successful,79.9,83.8,86,75.3,OpenPlay,False
BallTouch,11,17,85693,145,Unsuccessful,86.0,75.3,,,OpenPlay,False
Pass,11,18,136481,607,Unsuccessful,11.8,18.4,30.1,18.2,OpenPlay,False
Pass,11,20,33886,145,Successful,70.8,80.8,56.1,67.9,OpenPlay,False
Pass,11,23,25482,145,Successful,56.0,64.2,54.4,27.9,OpenPlay,False
Pass,11,25,361822,145,Successful,54.4,26.8,59.9,1.1,OpenPlay,False
TakeOn,11,27,11367,145,Unsuccessful,60.6,1.9,,,OpenPlay,False
Tackle,11,27,143193,607,Successful,39.4,98.1,,,OpenPlay,False
Pass,11,41,11367,145,Successful,65.0,0.0,80.2,0.7,ThrowIn,False
Dispossessed,11,44,69499,145,Successful,86.2,2.5,,,OpenPlay,False
Tackle,11,44,143193,607,Successful,13.8,97.5,,,OpenPlay,False
Pass,11,56,11367,145,Successful,85.4,0.0,78.6,6.7,ThrowIn,False
Pass,12,1,296230,145,Successful,74.0,4.1,55.5,22.5,OpenPlay,False
