Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,148,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,234364,148,Successful,50.0,50.0,45.1,48.7,OpenPlay,False
Pass,0,3,113747,148,Successful,45.0,48.7,29.9,37.7,OpenPlay,False
Pass,0,5,321145,148,Successful,29.6,40.9,33.7,83.9,OpenPlay,False
Pass,0,9,234405,148,Successful,38.5,86.5,31.5,63.4,OpenPlay,False
Pass,0,12,34214,148,Successful,31.5,62.9,31.3,33.1,OpenPlay,False
Pass,0,15,321145,148,Successful,31.0,29.4,37.6,5.8,OpenPlay,False
Pass,0,18,232580,148,Successful,36.0,22.2,30.5,46.4,OpenPlay,False
Pass,0,21,34214,148,Successful,33.4,67.3,38.2,91.1,OpenPlay,False
Pass,0,24,234405,148,Unsuccessful,40.9,92.7,43.8,92.7,OpenPlay,False
BlockedPass,0,24,349207,607,Successful,52.8,5.9,,,OpenPlay,False
Aerial,0,28,349207,607,Unsuccessful,58.6,4.6,,,OpenPlay,False
Aerial,0,28,234405,148,Successful,41.4,95.4,,,OpenPlay,False
Pass,0,29,234405,148,Successful,40.2,94.8,48.1,97.5,OpenPlay,False
Pass,0,30,105151,148,Unsuccessful,48.1,97.5,56.4,95.4,OpenPlay,False
BallRecovery,0,31,42248,607,Successful,43.3,7.3,,,OpenPlay,False
Pass,0,32,42248,607,Successful,43.3,7.3,46.1,14.9,OpenPlay,False
BallTouch,0,33,117776,607,Unsuccessful,43.8,12.5,,,OpenPlay,False
Pass,0,34,362470,148,Successful,55.5,92.9,57.9,94.8,OpenPlay,False
Pass,0,35,113747,148,Successful,58.0,95.0,52.2,98,OpenPlay,False
BallRecovery,0,36,105151,148,Successful,51.8,96.5,,,OpenPlay,False
Pass,0,38,105151,148,Successful,47.7,95.9,14.4,51.6,OpenPlay,False
Pass,0,44,78386,148,Successful,14.0,46.1,27.7,18.8,OpenPlay,False
Pass,0,47,321145,148,Successful,35.6,17.1,41.2,5.8,OpenPlay,False
Pass,0,49,232580,148,Successful,41.0,7.6,37.2,13.5,OpenPlay,False
Pass,0,51,321145,148,Successful,33.7,23.6,35.7,47.6,OpenPlay,False
Pass,0,53,107891,148,Successful,39.0,54.3,53.5,65.4,OpenPlay,False
TakeOn,0,55,362470,148,Unsuccessful,52.4,66.4,,,OpenPlay,False
Tackle,0,55,117776,607,Unsuccessful,47.6,33.6,,,OpenPlay,False
Pass,0,57,362470,148,Successful,59.3,62.3,62.5,61.5,OpenPlay,False
Pass,0,58,234364,148,Successful,62.5,61.5,54.1,57.3,OpenPlay,False
Pass,0,59,306766,148,Successful,54.9,53.9,68.6,3.5,OpenPlay,False
Pass,1,4,232580,148,Successful,65.4,7.6,55.2,7.4,OpenPlay,False
Pass,1,7,321145,148,Successful,54.4,8.9,52.1,20.7,OpenPlay,False
Pass,1,8,107891,148,Successful,52.5,21.8,44.5,44.5,OpenPlay,False
Pass,1,10,34214,148,Successful,46.1,47.8,48,84.4,OpenPlay,False
Pass,1,13,234405,148,Unsuccessful,54.1,90.5,78.3,33.9,OpenPlay,False
BallRecovery,1,17,143193,607,Successful,20.4,68.5,,,OpenPlay,False
Pass,1,18,143193,607,Unsuccessful,22.1,69.4,54.7,49.1,OpenPlay,False
Pass,1,21,34214,148,Successful,42.1,49.3,47,50.1,OpenPlay,False
BallRecovery,1,22,107891,148,Successful,47.2,50.7,,,OpenPlay,False
Pass,1,23,107891,148,Successful,47.2,50.7,36.8,79.9,OpenPlay,False
Pass,1,25,234405,148,Successful,37.8,81.1,43.9,95.3,OpenPlay,False
Challenge,1,31,239872,607,Unsuccessful,34.6,5.4,,,OpenPlay,False
TakeOn,1,31,105151,148,Successful,65.4,94.6,,,OpenPlay,False
Pass,1,32,105151,148,Successful,67.0,95.1,89.5,85.3,OpenPlay,False
Pass,1,35,113747,148,Unsuccessful,95.2,85.5,96,50.5,OpenPlay,False
