Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,246,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,29814,246,Successful,50.0,50.0,38.7,45.5,OpenPlay,False
Pass,0,2,100054,246,Successful,37.5,45.6,37.7,47.2,OpenPlay,False
Pass,0,3,113260,246,Unsuccessful,37.7,48.0,76.5,13.2,OpenPlay,False
Pass,0,6,143193,607,Unsuccessful,22.6,80.9,33.9,78.1,OpenPlay,False
Pass,0,8,297210,246,Unsuccessful,63.5,25.2,68,33.8,OpenPlay,False
Foul,0,9,117776,607,Unsuccessful,30.2,68.6,,,OpenPlay,False
Foul,0,9,29814,246,Successful,69.8,31.4,,,OpenPlay,False
Pass,1,40,29814,246,Successful,69.2,30.7,70.9,30.4,OpenPlay,False
Pass,1,41,100054,246,Successful,71.2,29.9,70.4,31,OpenPlay,False
Pass,1,42,29814,246,Unsuccessful,68.9,33.6,73.9,36.9,OpenPlay,False
BallTouch,1,43,239872,607,Successful,38.2,68.4,,,OpenPlay,False
Clearance,1,44,117776,607,Successful,9.8,45.0,12.5,47,OpenPlay,False
Pass,1,48,297210,246,Successful,70.4,91.8,75,95.7,OpenPlay,False
Pass,1,49,113260,246,Successful,75.0,95.7,72.3,85.9,OpenPlay,False
Pass,1,52,365124,246,Successful,61.7,87.5,58,69.6,OpenPlay,False
Pass,1,53,328075,246,Successful,57.6,69.4,45.6,64.3,OpenPlay,False
Pass,1,58,100054,246,Unsuccessful,47.1,57.3,84.8,28.8,OpenPlay,False
BallTouch,2,2,143193,607,Successful,13.0,69.0,,,OpenPlay,False
KeeperPickup,2,5,141646,607,Successful,7.1,58.8,,,OpenPlay,False
Pass,2,5,141646,607,Successful,7.1,58.8,23.7,26.8,OpenPlay,False
Pass,2,8,136481,607,Successful,24.3,25.3,32.1,16.4,OpenPlay,False
Pass,2,9,239872,607,Successful,32.1,16.4,23.5,15.9,OpenPlay,False
Pass,2,11,136481,607,Successful,23.5,15.9,10.8,24.3,OpenPlay,False
Pass,2,14,19859,607,Successful,10.8,24.6,4.2,42.1,OpenPlay,False
Pass,2,17,141646,607,Unsuccessful,4.2,42.1,31.1,37.4,OpenPlay,False
Pass,2,19,365124,246,Successful,66.6,67.3,75,66.3,OpenPlay,False
BallRecovery,2,20,42003,246,Successful,75.0,66.3,,,OpenPlay,False
Pass,2,22,42003,246,Successful,82.4,75.3,92.7,91.1,OpenPlay,False
Pass,2,23,121858,246,Unsuccessful,92.7,91.1,100,21.5,OpenPlay,False
Pass,2,55,141646,607,Unsuccessful,4.7,48.7,63.6,33.4,OpenPlay,False
Pass,2,58,365124,246,Successful,36.9,81.5,20.2,84.7,OpenPlay,False
