,Player,Pos,Squad,Comp,Age,90s,Drib,Fld,Att,Touches,Drib+Fld,drib-ptouch
1,Patrick van Aanholt,DF,Crystal Palace,eng Premier League,27,35.5,0.028169014084507043,0.056338028169014086,1.2112676056338028,64.73239436619718,0.08450704225352113,0.0005270964341313328
4,Yunis Abdelhamid,DF,Reims,fr Ligue 1,30,38.0,0.07894736842105263,0.0,0.631578947368421,53.23684210526316,0.07894736842105263,0.00031219918307880427
5,Mehdi Abeid,MF,Dijon,fr Ligue 1,25,22.5,0.13333333333333333,0.044444444444444446,2.7111111111111112,60.266666666666666,0.17777777777777778,0.0019993444772205835
9,Francesco Acerbi,DF,Lazio,it Serie A,30,36.8,0.0,0.08152173913043478,0.2989130434782609,58.75000000000001,0.08152173913043478,0.0001382576519325906
14,Khaled Adénon,DF,Amiens,fr Ligue 1,33,22.2,0.0,0.04504504504504505,0.0900900900900901,53.693693693693696,0.04504504504504505,7.557893463933732e-05
19,Luis Advíncula,DF,Rayo Vallecano,es La Liga,28,26.5,0.07547169811320754,0.2641509433962264,2.490566037735849,55.471698113207545,0.33962264150943394,0.0016942626107046591
20,Martin Agirregabiria,DF,Alavés,es La Liga,22,22.6,0.04424778761061947,0.0,1.725663716814159,53.451327433628315,0.04424778761061947,0.0014285295668991383
22,Sergio Agüero,FW,Manchester City,eng Premier League,30,27.3,0.21978021978021978,0.2564102564102564,2.0146520146520146,41.83150183150183,0.47619047619047616,0.0017641436205359147
23,Ruben Aguilar,"DF,MF",Montpellier,fr Ligue 1,25,28.1,0.1779359430604982,0.24911032028469748,2.811387900355872,70.21352313167259,0.4270462633451957,0.0014249305120911666
29,Ola Aina,"DF,MF",Torino,it Serie A,21,24.0,0.25,0.16666666666666666,2.8333333333333335,61.791666666666664,0.4166666666666667,0.001910541694762868
34,Manuel Akanji,DF,Dortmund,de Bundesliga,23,24.5,0.0,0.04081632653061224,0.4489795918367347,83.06122448979592,0.04081632653061224,0.0002206287920573635
36,Nathan Aké,DF,Bournemouth,eng Premier League,23,37.9,0.0,0.026385224274406333,0.158311345646438,56.6490765171504,0.026385224274406333,7.373607156331533e-05
41,David Alaba,DF,Bayern Munich,de Bundesliga,26,28.1,0.14234875444839856,0.07117437722419928,1.2455516014234875,84.73309608540924,0.21352313167259784,0.0005231212101736613
42,Sofiane Alakouch,DF,Nîmes,fr Ligue 1,20,21.1,0.14218009478672985,0.1895734597156398,1.8009478672985781,65.35545023696682,0.33175355450236965,0.0013059810495276128
44,Jordi Alba,DF,Barcelona,es La Liga,29,33.2,0.06024096385542168,0.12048192771084336,0.8734939759036143,90.06024096385542,0.18072289156626503,0.0002921384534794697
45,Luis Alberto,"MF,FW",Lazio,it Serie A,25,22.1,0.2262443438914027,0.09049773755656108,2.443438914027149,79.50226244343891,0.3167420814479638,0.0013906880557923444
46,Raúl Albiol,DF,Napoli,it Serie A,32,19.0,0.0,0.0,0.10526315789473684,67.73684210526316,0.0,8.1789555473766e-05
47,Miiko Albornoz,"DF,MF",Hannover 96,de Bundesliga,27,18.4,0.05434782608695653,0.0,1.1956521739130437,63.31521739130435,0.05434782608695653,0.0010263108788953162
48,Marc Albrighton,"FW,MF",Leicester City,eng Premier League,28,18.1,0.0,0.0,2.486187845303867,54.75138121546961,0.0,0.0025087667460180294
50,Pedro Alcalá,DF,Girona,es La Liga,29,20.8,0.0,0.0,0.28846153846153844,54.08653846153846,0.0,0.0002564102564102564
52,Thiago Alcántara,MF,Bayern Munich,de Bundesliga,27,26.8,0.07462686567164178,0.14925373134328357,2.2761194029850746,105.33582089552239,0.22388059701492538,0.0008062767987903203
53,Rubén Alcaraz,MF,Valladolid,es La Liga,27,33.1,0.1510574018126888,0.2416918429003021,1.2386706948640482,65.37764350453172,0.39274924471299094,0.0005723986575157339
54,Toby Alderweireld,DF,Tottenham,eng Premier League,29,32.5,0.03076923076923077,0.0,0.12307692307692308,80.98461538461538,0.03076923076923077,4.676174888940846e-05
59,Rúnar Alex Rúnarsson,GK,Dijon,fr Ligue 1,23,25.0,0.0,0.0,0.12,35.88,0.0,0.00013377926421404682
61,Trent Alexander-Arnold,DF,Liverpool,eng Premier League,19,27.4,0.18248175182481752,0.03649635036496351,1.4233576642335768,90.94890510948906,0.21897810218978103,0.0005711708122927676
63,Alisson,GK,Liverpool,eng Premier League,25,38.0,0.0,0.0,0.02631578947368421,35.28947368421053,0.0,1.9624004081792847e-05
65,Allan,MF,Napoli,it Serie A,27,29.1,0.24054982817869414,0.10309278350515463,0.06872852233676975,2.9209621993127146,0.3436426116838488,0.0008085708510208206
67,Dele Alli,"MF,FW",Tottenham,eng Premier League,22,20.3,0.24630541871921183,0.24630541871921183,2.8078817733990147,64.67980295566502,0.49261083743842365,0.0021385238182780003
70,Marcos Alonso,DF,Chelsea,eng Premier League,27,30.7,0.0,0.09771986970684039,1.1726384364820848,85.14657980456026,0.09771986970684039,0.00044859924884547997
74,Yeray Álvarez,DF,Athletic Club,es La Liga,23,29.0,0.0,0.0,0.20689655172413793,55.96551724137931,0.0,0.0001274778507234368
75,Bruno Alves,DF,Parma,it Serie A,36,32.5,0.0,0.0,0.15384615384615385,47.66153846153846,0.0,9.931966032676168e-05
76,Dani Alves,"MF,DF",Paris S-G,fr Ligue 1,35,18.0,0.0,0.1111111111111111,2.0,98.61111111111111,0.1111111111111111,0.0011267605633802818
80,Romain Amalfitano,"MF,FW",Dijon,fr Ligue 1,28,28.0,0.03571428571428571,0.10714285714285714,1.75,49.82142857142857,0.14285714285714285,0.0012544802867383513
82,Jordi Amat,DF,Rayo Vallecano,es La Liga,26,30.7,0.0,0.03257328990228013,0.7817589576547231,52.05211726384365,0.03257328990228013,0.0004892108621118418
84,Jordan Amavi,DF,Marseille,fr Ligue 1,24,24.2,0.08264462809917356,0.04132231404958678,1.859504132231405,67.76859504132231,0.12396694214876033,0.0011338439830679298
85,Kelvin Amian,DF,Toulouse,fr Ligue 1,20,32.0,0.0625,0.0,1.25,47.71875,0.0625,0.0008185985592665357
89,Joachim Andersen,DF,Sampdoria,it Serie A,22,32.0,0.03125,0.0,0.46875,72.09375,0.03125,0.000203185955786736
90,Felipe Anderson,"FW,MF",West Ham,eng Premier League,25,33.8,0.2958579881656805,0.2366863905325444,4.5266272189349115,68.01775147928994,0.5325443786982249,0.001968954858170905
92,Benjamin André,MF,Rennes,fr Ligue 1,27,27.7,0.07220216606498195,0.2888086642599278,1.516245487364621,66.96750902527076,0.36101083032490977,0.0008173830120563994
97,José Ángel,DF,Eibar,es La Liga,28,33.6,0.08928571428571429,0.05952380952380952,2.0238095238095237,74.34523809523809,0.1488095238095238,0.0008101719470814747
98,Cristian Ansaldi,"DF,MF",Torino,it Serie A,31,20.1,0.34825870646766166,0.04975124378109452,4.72636815920398,56.766169154228855,0.3980099502487562,0.00414230338229972
99,Mirco Antenucci,FW,SPAL,it Serie A,33,23.7,0.25316455696202533,0.25316455696202533,2.151898734177215,34.641350210970465,0.5063291139240507,0.002621070321774927
100,Waldemar Anton,DF,Hannover 96,de Bundesliga,22,34.0,0.058823529411764705,0.029411764705882353,0.7941176470588235,61.911764705882355,0.08823529411764706,0.0003772530389828141
104,Michail Antonio,"FW,MF",West Ham,eng Premier League,28,23.4,0.29914529914529914,0.25641025641025644,3.931623931623932,52.35042735042735,0.5555555555555556,0.0032094889237746383
105,Antoñito,"DF,MF",Valladolid,es La Liga,30,20.7,0.1932367149758454,0.0966183574879227,2.028985507246377,53.18840579710145,0.2898550724637681,0.0018428569548105149
106,Vitorino Antunes,DF,Getafe,es La Liga,31,24.2,0.12396694214876033,0.04132231404958678,1.4462809917355373,59.46280991735537,0.1652892561983471,0.0010050597579816102
109,Houssem Aouar,MF,Lyon,fr Ligue 1,20,34.0,0.11764705882352941,0.2647058823529412,3.0294117647058822,72.70588235294117,0.38235294117647056,0.0012254901960784314
111,Mauro Arambarri,MF,Getafe,es La Liga,22,29.7,0.06734006734006734,0.2356902356902357,1.7171717171717171,37.50841750841751,0.30303030303030304,0.0015414467838166222
113,Charles Aránguiz,MF,Leverkusen,de Bundesliga,29,21.0,0.0,0.047619047619047616,1.4285714285714286,89.71428571428571,0.047619047619047616,0.0007582650894752805
115,Néstor Araujo,DF,Celta Vigo,es La Liga,26,29.8,0.0,0.0,0.1342281879194631,60.100671140939596,0.0,7.494594523699781e-05
