Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Pass,0,0.0,138477.0,347,Successful,50.1,50.1,41.9,64.3,OpenPlay,False,
Start,0,0.0,,347,Successful,0.0,0.0,,,OpenPlay,False,
Start,0,0.0,,607,Successful,0.0,0.0,,,OpenPlay,False,
Pass,0,2.0,105026.0,347,Successful,42.4,62.4,66.6,6.1,OpenPlay,False,
Pass,0,6.0,25599.0,347,Successful,65.4,7.0,63.5,13.8,OpenPlay,False,
Pass,0,10.0,345661.0,347,Successful,62.6,9.2,46.0,4.1,OpenPlay,False,
Pass,0,12.0,260493.0,347,Successful,43.5,5.6,34.7,25.3,OpenPlay,False,
Pass,0,15.0,27756.0,347,Successful,31.5,27.6,29.1,61.7,OpenPlay,False,
Pass,0,16.0,121711.0,347,Successful,29.2,62.7,12.6,58.7,OpenPlay,False,
Pass,0,19.0,105198.0,347,Unsuccessful,13.1,57.9,58.9,21.3,OpenPlay,False,
Aerial,0,21.0,25599.0,347,Unsuccessful,57.6,21.8,,,OpenPlay,False,
Aerial,0,21.0,328968.0,607,Successful,42.4,78.2,,,OpenPlay,False,
Pass,0,22.0,328968.0,607,Unsuccessful,44.2,77.3,46.0,77.9,OpenPlay,False,
BallTouch,0,23.0,25599.0,347,Successful,57.4,13.2,,,OpenPlay,False,
Pass,0,24.0,329409.0,607,Successful,46.9,71.5,37.1,84.7,OpenPlay,False,
BallRecovery,0,25.0,328968.0,607,Successful,37.1,84.7,,,OpenPlay,False,
Pass,0,27.0,328968.0,607,Successful,37.3,85.3,44.2,91.1,OpenPlay,False,
Dispossessed,0,30.0,241019.0,607,Successful,41.1,89.2,,,OpenPlay,False,
Tackle,0,30.0,345661.0,347,Successful,58.9,10.8,,,OpenPlay,False,
BallRecovery,0,31.0,345661.0,347,Successful,60.1,8.8,,,OpenPlay,False,
Pass,0,33.0,345661.0,347,Successful,62.4,8.3,79.7,3.1,OpenPlay,False,
Pass,0,37.0,138477.0,347,Successful,76.8,4.3,97.0,4.3,OpenPlay,False,
Pass,0,39.0,25599.0,347,Unsuccessful,97.0,4.3,91.8,44.0,OpenPlay,False,
Clearance,0,41.0,19859.0,607,Successful,7.8,52.8,6.3,73.8,OpenPlay,False,
Clearance,0,42.0,11895.0,607,Successful,6.3,73.8,29.3,58.5,OpenPlay,False,
Pass,0,44.0,33223.0,347,Successful,61.6,35.2,65.0,27.0,OpenPlay,False,
Pass,0,46.0,345661.0,347,Successful,65.0,27.0,36.4,62.1,OpenPlay,False,
Pass,0,49.0,121711.0,347,Successful,35.3,63.3,14.9,65.5,OpenPlay,False,
KeeperPickup,0,52.0,105198.0,347,Successful,14.9,65.5,,,OpenPlay,False,
Pass,0,53.0,105198.0,347,Successful,15.7,66.7,27.0,82.7,OpenPlay,False,
Pass,0,55.0,121711.0,347,Successful,29.4,84.2,31.6,95.1,OpenPlay,False,
Pass,0,58.0,40921.0,347,Successful,32.0,94.4,33.3,74.5,OpenPlay,False,
Pass,0,59.0,33223.0,347,Successful,34.9,76.6,30.4,95.0,OpenPlay,False,
Pass,1,1.0,40921.0,347,Successful,30.4,95.0,43.9,94.8,OpenPlay,False,
Pass,1,8.0,105026.0,347,Successful,60.7,91.5,65.5,83.0,OpenPlay,False,
Pass,1,14.0,138477.0,347,Successful,63.1,79.6,55.3,90.5,OpenPlay,False,
Pass,1,18.0,105026.0,347,Successful,55.4,90.3,42.4,27.9,OpenPlay,False,
Pass,1,21.0,27756.0,347,Successful,55.3,21.6,98.9,82.6,OpenPlay,False,
BallTouch,1,35.0,298542.0,347,Unsuccessful,78.1,80.8,,,OpenPlay,False,
BallRecovery,1,35.0,117776.0,607,Successful,24.5,19.2,,,OpenPlay,False,
Pass,1,35.0,117776.0,607,Successful,24.5,19.2,22.4,21.3,OpenPlay,False,
Pass,1,36.0,136481.0,607,Successful,22.4,21.3,30.9,31.8,OpenPlay,False,
Foul,1,45.0,322094.0,607,Successful,47.8,39.3,,,OpenPlay,False,
Foul,1,45.0,33223.0,347,Unsuccessful,52.2,60.7,,,OpenPlay,False,
Pass,2,3.0,117776.0,607,Successful,51.2,39.5,43.8,26.1,OpenPlay,False,
Pass,2,5.0,19859.0,607,Successful,43.8,25.9,53.2,33.1,OpenPlay,False,
Pass,2,6.0,117776.0,607,Successful,53.2,33.1,45.1,26.2,OpenPlay,False,
Pass,2,7.0,19859.0,607,Successful,45.1,26.2,53.8,33.9,OpenPlay,False,
Pass,2,9.0,117776.0,607,Successful,53.8,33.9,49.1,25.0,OpenPlay,False,
Pass,2,11.0,19859.0,607,Unsuccessful,49.1,25.0,69.6,34.6,OpenPlay,False,
Pass,2,12.0,121711.0,347,Unsuccessful,27.2,67.0,43.1,72.0,OpenPlay,False,
Pass,2,15.0,117776.0,607,Successful,58.6,24.4,65.6,7.9,OpenPlay,False,
Pass,2,18.0,136481.0,607,Successful,66.8,7.3,75.4,27.9,ShotAssist,False,
Save,2,21.0,105198.0,347,Successful,3.1,52.4,,,OpenPlay,False,
SavedShot,2,21.0,322094.0,607,Successful,89.3,31.2,,,OpenPlay,False,
KeeperPickup,2,24.0,105198.0,347,Successful,3.1,52.4,,,OpenPlay,False,
Pass,2,48.0,105198.0,347,Successful,14.3,52.5,65.6,3.4,OpenPlay,False,
Pass,2,50.0,25599.0,347,Unsuccessful,65.6,3.4,59.6,11.1,OpenPlay,False,
Foul,2,52.0,329409.0,607,Successful,37.8,86.1,,,OpenPlay,False,
Foul,2,52.0,345661.0,347,Unsuccessful,61.3,10.4,,,OpenPlay,False,
Pass,3,6.0,11895.0,607,Successful,36.3,86.9,29.7,43.6,OpenPlay,False,
Pass,3,9.0,19859.0,607,Successful,29.8,34.6,34.7,7.0,OpenPlay,False,
Pass,3,11.0,136481.0,607,Successful,34.5,8.3,27.9,27.0,OpenPlay,False,
Pass,3,13.0,19859.0,607,Successful,28.4,29.1,26.4,71.1,OpenPlay,False,
Pass,3,18.0,11895.0,607,Successful,38.9,75.4,44.4,95.7,OpenPlay,False,
Pass,3,20.0,328968.0,607,Unsuccessful,44.5,95.9,45.1,95.9,OpenPlay,False,
BlockedPass,3,20.0,298542.0,347,Successful,54.6,2.6,,,OpenPlay,False,
Pass,3,31.0,328968.0,607,Successful,55.4,100.0,68.8,91.7,ThrowIn,False,
Pass,3,35.0,349207.0,607,Successful,66.2,86.5,73.8,25.8,OpenPlay,False,
Pass,3,40.0,239872.0,607,Successful,74.7,30.0,80.2,45.7,OpenPlay,False,
Pass,3,42.0,241019.0,607,Unsuccessful,84.7,46.9,84.1,45.7,OpenPlay,False,
BlockedPass,3,42.0,260493.0,347,Successful,15.7,60.2,,,OpenPlay,False,
Clearance,3,45.0,105026.0,347,Successful,19.9,63.6,42.9,32.1,OpenPlay,False,
Pass,3,46.0,328968.0,607,Successful,54.5,70.2,42.6,66.1,OpenPlay,False,
Pass,3,50.0,11895.0,607,Successful,41.8,65.5,41.6,29.4,OpenPlay,False,
Pass,3,52.0,19859.0,607,Successful,41.6,29.4,51.9,11.9,OpenPlay,False,
Pass,3,53.0,117776.0,607,Unsuccessful,53.1,11.4,66.1,0.0,OpenPlay,False,
Pass,4,7.0,40921.0,347,Successful,37.3,100.0,45.8,92.6,ThrowIn,False,
Pass,4,13.0,138477.0,347,Unsuccessful,59.2,93.2,62.4,93.3,OpenPlay,False,
BlockedPass,4,13.0,136481.0,607,Successful,36.7,3.4,,,OpenPlay,False,
Pass,4,22.0,40921.0,347,Unsuccessful,58.3,100.0,71.9,93.8,ThrowIn,False,
BallRecovery,4,25.0,136481.0,607,Successful,28.9,4.9,,,OpenPlay,False,
Pass,4,26.0,136481.0,607,Successful,29.9,5.2,46.7,32.8,OpenPlay,False,
Pass,4,29.0,349207.0,607,Successful,46.7,32.8,38.9,30.0,OpenPlay,False,
Pass,4,32.0,329409.0,607,Unsuccessful,38.7,23.7,80.7,28.5,OpenPlay,False,
BallRecovery,4,35.0,105198.0,347,Successful,13.5,73.0,,,OpenPlay,False,
Pass,4,37.0,105198.0,347,Successful,19.4,72.1,23.6,74.2,OpenPlay,False,
Pass,4,39.0,121711.0,347,Successful,23.6,74.2,28.3,62.1,OpenPlay,False,
Pass,4,40.0,33223.0,347,Successful,28.6,60.9,36.9,48.2,OpenPlay,False,
Pass,4,43.0,345661.0,347,Successful,34.5,48.5,14.5,50.6,OpenPlay,False,
Pass,4,46.0,105198.0,347,Successful,14.3,51.8,27.0,80.2,OpenPlay,False,
Pass,4,54.0,105026.0,347,Successful,39.9,74.5,46.0,5.2,OpenPlay,False,
Pass,4,57.0,260493.0,347,Successful,46.0,5.5,37.8,18.2,OpenPlay,False,
Pass,5,0.0,27756.0,347,Successful,38.5,20.9,35.8,64.9,OpenPlay,False,
Pass,5,2.0,121711.0,347,Successful,32.8,65.8,39.4,61.1,OpenPlay,False,
Pass,5,4.0,105026.0,347,Successful,39.7,61.8,39.5,77.8,OpenPlay,False,
Pass,5,7.0,121711.0,347,Successful,39.9,79.0,46.6,94.8,OpenPlay,False,
Pass,5,8.0,40921.0,347,Successful,46.3,95.1,33.7,89.7,OpenPlay,False,
Pass,5,11.0,121711.0,347,Unsuccessful,38.4,91.4,43.4,93.9,OpenPlay,False,
BallTouch,5,12.0,239872.0,607,Successful,57.8,10.1,,,OpenPlay,False,
Pass,5,14.0,40921.0,347,Successful,55.1,91.5,59.5,96.2,OpenPlay,False,
Pass,5,17.0,25599.0,347,Successful,57.0,95.4,55.0,86.5,OpenPlay,False,
Pass,5,18.0,121711.0,347,Successful,55.0,86.5,65.7,88.6,OpenPlay,False,
Pass,5,20.0,345661.0,347,Unsuccessful,67.2,85.7,87.0,86.9,OpenPlay,False,
BallRecovery,5,22.0,136481.0,607,Successful,10.9,11.9,,,OpenPlay,False,
Foul,5,25.0,136481.0,607,Successful,8.3,17.1,,,OpenPlay,False,
Foul,5,25.0,298542.0,347,Unsuccessful,91.7,82.9,,,OpenPlay,False,
Pass,5,54.0,141646.0,607,Unsuccessful,12.3,19.2,64.2,26.7,OpenPlay,False,
Pass,5,56.0,33223.0,347,Unsuccessful,32.1,76.3,46.7,86.5,OpenPlay,False,
Pass,5,58.0,136481.0,607,Unsuccessful,53.6,13.8,70.2,8.2,OpenPlay,False,
Aerial,5,59.0,349207.0,607,Unsuccessful,67.6,9.6,,,OpenPlay,False,
Aerial,5,59.0,33223.0,347,Successful,32.4,90.4,,,OpenPlay,False,
Pass,6,0.0,33223.0,347,Unsuccessful,35.0,89.1,45.4,87.4,OpenPlay,False,
Pass,6,2.0,117776.0,607,Successful,58.6,13.1,44.9,8.2,OpenPlay,False,
Pass,6,4.0,136481.0,607,Successful,51.4,7.1,60.5,25.0,OpenPlay,False,
Pass,6,6.0,349207.0,607,Successful,60.5,25.0,62.7,17.6,OpenPlay,False,
Dispossessed,6,7.0,322094.0,607,Successful,66.4,24.6,,,OpenPlay,False,
Tackle,6,7.0,105026.0,347,Successful,33.6,75.4,,,OpenPlay,False,
BallRecovery,6,9.0,105026.0,347,Successful,33.8,74.1,,,OpenPlay,False,
Challenge,6,9.0,239872.0,607,Unsuccessful,64.6,21.4,,,OpenPlay,False,
