Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %,% of dribblers tackled,A-xA,Assists,Att 3rd Pressures,Att 3rd tackles,Att 3rd touches,Attempted Dribbles,Blocked pass,Blocked shots,Blocks,CK in,CK out,CK str,Carries,Clearances,Corner Kicks,Crosses into Penalty Area,Dead Ball passes,Def 3rd Pressures,Def 3rd tackles,Def 3rd touches,Def Pen touches,Errors,Free Kick passes,G-xG,GCA OG,GCA dribbled,GCA fouls,GCA pass dead,GCA pass live,GCA shots,Goal-Creating Actions,Goal-Creating Actions p90,Goals,Goals per shot,Goals per shot on target,Ground passes,Head passes,High passes,Key Passes,Left passes,Live Ball passes,Live ball touches,Long Pass Completion %,Long Passes Attempted,Long Passes Completed,Low passes,Medium Pass Completion %,Medium Passes Attempted,Medium Passes Completed,Megs,Mid 3rd Pressures,Mid 3rd tackles,Mid 3rd touches,Miscon,No Tackels won,No of times dribbled past,No. Tackels,Non-penalty xG,Other passes,Pass Completion %,Pass Targets,Pass out of bounds,Passes Attempted,Passes Completed,Passes Dispossed,Passes Received,Passes Received %,Passes blocked,Passes completed,Passes intercepted,Passes into Final Third,Passes into Penalty Area,Passes offside,Passes under pressure,Penalty Kicks attempted,Penalty Kicks scored,Players dribbled past,Pressures,PrgDist,ProgDist carries,Progressive Passes,Right passes,SCA from dribbles,SCA from fouls,SCA pass dead,SCA pass live,SCA shots,ShSv,Short Pass Completion %,Short Passes Attempted,Short Passes Completed,Shot-Creating Actions,Shot-Creating Actions p90,Shots,Shots Total p90,Shots from Free Kicks,Shots on Target,Shots on Target %,Shots on Target p90,Succ Pressures,Succ Pressures %,Successful Dribble %,Successful Dribbles,Switches,Tackles v Dribble attempts,Tackles v Dribbles,Through Balls,Throw ins,Tkl+Int,TotDist,Total Distance carries,Touches,Touches in Box,np:G-xG,npxG/Sh,xA,xG
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0.0,0.0,0.0,9.0,8.0,2.0,44.0,23.0,32.0,0.0,0.0,1.0,243.0,12.0,17.0,41.4,40.7,-1.2,2.0,37.0,2.0,531.0,36.0,44.0,13.0,57.0,23.0,15.0,3.0,1000.0,67.0,45.0,5.0,383.0,159.0,33.0,531.0,97.0,3.0,62.0,0.6,0.0,1.0,0.0,1.0,3.0,0.0,5.0,0.18,3.0,0.08,0.4,930.0,21.0,306.0,32.0,997.0,1175.0,1458.0,58.5,330.0,193.0,322.0,86.9,1172.0,1018.0,2.0,71.0,16.0,883.0,21.0,32.0,32.0,51.0,1.6,3.0,78.8,1079.0,14.0,1558.0,1227.0,16.0,994.0,92.1,47.0,1227.0,36.0,86.0,25.0,8.0,222.0,1.0,1.0,18.0,267.0,9280.0,3129.0,216.0,256.0,3.0,2.0,23.0,32.0,2.0,1.0,28.6,56.0,16.0,62.0,2.23,26.0,0.93,3.0,5.0,19.2,0.18,74.0,27.7,50.0,18.0,35.0,54.0,22.0,0.0,275.0,74.0,21251.0,5651.0,1839.0,50.0,0.4,0.06,3.2,2.4
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,7.0,0.0,0.0,29.0,49.0,3.0,54.0,20.0,36.0,1.0,0.0,0.0,281.0,23.0,42.0,35.4,46.7,-2.4,1.0,62.0,7.0,594.0,94.0,70.0,30.0,100.0,0.0,0.0,0.0,1321.0,86.0,0.0,13.0,328.0,283.0,40.0,804.0,178.0,0.0,27.0,-0.5,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.08,0.0,0.0,0.0,1018.0,45.0,275.0,24.0,219.0,1356.0,1821.0,54.7,274.0,150.0,391.0,86.3,1316.0,1136.0,2.0,142.0,17.0,902.0,39.0,36.0,24.0,64.0,0.5,2.0,78.1,1399.0,33.0,1684.0,1316.0,48.0,1244.0,88.9,70.0,1316.0,22.0,43.0,32.0,0.0,290.0,0.0,0.0,55.0,487.0,6834.0,5439.0,122.0,1102.0,3.0,4.0,2.0,42.0,3.0,2.0,31.9,94.0,30.0,54.0,1.5,14.0,0.39,0.0,4.0,28.6,0.11,132.0,27.1,52.1,49.0,10.0,45.0,21.0,1.0,301.0,84.0,20293.0,9489.0,2133.0,52.0,-0.5,0.04,3.4,0.5
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0.0,0.0,0.0,21.0,20.0,0.0,1.0,24.0,37.0,0.0,1.0,0.0,226.0,86.0,42.0,67.2,50.0,-0.1,0.0,13.0,2.0,61.0,26.0,24.0,19.0,43.0,0.0,0.0,0.0,1201.0,166.0,0.0,0.0,78.0,189.0,43.0,1131.0,256.0,1.0,75.0,1.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,3.0,0.16,0.6,1142.0,66.0,232.0,2.0,1008.0,1437.0,1782.0,82.4,568.0,468.0,141.0,92.1,924.0,851.0,0.0,97.0,16.0,801.0,12.0,37.0,14.0,61.0,1.3,3.0,87.7,1266.0,21.0,1515.0,1328.0,8.0,1236.0,97.6,12.0,1328.0,25.0,45.0,3.0,3.0,184.0,0.0,0.0,21.0,299.0,9041.0,4306.0,83.0,411.0,0.0,1.0,0.0,11.0,4.0,0.0,39.1,23.0,9.0,16.0,0.57,19.0,0.68,0.0,5.0,26.3,0.18,111.0,37.1,80.8,21.0,49.0,28.0,14.0,1.0,3.0,85.0,29513.0,7673.0,1856.0,27.0,1.7,0.07,0.1,1.3
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,15.0,6.0,11.0,35.3,33.3,-0.2,0.0,5.0,0.0,33.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,37.0,2.0,0.0,1.0,0.0,9.0,1.0,9.0,1.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17,0.33,21.0,5.0,10.0,1.0,8.0,40.0,62.0,28.6,7.0,2.0,9.0,57.1,28.0,16.0,1.0,11.0,0.0,22.0,6.0,1.0,2.0,1.0,1.3,0.0,45.0,77.0,1.0,40.0,18.0,2.0,39.0,50.6,6.0,18.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,3.0,25.0,132.0,177.0,5.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.15,6.0,3.44,0.0,3.0,50.0,1.72,9.0,36.0,50.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,316.0,279.0,62.0,10.0,-0.3,0.21,0.2,1.3
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,5.0,0.0,0.0,55.0,43.0,1.0,18.0,17.0,41.0,0.0,1.0,0.0,194.0,14.0,19.0,42.4,38.7,0.6,2.0,63.0,2.0,283.0,22.0,15.0,3.0,18.0,16.0,16.0,7.0,782.0,22.0,47.0,4.0,93.0,121.0,24.0,211.0,22.0,0.0,42.0,-0.6,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.2,1.0,0.03,0.14,684.0,42.0,160.0,26.0,104.0,864.0,1091.0,65.2,250.0,163.0,113.0,92.1,686.0,632.0,0.0,233.0,34.0,754.0,14.0,41.0,38.0,60.0,1.6,8.0,83.7,854.0,23.0,957.0,801.0,26.0,759.0,88.9,12.0,801.0,11.0,85.0,6.0,3.0,157.0,0.0,0.0,12.0,417.0,3850.0,2116.0,82.0,788.0,1.0,1.0,14.0,27.0,2.0,0.0,28.6,21.0,6.0,45.0,2.23,33.0,1.63,3.0,7.0,21.2,0.35,114.0,27.3,54.5,12.0,50.0,62.0,24.0,1.0,4.0,77.0,14638.0,4298.0,1176.0,20.0,-0.6,0.05,1.4,1.6
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,2.0,0.0,0.0,16.0,10.0,7.0,4.0,4.0,8.0,1.0,0.0,0.0,25.0,27.0,39.0,40.9,27.3,-1.1,0.0,90.0,2.0,95.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,136.0,5.0,0.0,0.0,12.0,5.0,3.0,18.0,7.0,0.0,0.0,-0.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14,0.0,0.0,0.0,69.0,11.0,25.0,5.0,78.0,120.0,196.0,57.1,14.0,8.0,38.0,58.8,97.0,57.0,0.0,86.0,5.0,108.0,25.0,8.0,8.0,10.0,0.2,5.0,56.1,309.0,3.0,132.0,74.0,12.0,142.0,46.0,9.0,74.0,3.0,5.0,2.0,1.0,53.0,0.0,0.0,16.0,181.0,199.0,492.0,8.0,16.0,0.0,4.0,0.0,8.0,0.0,0.0,42.9,21.0,9.0,12.0,1.73,5.0,0.72,0.0,0.0,0.0,0.0,53.0,29.3,76.2,16.0,1.0,11.0,3.0,1.0,0.0,14.0,1085.0,938.0,208.0,23.0,-0.2,0.04,1.1,0.2
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2.0,1.0,0.0,14.0,12.0,0.0,5.0,16.0,22.0,0.0,0.0,0.0,224.0,51.0,32.0,61.4,47.1,-0.1,0.0,13.0,2.0,87.0,11.0,17.0,15.0,32.0,0.0,0.0,0.0,662.0,87.0,0.0,0.0,53.0,109.0,18.0,482.0,108.0,1.0,23.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.29,0.5,580.0,48.0,182.0,2.0,111.0,843.0,1022.0,76.0,333.0,253.0,134.0,88.3,547.0,483.0,1.0,78.0,10.0,588.0,6.0,22.0,18.0,30.0,1.4,6.0,82.8,639.0,20.0,896.0,742.0,2.0,619.0,96.9,8.0,742.0,16.0,75.0,7.0,1.0,136.0,0.0,0.0,11.0,200.0,6079.0,2352.0,108.0,673.0,0.0,0.0,0.0,10.0,1.0,1.0,37.5,16.0,6.0,11.0,0.59,7.0,0.37,0.0,4.0,57.1,0.21,75.0,37.5,81.8,9.0,33.0,34.0,16.0,0.0,30.0,46.0,16639.0,4121.0,1073.0,11.0,0.6,0.2,0.1,1.4
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,2.0,0.0,0.0,17.0,24.0,23.0,10.0,5.0,10.0,1.0,0.0,1.0,95.0,67.0,110.0,37.9,25.0,0.5,3.0,241.0,5.0,352.0,36.0,18.0,5.0,23.0,0.0,0.0,0.0,427.0,26.0,0.0,0.0,52.0,19.0,4.0,59.0,31.0,0.0,0.0,0.9,0.0,3.0,1.0,0.0,4.0,2.0,10.0,0.41,15.0,0.17,0.43,259.0,17.0,72.0,18.0,31.0,360.0,688.0,73.6,53.0,39.0,81.0,73.1,305.0,223.0,0.0,170.0,5.0,354.0,71.0,10.0,12.0,14.0,14.1,17.0,69.9,1076.0,6.0,412.0,288.0,47.0,495.0,46.0,26.0,288.0,8.0,16.0,5.0,1.0,149.0,0.0,0.0,22.0,430.0,811.0,1164.0,32.0,306.0,6.0,2.0,0.0,33.0,6.0,0.0,48.1,54.0,26.0,47.0,1.91,88.0,3.58,0.0,35.0,39.8,1.42,130.0,30.2,58.3,21.0,5.0,16.0,4.0,0.0,0.0,19.0,4213.0,2317.0,739.0,165.0,0.9,0.16,2.5,14.1
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,3.0,0.0,0.0,17.0,12.0,0.0,5.0,8.0,13.0,0.0,0.0,0.0,84.0,12.0,9.0,57.1,41.2,-0.1,0.0,14.0,1.0,64.0,10.0,16.0,3.0,19.0,0.0,0.0,0.0,291.0,15.0,0.0,3.0,18.0,68.0,11.0,141.0,21.0,1.0,12.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,9.0,35.0,4.0,25.0,324.0,423.0,72.5,40.0,29.0,45.0,92.1,280.0,258.0,0.0,82.0,11.0,256.0,8.0,13.0,10.0,23.0,0.4,2.0,87.1,288.0,4.0,342.0,298.0,8.0,261.0,90.6,11.0,298.0,5.0,19.0,5.0,0.0,61.0,0.0,0.0,7.0,164.0,1028.0,572.0,24.0,298.0,1.0,0.0,1.0,8.0,0.0,0.0,50.0,22.0,11.0,10.0,1.36,5.0,0.68,0.0,2.0,40.0,0.27,41.0,25.0,70.0,7.0,1.0,17.0,7.0,0.0,1.0,31.0,4705.0,1484.0,438.0,3.0,-0.4,0.07,0.1,0.4
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4.0,0.0,0.0,25.0,41.0,5.0,24.0,28.0,33.0,1.0,0.0,0.0,357.0,72.0,35.0,67.3,50.0,0.4,2.0,26.0,6.0,202.0,17.0,31.0,30.0,61.0,0.0,0.0,0.0,1559.0,165.0,1.0,3.0,85.0,213.0,36.0,1206.0,370.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.09,2.0,0.12,0.29,1428.0,76.0,354.0,7.0,1543.0,1926.0,2287.0,85.0,749.0,637.0,229.0,94.2,1227.0,1156.0,0.0,81.0,10.0,1158.0,8.0,33.0,13.0,52.0,2.0,5.0,90.0,1641.0,27.0,2011.0,1809.0,7.0,1600.0,97.5,20.0,1809.0,8.0,138.0,14.0,1.0,215.0,0.0,0.0,15.0,320.0,12495.0,6232.0,127.0,324.0,1.0,1.0,0.0,24.0,1.0,0.0,45.7,35.0,16.0,27.0,0.77,17.0,0.48,0.0,7.0,41.2,0.2,115.0,35.9,88.2,15.0,102.0,26.0,13.0,3.0,20.0,80.0,41350.0,11551.0,2365.0,34.0,0.0,0.12,1.6,2.0
