Player,Nation,Pos,Squad,Comp,Age,Born,90s,No. Tackels,No Tackels won,Def 3rd tackles,Mid 3rd tackles,Att 3rd tackles,Tackles v Dribbles,Tackles v Dribble attempts,% of dribblers tackled,No of times dribbled past,Pressures,Succ Pressures,Succ Pressures %,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Blocked shots,ShSv,Blocked pass,Interceptions,Tkl+Int,Clearances,Errors
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,14.0,4.0,8.0,6.0,0.0,3.0,7.0,42.9,4.0,66.0,12.0,18.2,36.0,24.0,6.0,7.0,0.0,0.0,7.0,5.0,19.0,9.0,0.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,46.0,32.0,32.0,11.0,3.0,18.0,45.0,40.0,27.0,421.0,115.0,27.3,300.0,86.0,35.0,61.0,10.0,0.0,51.0,36.0,82.0,98.0,1.0
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,37.0,21.0,19.0,14.0,4.0,13.0,30.0,43.3,17.0,199.0,56.0,28.1,102.0,77.0,20.0,34.0,5.0,0.0,29.0,14.0,51.0,53.0,1.0
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,67.0,35.0,51.0,15.0,1.0,26.0,43.0,60.5,17.0,359.0,128.0,35.7,271.0,80.0,8.0,78.0,24.0,0.0,54.0,46.0,113.0,240.0,2.0
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,58.0,40.0,28.0,22.0,8.0,13.0,41.0,31.7,28.0,449.0,117.0,26.1,137.0,237.0,75.0,37.0,10.0,0.0,27.0,24.0,82.0,22.0,0.0
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,6.0,4.0,3.0,1.0,2.0,4.0,5.0,80.0,1.0,11.0,2.0,18.2,4.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,28.0,19.0,17.0,9.0,2.0,8.0,26.0,30.8,18.0,181.0,68.0,37.6,112.0,60.0,9.0,40.0,11.0,1.0,29.0,15.0,43.0,65.0,0.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,19.0,12.0,8.0,8.0,3.0,4.0,20.0,20.0,16.0,202.0,48.0,23.8,71.0,106.0,25.0,11.0,2.0,0.0,9.0,12.0,31.0,10.0,0.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,51.0,30.0,29.0,16.0,6.0,14.0,26.0,53.8,12.0,259.0,96.0,37.1,173.0,71.0,15.0,63.0,31.0,0.0,32.0,43.0,94.0,181.0,2.0
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,26.0,13.0,10.0,12.0,4.0,3.0,15.0,20.0,12.0,308.0,65.0,21.1,101.0,153.0,54.0,17.0,1.0,0.0,16.0,7.0,33.0,13.0,0.0
