Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot-Creating Actions,Shot-Creating Actions p90,SCA pass live,SCA pass dead,SCA from dribbles,SCA shots,SCA from fouls,Goal-Creating Actions,Goal-Creating Actions p90,GCA pass live,GCA pass dead,GCA dribbled,GCA shots,GCA fouls,GCA OG
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,2.0,0.88,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,71.0,2.0,59.0,7.0,1.0,2.0,2.0,6.0,0.17,5.0,1.0,0.0,0.0,0.0,0.0
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,18.0,1.24,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,20.0,0.53,15.0,0.0,3.0,2.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,42.0,1.87,32.0,5.0,3.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,2.0,5.63,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,10.0,0.63,8.0,0.0,0.0,1.0,1.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,4.0,0.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,21.0,0.57,17.0,0.0,0.0,1.0,3.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,34.0,2.03,26.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,13.0,1.62,11.0,0.0,1.0,0.0,1.0,4.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,25.0,3.49,14.0,5.0,3.0,2.0,1.0,2.0,0.28,2.0,0.0,0.0,0.0,0.0,0.0
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7.0,0.32,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,2.0,0.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,7.0,2.92,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,6.0,3.25,4.0,1.0,1.0,0.0,0.0,1.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,15.0,1.43,13.0,0.0,0.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,41.0,1.54,28.0,3.0,2.0,1.0,7.0,7.0,0.26,4.0,0.0,0.0,0.0,3.0,0.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,21.0,0.93,20.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,6.0,0.51,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,73.0,2.67,51.0,1.0,6.0,8.0,7.0,17.0,0.62,12.0,0.0,2.0,1.0,2.0,0.0
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,28.1,95.0,3.38,74.0,7.0,5.0,2.0,7.0,8.0,0.28,5.0,0.0,1.0,1.0,1.0,0.0
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,5.0,1.31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,2.0,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,19.0,1.59,16.0,0.0,0.0,3.0,0.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0
Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola Aina,ng NGA,"DF,MF",Torino,it Serie A,21,1996,24.0,45.0,1.87,30.0,2.0,6.0,2.0,4.0,4.0,0.17,1.0,1.0,0.0,1.0,0.0,1.0
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,21.0,2.02,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,25.0,2.1,24.0,0.0,1.0,0.0,0.0,3.0,0.25,2.0,0.0,1.0,0.0,0.0,0.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,1.0,1.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,29.0,1.7,19.0,0.0,1.0,3.0,6.0,4.0,0.24,2.0,0.0,1.0,1.0,0.0,0.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,16.0,0.65,14.0,0.0,0.0,1.0,1.0,4.0,0.16,2.0,0.0,0.0,1.0,1.0,0.0
Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,16.0,1.41,10.0,1.0,3.0,1.0,1.0,2.0,0.18,1.0,0.0,0.0,0.0,1.0,0.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,17.0,0.45,14.0,0.0,0.0,1.0,1.0,2.0,0.05,0.0,0.0,0.0,0.0,1.0,1.0
Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,21.0,3.6,14.0,0.0,3.0,2.0,2.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0
Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,2.0,0.58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,4.0,0.72,3.0,0.0,0.0,0.0,1.0,2.0,0.36,1.0,0.0,0.0,0.0,1.0,0.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,71.0,2.53,56.0,1.0,4.0,8.0,2.0,7.0,0.25,6.0,0.0,1.0,0.0,0.0,0.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,44.0,2.09,32.0,4.0,3.0,1.0,4.0,5.0,0.24,3.0,0.0,0.0,1.0,1.0,0.0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,27.0,1.92,25.0,0.0,0.0,1.0,1.0,5.0,0.36,4.0,0.0,0.0,1.0,0.0,0.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,81.0,2.44,73.0,1.0,2.0,0.0,4.0,16.0,0.48,14.0,0.0,0.0,0.0,1.0,1.0
Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,141.0,6.38,94.0,31.0,5.0,8.0,2.0,10.0,0.45,4.0,3.0,0.0,2.0,0.0,1.0
Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,14.0,0.74,14.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,31.0,1.68,23.0,5.0,1.0,2.0,0.0,4.0,0.22,3.0,1.0,0.0,0.0,0.0,0.0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,42.0,2.33,37.0,3.0,0.0,2.0,0.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,0.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,34.0,2.53,26.0,0.0,2.0,3.0,3.0,6.0,0.45,4.0,0.0,0.0,1.0,1.0,0.0
Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,12.0,0.58,10.0,0.0,0.0,2.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,77.0,2.88,58.0,13.0,2.0,0.0,4.0,8.0,0.3,6.0,2.0,0.0,0.0,0.0,0.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,55.0,1.66,34.0,6.0,5.0,2.0,8.0,4.0,0.12,2.0,0.0,1.0,0.0,1.0,0.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,30.0,0.92,24.0,0.0,1.0,5.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,5.0,3.21,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iván Alejo,es ESP,"MF,FW",Getafe,es La Liga,23,1995,1.6,2.0,1.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,24.0,3.39,22.0,0.0,0.0,1.0,1.0,5.0,0.71,4.0,0.0,0.0,1.0,0.0,0.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,83.0,3.03,52.0,23.0,5.0,2.0,1.0,17.0,0.62,13.0,4.0,0.0,0.0,0.0,0.0
Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,31.0,2.23,24.0,0.0,3.0,4.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0
Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,2.0,0.05,0.0,2.0,0.0,0.0,0.0,0.0
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,85.0,2.92,72.0,0.0,7.0,3.0,3.0,9.0,0.31,8.0,0.0,0.0,1.0,0.0,0.0
Allan,br BRA,"MF,DF",Eint Frankfurt,de Bundesliga,21,1997,2.0,4.0,2.05,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,22,1996,20.3,61.0,3.01,47.0,1.0,5.0,3.0,5.0,5.0,0.25,3.0,0.0,0.0,1.0,1.0,0.0
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,eng Premier League,24,1994,8.4,27.0,3.2,22.0,0.0,1.0,2.0,2.0,2.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0
