Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0.0,0.0,0.0,9.0,8.0,2.0,44.0,23.0,32.0,0.0,0.0,1.0,243.0,12.0,17.0,41.4
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,7.0,0.0,0.0,29.0,49.0,3.0,54.0,20.0,36.0,1.0,0.0,0.0,281.0,23.0,42.0,35.4
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,0.0,0.0,0.0,21.0,20.0,0.0,1.0,24.0,37.0,0.0,1.0,0.0,226.0,86.0,42.0,67.2
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,1.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,15.0,6.0,11.0,35.3
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,5.0,0.0,0.0,55.0,43.0,1.0,18.0,17.0,41.0,0.0,1.0,0.0,194.0,14.0,19.0,42.4
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,2.0,0.0,0.0,16.0,10.0,7.0,4.0,4.0,8.0,1.0,0.0,0.0,25.0,27.0,39.0,40.9
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2.0,1.0,0.0,14.0,12.0,0.0,5.0,16.0,22.0,0.0,0.0,0.0,224.0,51.0,32.0,61.4
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,2.0,0.0,0.0,17.0,24.0,23.0,10.0,5.0,10.0,1.0,0.0,1.0,95.0,67.0,110.0,37.9
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,3.0,0.0,0.0,17.0,12.0,0.0,5.0,8.0,13.0,0.0,0.0,0.0,84.0,12.0,9.0,57.1
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4.0,0.0,0.0,25.0,41.0,5.0,24.0,28.0,33.0,1.0,0.0,0.0,357.0,72.0,35.0,67.3
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,0.0,0.0,0.0,17.0,16.0,10.0,12.0,3.0,6.0,1.0,0.0,0.0,73.0,29.0,86.0,25.2
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,0.0,0.0,0.0,9.0,16.0,0.0,9.0,7.0,12.0,0.0,0.0,0.0,106.0,10.0,16.0,38.5
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,1.0,0.0,0.0,12.0,7.0,7.0,6.0,3.0,4.0,1.0,0.0,0.0,47.0,14.0,40.0,25.9
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,10.0,1.0,6.0,14.3
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,12.0,4.0,2.0,66.7
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,3.0,0.0,0.0,13.0,18.0,0.0,11.0,9.0,18.0,0.0,0.0,0.0,85.0,9.0,14.0,39.1
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,3.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,20.0,6.0,76.9
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5.0,1.0,1.0,13.0,10.0,0.0,54.0,11.0,23.0,0.0,0.0,0.0,205.0,14.0,15.0,48.3
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5.0,1.0,0.0,32.0,19.0,1.0,30.0,9.0,22.0,0.0,1.0,0.0,207.0,23.0,20.0,53.5
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,5.0,1.0,1.0,20.0,11.0,1.0,10.0,6.0,18.0,0.0,1.0,0.0,55.0,4.0,6.0,40.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,2.0,0.0,0.0,13.0,6.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,94.0,41.0,13.0,75.9
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,1.0,0.0,0.0,9.0,9.0,6.0,8.0,2.0,5.0,2.0,0.0,0.0,61.0,2.0,14.0,12.5
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,2.0,2.0,0.0,10.0,20.0,0.0,52.0,11.0,28.0,0.0,0.0,0.0,119.0,16.0,15.0,51.6
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,2.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,5.0,12.0,29.4
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,3.0,1.0,0.0,11.0,14.0,1.0,2.0,12.0,19.0,0.0,0.0,0.0,72.0,12.0,10.0,54.5
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,4.0,0.0,0.0,17.0,16.0,0.0,1.0,33.0,26.0,0.0,2.0,0.0,248.0,59.0,50.0,54.1
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,8.0,0.0,0.0,26.0,35.0,2.0,70.0,26.0,28.0,0.0,0.0,0.0,165.0,26.0,23.0,53.1
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,1.0,0.0,0.0,10.0,3.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,79.0,8.0,7.0,53.3
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,3.0,0.0,0.0,11.0,12.0,0.0,37.0,13.0,18.0,0.0,0.0,0.0,143.0,19.0,8.0,70.4
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,10.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,3.0,0.0,0.0,37.0,21.0,4.0,18.0,3.0,14.0,1.0,1.0,0.0,74.0,112.0,71.0,61.2
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2.0,0.0,0.0,11.0,23.0,0.0,0.0,18.0,23.0,0.0,0.0,1.0,231.0,41.0,31.0,56.9
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2.0,0.0,0.0,9.0,13.0,3.0,2.0,27.0,11.0,0.0,0.0,0.0,247.0,64.0,58.0,52.5
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,1.0,0.0,0.0,9.0,8.0,2.0,7.0,5.0,13.0,0.0,0.0,0.0,35.0,4.0,10.0,28.6
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2.0,0.0,0.0,8.0,13.0,1.0,1.0,11.0,11.0,0.0,1.0,1.0,121.0,21.0,26.0,44.7
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0.0,0.0,0.0,10.0,7.0,1.0,25.0,11.0,17.0,0.0,0.0,0.0,328.0,22.0,27.0,44.9
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,3.0,0.0,0.0,14.0,26.0,2.0,27.0,18.0,30.0,0.0,1.0,1.0,148.0,8.0,20.0,28.6
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,6.0,0.0,0.0,23.0,13.0,18.0,5.0,2.0,2.0,0.0,0.0,0.0,49.0,34.0,51.0,40.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7.0,0.0,0.0,18.0,18.0,5.0,79.0,25.0,14.0,0.0,0.0,1.0,211.0,10.0,14.0,41.7
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5.0,0.0,0.0,20.0,38.0,1.0,44.0,16.0,34.0,0.0,0.0,0.0,292.0,8.0,15.0,34.8
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,9.0,0.0,0.0,30.0,25.0,2.0,4.0,17.0,33.0,0.0,2.0,0.0,338.0,78.0,41.0,65.5
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,2.0,0.0,0.0,8.0,11.0,1.0,49.0,9.0,11.0,0.0,1.0,0.0,90.0,2.0,5.0,28.6
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1.0,0.0,0.0,4.0,11.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,40.0,8.0,18.0,30.8
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0.0,0.0,0.0,2.0,3.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,4.0,15.0,21.1
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7.0,0.0,0.0,24.0,14.0,0.0,7.0,23.0,38.0,0.0,0.0,0.0,305.0,29.0,38.0,43.3
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10.0,0.0,0.0,37.0,57.0,0.0,12.0,16.0,36.0,0.0,2.0,0.0,283.0,43.0,43.0,50.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7.0,0.0,0.0,18.0,4.0,1.0,8.0,11.0,24.0,0.0,0.0,1.0,322.0,76.0,54.0,58.5
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4.0,0.0,0.0,31.0,9.0,1.0,36.0,26.0,28.0,0.0,0.0,0.0,197.0,38.0,22.0,63.3
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,9.0,55.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,3.0,40.0
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1.0,0.0,0.0,9.0,19.0,3.0,2.0,1.0,11.0,0.0,0.0,0.0,55.0,4.0,11.0,26.7
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
