Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Attempted,Live Ball passes,Dead Ball passes,Free Kick passes,Through Balls,Passes under pressure,Switches,Crosses,Corner Kicks,CK in,CK out,CK str,Ground passes,Low passes,High passes,Left passes,Right passes,Head passes,Throw ins,Other passes,Passes completed,Passes offside,Pass out of bounds,Passes intercepted,Passes blocked
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1558.0,1175.0,383.0,62.0,0.0,222.0,35.0,44.0,45.0,23.0,15.0,3.0,930.0,322.0,306.0,997.0,256.0,21.0,275.0,3.0,1227.0,8.0,14.0,36.0,47.0
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1684.0,1356.0,328.0,27.0,1.0,290.0,10.0,54.0,0.0,0.0,0.0,0.0,1018.0,391.0,275.0,219.0,1102.0,45.0,301.0,2.0,1316.0,0.0,33.0,22.0,70.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1515.0,1437.0,78.0,75.0,1.0,184.0,49.0,1.0,0.0,0.0,0.0,0.0,1142.0,141.0,232.0,1008.0,411.0,66.0,3.0,3.0,1328.0,3.0,21.0,25.0,12.0
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,40.0,40.0,0.0,0.0,0.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,21.0,9.0,10.0,8.0,23.0,5.0,0.0,0.0,18.0,0.0,1.0,1.0,6.0
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,957.0,864.0,93.0,42.0,1.0,157.0,50.0,18.0,47.0,16.0,16.0,7.0,684.0,113.0,160.0,104.0,788.0,42.0,4.0,8.0,801.0,3.0,23.0,11.0,12.0
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,132.0,120.0,12.0,0.0,1.0,53.0,1.0,4.0,0.0,0.0,0.0,0.0,69.0,38.0,25.0,78.0,16.0,11.0,0.0,5.0,74.0,1.0,3.0,3.0,9.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,896.0,843.0,53.0,23.0,0.0,136.0,33.0,5.0,0.0,0.0,0.0,0.0,580.0,134.0,182.0,111.0,673.0,48.0,30.0,6.0,742.0,1.0,20.0,16.0,8.0
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,412.0,360.0,52.0,0.0,0.0,149.0,5.0,10.0,0.0,0.0,0.0,0.0,259.0,81.0,72.0,31.0,306.0,17.0,0.0,17.0,288.0,1.0,6.0,8.0,26.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,342.0,324.0,18.0,12.0,0.0,61.0,1.0,5.0,0.0,0.0,0.0,0.0,262.0,45.0,35.0,25.0,298.0,9.0,1.0,2.0,298.0,0.0,4.0,5.0,11.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2011.0,1926.0,85.0,64.0,3.0,215.0,102.0,24.0,1.0,0.0,0.0,0.0,1428.0,229.0,354.0,1543.0,324.0,76.0,20.0,5.0,1809.0,1.0,27.0,8.0,20.0
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,265.0,257.0,8.0,0.0,3.0,73.0,8.0,12.0,0.0,0.0,0.0,0.0,160.0,67.0,38.0,18.0,211.0,11.0,0.0,5.0,184.0,1.0,9.0,8.0,20.0
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,699.0,620.0,79.0,21.0,1.0,80.0,4.0,9.0,0.0,0.0,0.0,0.0,479.0,126.0,94.0,73.0,524.0,33.0,58.0,2.0,595.0,1.0,8.0,19.0,18.0
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,191.0,179.0,12.0,0.0,0.0,42.0,3.0,6.0,0.0,0.0,0.0,0.0,109.0,49.0,33.0,28.0,132.0,10.0,6.0,5.0,140.0,0.0,1.0,2.0,14.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,46.0,44.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,5.0,3.0,39.0,4.0,1.0,1.0,0.0,41.0,0.0,0.0,1.0,0.0
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,80.0,65.0,15.0,1.0,0.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,23.0,17.0,10.0,49.0,5.0,14.0,0.0,61.0,0.0,1.0,2.0,1.0
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,27.0,22.0,5.0,1.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,14.0,8.0,5.0,22.0,2.0,1.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,581.0,540.0,41.0,18.0,1.0,144.0,22.0,11.0,19.0,8.0,7.0,3.0,441.0,76.0,64.0,62.0,498.0,8.0,3.0,1.0,460.0,3.0,9.0,22.0,7.0
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,314.0,219.0,95.0,27.0,0.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0,150.0,24.0,140.0,31.0,217.0,1.0,0.0,49.0,227.0,0.0,9.0,0.0,1.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,57.0,57.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,16.0,20.0,3.0,26.0,8.0,0.0,3.0,33.0,0.0,5.0,0.0,1.0
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,969.0,747.0,222.0,11.0,1.0,164.0,24.0,54.0,0.0,0.0,0.0,0.0,497.0,248.0,224.0,646.0,63.0,42.0,211.0,2.0,709.0,7.0,37.0,18.0,45.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1014.0,765.0,249.0,9.0,1.0,161.0,22.0,30.0,2.0,0.0,1.0,0.0,484.0,234.0,296.0,39.0,661.0,61.0,238.0,3.0,722.0,3.0,31.0,17.0,44.0
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,39.0,39.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,3.0,2.0,10.0,29.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,36.0,36.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,3.0,30.0,4.0,2.0,0.0,0.0,29.0,0.0,1.0,1.0,0.0
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,301.0,295.0,6.0,1.0,1.0,77.0,4.0,10.0,4.0,3.0,1.0,0.0,214.0,51.0,36.0,241.0,38.0,14.0,1.0,4.0,245.0,0.0,2.0,5.0,13.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,572.0,556.0,16.0,12.0,0.0,61.0,32.0,0.0,0.0,0.0,0.0,0.0,407.0,37.0,128.0,481.0,59.0,18.0,4.0,1.0,487.0,2.0,12.0,4.0,7.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,367.0,349.0,18.0,1.0,5.0,90.0,1.0,8.0,0.0,0.0,0.0,0.0,273.0,71.0,23.0,41.0,303.0,11.0,1.0,9.0,284.0,0.0,4.0,11.0,15.0
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,791.0,675.0,116.0,9.0,0.0,102.0,18.0,52.0,0.0,0.0,0.0,0.0,502.0,154.0,135.0,14.0,642.0,15.0,107.0,5.0,666.0,0.0,8.0,6.0,19.0
Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,104.0,103.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,11.0,12.0,6.0,91.0,3.0,1.0,1.0,91.0,0.0,2.0,2.0,0.0
Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,313.0,306.0,7.0,6.0,0.0,53.0,6.0,2.0,0.0,0.0,0.0,0.0,236.0,54.0,23.0,254.0,40.0,11.0,1.0,1.0,262.0,2.0,13.0,8.0,6.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1223.0,1177.0,46.0,38.0,1.0,169.0,31.0,1.0,0.0,0.0,0.0,0.0,954.0,105.0,164.0,232.0,904.0,52.0,8.0,3.0,1073.0,0.0,14.0,6.0,18.0
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1160.0,922.0,238.0,13.0,2.0,146.0,33.0,70.0,4.0,0.0,0.0,0.0,641.0,234.0,285.0,251.0,628.0,48.0,221.0,3.0,863.0,6.0,31.0,28.0,36.0
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,413.0,406.0,7.0,5.0,2.0,93.0,5.0,1.0,1.0,1.0,0.0,0.0,330.0,48.0,35.0,63.0,330.0,13.0,1.0,1.0,357.0,2.0,6.0,6.0,3.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,801.0,649.0,152.0,7.0,1.0,104.0,21.0,37.0,3.0,0.0,2.0,1.0,446.0,147.0,208.0,554.0,72.0,22.0,142.0,1.0,625.0,2.0,19.0,17.0,30.0
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,18.0,17.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,4.0,2.0,12.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,509.0,486.0,23.0,0.0,2.0,170.0,11.0,18.0,0.0,0.0,0.0,0.0,260.0,155.0,94.0,254.0,113.0,48.0,3.0,7.0,371.0,5.0,11.0,13.0,12.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,1929.0,1857.0,72.0,39.0,2.0,229.0,46.0,0.0,0.0,0.0,0.0,0.0,1586.0,174.0,169.0,448.0,1357.0,66.0,33.0,2.0,1767.0,2.0,27.0,10.0,18.0
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,29.0,27.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,3.0,4.0,2.0,27.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1183.0,1130.0,53.0,33.0,1.0,150.0,15.0,2.0,0.0,0.0,0.0,0.0,852.0,134.0,197.0,840.0,209.0,92.0,20.0,1.0,1042.0,2.0,11.0,5.0,13.0
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,206.0,202.0,4.0,2.0,0.0,48.0,3.0,7.0,1.0,0.0,0.0,1.0,164.0,21.0,21.0,14.0,181.0,6.0,1.0,0.0,172.0,0.0,2.0,6.0,4.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,754.0,727.0,27.0,12.0,1.0,111.0,4.0,1.0,0.0,0.0,0.0,0.0,606.0,69.0,79.0,93.0,619.0,17.0,15.0,1.0,659.0,0.0,16.0,7.0,3.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2478.0,2375.0,103.0,44.0,7.0,263.0,52.0,25.0,4.0,0.0,1.0,0.0,1938.0,283.0,257.0,2081.0,276.0,46.0,55.0,6.0,2250.0,1.0,21.0,20.0,26.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,810.0,612.0,198.0,14.0,1.0,99.0,13.0,27.0,0.0,0.0,0.0,0.0,418.0,224.0,168.0,45.0,544.0,29.0,184.0,3.0,664.0,1.0,9.0,7.0,30.0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,308.0,278.0,30.0,3.0,4.0,92.0,9.0,5.0,0.0,0.0,0.0,0.0,187.0,78.0,43.0,32.0,228.0,19.0,2.0,9.0,227.0,2.0,3.0,15.0,8.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2141.0,1940.0,201.0,30.0,1.0,173.0,31.0,79.0,2.0,0.0,0.0,0.0,1526.0,365.0,250.0,1651.0,269.0,43.0,169.0,4.0,1864.0,5.0,20.0,30.0,66.0
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,2264.0,1984.0,280.0,68.0,16.0,425.0,106.0,44.0,149.0,53.0,59.0,15.0,1571.0,302.0,391.0,82.0,2114.0,26.0,23.0,14.0,1792.0,23.0,31.0,40.0,59.0
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1882.0,1830.0,52.0,47.0,1.0,197.0,120.0,4.0,0.0,0.0,0.0,0.0,1285.0,223.0,374.0,209.0,1521.0,97.0,3.0,6.0,1619.0,4.0,47.0,15.0,10.0
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,507.0,472.0,35.0,0.0,1.0,81.0,25.0,49.0,10.0,2.0,6.0,0.0,292.0,82.0,133.0,51.0,411.0,16.0,25.0,3.0,344.0,0.0,14.0,10.0,30.0
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,230.0,206.0,24.0,1.0,2.0,42.0,0.0,3.0,1.0,0.0,0.0,0.0,143.0,54.0,33.0,39.0,170.0,11.0,1.0,6.0,181.0,1.0,3.0,2.0,6.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,112.0,95.0,17.0,0.0,0.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,62.0,32.0,18.0,15.0,85.0,7.0,0.0,3.0,84.0,0.0,4.0,8.0,2.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,1840.0,1777.0,63.0,55.0,2.0,334.0,89.0,7.0,3.0,1.0,1.0,1.0,1259.0,297.0,284.0,126.0,1632.0,49.0,4.0,6.0,1649.0,5.0,23.0,24.0,22.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1059.0,951.0,108.0,85.0,2.0,202.0,93.0,12.0,19.0,7.0,5.0,0.0,613.0,172.0,274.0,136.0,837.0,50.0,4.0,6.0,831.0,2.0,35.0,16.0,23.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,1895.0,1814.0,81.0,72.0,6.0,205.0,65.0,8.0,0.0,0.0,0.0,0.0,1238.0,190.0,467.0,340.0,1402.0,101.0,9.0,7.0,1567.0,10.0,39.0,9.0,12.0
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1170.0,934.0,236.0,19.0,0.0,200.0,17.0,36.0,4.0,1.0,2.0,0.0,648.0,231.0,291.0,757.0,124.0,57.0,213.0,1.0,910.0,2.0,13.0,24.0,23.0
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,35.0,35.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,12.0,2.0,18.0,5.0,0.0,1.0,23.0,1.0,0.0,1.0,0.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,156.0,151.0,5.0,1.0,1.0,26.0,3.0,0.0,4.0,0.0,3.0,0.0,112.0,24.0,20.0,141.0,14.0,1.0,0.0,0.0,143.0,1.0,3.0,2.0,3.0
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,389.0,384.0,5.0,3.0,0.0,79.0,11.0,2.0,0.0,0.0,0.0,0.0,306.0,48.0,35.0,336.0,36.0,10.0,2.0,2.0,333.0,2.0,2.0,6.0,8.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,327.0,222.0,105.0,24.0,0.0,45.0,9.0,0.0,0.0,0.0,0.0,0.0,154.0,27.0,146.0,23.0,238.0,0.0,0.0,54.0,237.0,2.0,14.0,2.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3147.0,2495.0,652.0,86.0,8.0,413.0,227.0,183.0,162.0,43.0,74.0,8.0,1472.0,567.0,1108.0,313.0,2330.0,83.0,404.0,7.0,2254.0,11.0,84.0,35.0,111.0
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,75.0,38.0,37.0,13.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,32.0,4.0,60.0,0.0,0.0,8.0,53.0,0.0,1.0,1.0,1.0
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,467.0,430.0,37.0,3.0,1.0,116.0,7.0,14.0,1.0,1.0,0.0,0.0,300.0,90.0,77.0,97.0,301.0,28.0,2.0,7.0,342.0,0.0,7.0,19.0,21.0
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,925.0,701.0,224.0,54.0,1.0,131.0,28.0,0.0,0.0,0.0,0.0,0.0,590.0,85.0,250.0,65.0,688.0,2.0,0.0,132.0,794.0,2.0,19.0,3.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,829.0,796.0,33.0,17.0,3.0,145.0,20.0,9.0,0.0,0.0,0.0,0.0,618.0,104.0,107.0,75.0,715.0,14.0,16.0,3.0,718.0,1.0,10.0,15.0,25.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,805.0,747.0,58.0,9.0,6.0,195.0,8.0,5.0,4.0,0.0,0.0,1.0,587.0,139.0,79.0,33.0,702.0,30.0,17.0,8.0,621.0,6.0,8.0,16.0,37.0
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,894.0,881.0,13.0,2.0,2.0,207.0,22.0,38.0,1.0,0.0,1.0,0.0,635.0,145.0,114.0,777.0,67.0,29.0,8.0,8.0,682.0,3.0,16.0,31.0,40.0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1108.0,941.0,167.0,8.0,0.0,228.0,21.0,51.0,1.0,1.0,0.0,0.0,674.0,231.0,203.0,788.0,93.0,44.0,158.0,0.0,916.0,1.0,15.0,11.0,30.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,716.0,547.0,169.0,7.0,0.0,110.0,14.0,26.0,1.0,0.0,1.0,0.0,379.0,129.0,208.0,73.0,440.0,30.0,161.0,1.0,500.0,2.0,15.0,19.0,33.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,53.0,31.0,22.0,3.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,23.0,4.0,41.0,1.0,0.0,5.0,39.0,0.0,2.0,0.0,0.0
