Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1227.0,1558.0,78.8,21251.0,9280.0,16.0,56.0,28.6,1018.0,1172.0,86.9,193.0,330.0,58.5,2.0,3.2,-1.2,32.0,86.0,25.0,5.0,216.0
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1316.0,1684.0,78.1,20293.0,6834.0,30.0,94.0,31.9,1136.0,1316.0,86.3,150.0,274.0,54.7,1.0,3.4,-2.4,24.0,43.0,32.0,13.0,122.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1328.0,1515.0,87.7,29513.0,9041.0,9.0,23.0,39.1,851.0,924.0,92.1,468.0,568.0,82.4,0.0,0.1,-0.1,2.0,45.0,3.0,0.0,83.0
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,18.0,40.0,45.0,316.0,132.0,0.0,5.0,0.0,16.0,28.0,57.1,2.0,7.0,28.6,0.0,0.2,-0.2,1.0,2.0,2.0,1.0,5.0
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,801.0,957.0,83.7,14638.0,3850.0,6.0,21.0,28.6,632.0,686.0,92.1,163.0,250.0,65.2,2.0,1.4,0.6,26.0,85.0,6.0,4.0,82.0
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,74.0,132.0,56.1,1085.0,199.0,9.0,21.0,42.9,57.0,97.0,58.8,8.0,14.0,57.1,0.0,1.1,-1.1,5.0,5.0,2.0,0.0,8.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,742.0,896.0,82.8,16639.0,6079.0,6.0,16.0,37.5,483.0,547.0,88.3,253.0,333.0,76.0,0.0,0.1,-0.1,2.0,75.0,7.0,0.0,108.0
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,288.0,412.0,69.9,4213.0,811.0,26.0,54.0,48.1,223.0,305.0,73.1,39.0,53.0,73.6,3.0,2.5,0.5,18.0,16.0,5.0,0.0,32.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,298.0,342.0,87.1,4705.0,1028.0,11.0,22.0,50.0,258.0,280.0,92.1,29.0,40.0,72.5,0.0,0.1,-0.1,4.0,19.0,5.0,3.0,24.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,1809.0,2011.0,90.0,41350.0,12495.0,16.0,35.0,45.7,1156.0,1227.0,94.2,637.0,749.0,85.0,2.0,1.6,0.4,7.0,138.0,14.0,3.0,127.0
