Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1839.0,97.0,531.0,883.0,531.0,50.0,1458.0,18.0,36.0,50.0,18.0,2.0,1000.0,5651.0,3129.0,1079.0,994.0,92.1,21.0,16.0
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,2133.0,178.0,804.0,902.0,594.0,52.0,1821.0,49.0,94.0,52.1,55.0,2.0,1321.0,9489.0,5439.0,1399.0,1244.0,88.9,39.0,48.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1856.0,256.0,1131.0,801.0,61.0,27.0,1782.0,21.0,26.0,80.8,21.0,0.0,1201.0,7673.0,4306.0,1266.0,1236.0,97.6,12.0,8.0
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,62.0,1.0,9.0,22.0,33.0,10.0,62.0,2.0,4.0,50.0,3.0,1.0,37.0,279.0,177.0,77.0,39.0,50.6,6.0,2.0
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1176.0,22.0,211.0,754.0,283.0,20.0,1091.0,12.0,22.0,54.5,12.0,0.0,782.0,4298.0,2116.0,854.0,759.0,88.9,14.0,26.0
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,208.0,7.0,18.0,108.0,95.0,23.0,196.0,16.0,21.0,76.2,16.0,0.0,136.0,938.0,492.0,309.0,142.0,46.0,25.0,12.0
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1073.0,108.0,482.0,588.0,87.0,11.0,1022.0,9.0,11.0,81.8,11.0,1.0,662.0,4121.0,2352.0,639.0,619.0,96.9,6.0,2.0
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,739.0,31.0,59.0,354.0,352.0,165.0,688.0,21.0,36.0,58.3,22.0,0.0,427.0,2317.0,1164.0,1076.0,495.0,46.0,71.0,47.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,438.0,21.0,141.0,256.0,64.0,3.0,423.0,7.0,10.0,70.0,7.0,0.0,291.0,1484.0,572.0,288.0,261.0,90.6,8.0,8.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2365.0,370.0,1206.0,1158.0,202.0,34.0,2287.0,15.0,17.0,88.2,15.0,0.0,1559.0,11551.0,6232.0,1641.0,1600.0,97.5,8.0,7.0
