Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,Shots on Target,Shots on Target %,Shots Total p90,Shots on Target p90,Goals per shot,Goals per shot on target,Shots from Free Kicks,Penalty Kicks scored,Penalty Kicks attempted,xG,Non-penalty xG,npxG/Sh,G-xG,np:G-xG
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3.0,44.0,12.0,27.3,1.24,0.34,0.07,0.25,0.0,0.0,0.0,2.7,2.7,0.06,0.3,0.3
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,0.0,1.0,1.0,100.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,0.0,18.0,4.0,22.2,0.47,0.11,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.1,-1.8,-1.8
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,3.0,35.0,11.0,31.4,1.56,0.49,0.06,0.18,0.0,1.0,1.0,3.1,2.3,0.07,-0.1,-0.3
Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,18,2000,0.4,0.0,1.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.16,-0.2,-0.2
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,0.0,5.0,1.0,20.0,0.32,0.06,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,0.0,7.0,2.0,28.6,0.8,0.23,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,3.0,19.0,7.0,36.8,0.52,0.19,0.16,0.43,0.0,0.0,0.0,3.0,3.0,0.16,0.0,0.0
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,2.0,23.0,7.0,30.4,1.37,0.42,0.09,0.29,0.0,0.0,0.0,1.5,1.5,0.07,0.5,0.5
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,0.0,3.0,1.0,33.3,0.37,0.12,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,0.0,9.0,3.0,33.3,1.26,0.42,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,0.0,11.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,1.0,3.0,1.0,33.3,1.0,0.33,0.33,1.0,0.0,0.0,0.0,0.5,0.5,0.17,0.5,0.5
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,0.0,1.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,0.0,3.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,2.0,14.0,7.0,50.0,1.34,0.67,0.0,0.0,0.0,2.0,2.0,3.3,1.8,0.13,-1.3,-1.8
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1.0,17.0,5.0,29.4,0.64,0.19,0.06,0.2,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,0.0,2.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,3.0,10.0,4.0,40.0,0.86,0.34,0.3,0.75,0.0,0.0,0.0,1.5,1.5,0.15,1.5,1.5
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,21.0,118.0,41.0,34.7,4.32,1.5,0.16,0.46,3.0,2.0,2.0,20.7,19.2,0.16,0.3,-0.2
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,28.1,1.0,13.0,4.0,30.8,0.46,0.14,0.08,0.25,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,0.0,3.0,1.0,33.3,0.78,0.26,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.17,-0.5,-0.5
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,0.0,3.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,-0.3,-0.3
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,0.0,14.0,3.0,21.4,1.17,0.25,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6
Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola Aina,ng NGA,"DF,MF",Torino,it Serie A,21,1996,24.0,1.0,25.0,6.0,24.0,1.04,0.25,0.04,0.17,0.0,0.0,0.0,1.9,1.9,0.08,-0.9,-0.9
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,0.0,7.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,0.0,10.0,1.0,10.0,0.84,0.08,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,9.0,47.0,17.0,36.2,2.76,1.0,0.19,0.53,2.0,0.0,0.0,5.8,5.8,0.12,3.2,3.2
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1.0,9.0,2.0,22.2,0.37,0.08,0.11,0.5,0.0,0.0,0.0,0.8,0.8,0.09,0.2,0.2
Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,0.0,8.0,2.0,25.0,0.7,0.18,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,4.0,22.0,8.0,36.4,0.58,0.21,0.18,0.5,0.0,0.0,0.0,3.4,3.4,0.15,0.6,0.6
Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,0.0,16.0,3.0,18.8,2.74,0.51,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9
