Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY
Goal,18,3,44120,13,Successful,96.3,59.0,,
Pass,19,4,279379,167,Successful,50.5,49.9,31.9,52.5
Pass,19,9,77464,167,Successful,36.6,50.3,31.1,30
Pass,19,10,368091,167,Successful,31.1,30.0,27.5,50.4
Pass,19,16,122117,167,Unsuccessful,34.9,57.5,92.2,61.8
KeeperPickup,19,18,102248,13,Successful,8.5,38.5,,
Pass,19,22,102248,13,Successful,9.2,38.8,13.2,73.1
Pass,19,26,27586,13,Successful,10.6,70.8,7.1,49
Pass,19,31,102248,13,Unsuccessful,8.5,46.3,57.4,33.2
Aerial,19,35,122117,167,Successful,37.2,64.0,,
Aerial,19,35,239872,13,Unsuccessful,62.8,36.0,,
Pass,19,36,122117,167,Successful,32.8,62.0,39,64.3
Pass,19,37,77464,167,Successful,39.0,64.3,27.5,93.6
BallRecovery,19,39,105962,167,Successful,26.6,95.4,,
Pass,19,40,105962,167,Successful,26.6,95.4,25,76.3
Pass,19,43,122117,167,Successful,26.0,71.7,5.4,50.1
Pass,20,2,121774,167,Successful,18.8,56.9,60.6,7.9
Pass,20,7,279379,167,Successful,66.7,5.6,53.9,6.8
Pass,20,12,69778,167,Successful,53.1,39.5,44.9,62.4
Pass,20,17,122117,167,Successful,50.6,65.1,76.1,4
BallTouch,20,21,279379,167,Unsuccessful,76.3,4.0,,
TakeOn,20,23,255169,13,Successful,26.1,96.0,,
Challenge,20,23,279379,167,Unsuccessful,73.9,4.0,,
BallRecovery,20,24,255169,13,Successful,32.1,96.5,,
Pass,20,24,255169,13,Successful,34.1,95.3,46.2,96.3
TakeOn,20,26,44120,13,Unsuccessful,42.9,96.3,,
Tackle,20,26,69778,167,Successful,57.1,3.7,,
Pass,20,47,297403,13,Unsuccessful,44.6,100.0,60.6,95.6
Interception,20,50,368091,167,Successful,29.5,4.3,,
Pass,20,59,297403,13,Successful,68.0,100.0,58.4,97.4
