,Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Recipient,Pass Recipient Name,Player Name
0,Pass,0,0,4511,26,Successful,50.3,50.0,30.5,46.3,OpenPlay,136451.0,Joseph Gomez,James Milner
1,Pass,0,2,136451,26,Unsuccessful,30.5,46.3,72.6,89.9,OpenPlay,,,Joseph Gomez
2,Pass,0,6,125211,13,Unsuccessful,25.0,14.0,27.3,12.1,OpenPlay,,,Héctor Bellerín
3,Pass,0,6,96182,26,Successful,72.6,89.9,69.7,81.4,OpenPlay,4511.0,James Milner,Roberto Firmino
4,Pass,0,7,4511,26,Unsuccessful,69.2,81.2,71.8,86.1,OpenPlay,,,James Milner
5,Pass,0,8,125211,13,Unsuccessful,24.4,12.8,28.2,22.9,OpenPlay,,,Héctor Bellerín
6,Pass,0,32,27586,13,Successful,10.9,31.0,57.9,92,OpenPlay,44120.0,Pierre-Emerick Aubameyang,David Luiz
7,Pass,0,37,44120,13,Successful,57.4,93.9,52.5,97.4,OpenPlay,255169.0,Ainsley Maitland-Niles,Pierre-Emerick Aubameyang
8,Pass,0,39,255169,13,Successful,54.3,96.8,45.7,72.6,OpenPlay,89401.0,Granit Xhaka,Ainsley Maitland-Niles
9,Pass,0,40,89401,13,Successful,45.7,72.6,43.8,56.1,OpenPlay,125209.0,Mohamed Elneny,Granit Xhaka
10,Pass,0,43,125209,13,Successful,39.1,58.5,48.2,11.6,OpenPlay,115726.0,Andrew Robertson,Mohamed Elneny
11,Pass,1,0,115726,26,Successful,38.2,100.0,24.9,81.4,ThrowIn,95408.0,Virgil van Dijk,Andrew Robertson
12,Pass,1,4,95408,26,Successful,22.8,71.8,34.5,3.8,OpenPlay,386969.0,Neco Williams,Virgil van Dijk
13,Pass,1,8,386969,26,Unsuccessful,34.7,3.8,59.5,9.7,OpenPlay,,,Neco Williams
14,Pass,1,10,297403,13,Successful,40.0,90.7,40.3,79.1,OpenPlay,33568.0,Georginio Wijnaldum,Kieran Tierney
15,Pass,1,17,33568,26,Successful,56.8,32.6,51.1,45.8,OpenPlay,4511.0,James Milner,Georginio Wijnaldum
16,Pass,1,18,4511,26,Successful,53.3,47.2,52.7,79.8,OpenPlay,115726.0,Andrew Robertson,James Milner
17,Pass,1,24,115726,26,Successful,56.2,91.1,42.3,70.6,OpenPlay,95408.0,Virgil van Dijk,Andrew Robertson
18,Pass,1,28,95408,26,Successful,42.7,67.8,74.8,5.4,OpenPlay,386969.0,Neco Williams,Virgil van Dijk
19,Pass,1,31,386969,26,Unsuccessful,74.8,4.6,90.9,6.6,OpenPlay,,,Neco Williams
20,Pass,1,34,297403,13,Unsuccessful,7.7,94.2,44.4,90.6,OpenPlay,,,Kieran Tierney
21,Pass,1,37,136451,26,Successful,58.0,16.5,65.7,20.3,OpenPlay,4511.0,James Milner,Joseph Gomez
22,Pass,1,39,4511,26,Successful,65.7,20.3,65.6,7.1,OpenPlay,33568.0,Georginio Wijnaldum,James Milner
23,Pass,1,41,33568,26,Successful,65.5,8.8,71.3,3.7,OpenPlay,386969.0,Neco Williams,Georginio Wijnaldum
24,Pass,1,43,386969,26,Unsuccessful,71.6,3.7,74.1,10.4,OpenPlay,,,Neco Williams
25,Pass,1,44,297403,13,Successful,22.2,80.2,33.5,76.9,OpenPlay,367185.0,Bukayo Saka,Kieran Tierney
26,Pass,1,49,367185,13,Successful,34.0,49.5,30.3,35.3,OpenPlay,125211.0,Héctor Bellerín,Bukayo Saka
27,Pass,1,51,125211,13,Unsuccessful,29.8,29.9,36.5,34.5,OpenPlay,,,Héctor Bellerín
28,Pass,1,52,4511,26,Successful,65.0,63.3,56.8,74.2,OpenPlay,115726.0,Andrew Robertson,James Milner
29,Pass,1,56,115726,26,Successful,57.2,73.8,45.8,61.5,OpenPlay,95408.0,Virgil van Dijk,Andrew Robertson
30,Pass,1,59,95408,26,Successful,46.4,57.2,45,42.2,OpenPlay,136451.0,Joseph Gomez,Virgil van Dijk
31,Pass,2,2,136451,26,Successful,45.3,41.2,45.6,86.5,OpenPlay,115726.0,Andrew Robertson,Joseph Gomez
32,Pass,2,6,115726,26,Successful,44.9,90.3,38.5,68.5,OpenPlay,95408.0,Virgil van Dijk,Andrew Robertson
33,Pass,2,14,95408,26,Successful,46.5,42.8,57.4,2.3,OpenPlay,386969.0,Neco Williams,Virgil van Dijk
34,Pass,2,17,386969,26,Successful,56.4,2.9,41.7,16.2,OpenPlay,136451.0,Joseph Gomez,Neco Williams
35,Pass,2,20,136451,26,Successful,37.5,27.9,32.7,40.6,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
36,Pass,2,22,95408,26,Successful,31.5,54.5,13.5,51.2,OpenPlay,114147.0,Alisson,Virgil van Dijk
37,Pass,2,26,114147,26,Successful,13.6,50.9,20.3,70.6,OpenPlay,95408.0,Virgil van Dijk,Alisson
38,Pass,2,30,95408,26,Successful,22.5,70.5,91,81.8,OpenPlay,109915.0,Sadio Mané,Virgil van Dijk
39,Pass,2,37,109915,26,Successful,89.9,86.1,86,73.2,OpenPlay,115726.0,Andrew Robertson,Sadio Mané
