Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY
Start,0,0,,26,Successful,0.0,0.0,,
Start,0,0,,13,Successful,0.0,0.0,,
Pass,0,1,4511,26,Successful,50.3,50.0,30.5,46.3
Pass,0,3,136451,26,Unsuccessful,30.5,46.3,72.6,89.9
Pass,0,5,125211,13,Unsuccessful,25.0,14.0,27.3,12.1
Pass,0,6,96182,26,Successful,72.6,89.9,69.7,81.4
Pass,0,7,4511,26,Unsuccessful,69.2,81.2,71.8,86.1
Pass,0,7,125211,13,Unsuccessful,24.4,12.8,28.2,22.9
BlockedPass,0,8,4511,26,Successful,76.9,71.3,,
BallTouch,0,8,4511,26,Unsuccessful,70.2,77.1,,
Clearance,0,8,27586,13,Successful,21.0,28.4,22.2,27.5
Dispossessed,0,21,109915,26,Successful,95.0,91.7,,
Tackle,0,21,125211,13,Unsuccessful,5.0,8.3,,
BallTouch,0,22,109915,26,Successful,95.2,92.0,,
BallRecovery,0,23,125211,13,Successful,7.0,13.0,,
Foul,0,25,125211,13,Successful,9.0,17.2,,
Foul,0,25,109915,26,Unsuccessful,91.0,82.8,,
Pass,0,33,27586,13,Successful,10.9,31.0,57.9,92
Pass,0,37,44120,13,Successful,57.4,93.9,52.5,97.4
Pass,0,39,255169,13,Successful,54.3,96.8,45.7,72.6
Pass,0,41,89401,13,Successful,45.7,72.6,43.8,56.1
Pass,0,43,125209,13,Successful,39.1,58.5,48.2,11.6
BallTouch,0,45,125211,13,Unsuccessful,48.2,11.6,,
Pass,1,1,115726,26,Successful,38.2,100.0,24.9,81.4
Pass,1,5,95408,26,Successful,22.8,71.8,34.5,3.8
Pass,1,9,386969,26,Unsuccessful,34.7,3.8,59.5,9.7
Pass,1,11,297403,13,Successful,40.0,90.7,40.3,79.1
BallRecovery,1,13,89401,13,Successful,41.5,78.7,,
BallTouch,1,14,89401,13,Unsuccessful,40.7,77.9,,
BallRecovery,1,15,33568,26,Successful,58.2,31.0,,
Dispossessed,1,16,33568,26,Successful,57.8,26.1,,
Tackle,1,16,89401,13,Unsuccessful,42.2,73.9,,
Pass,1,18,33568,26,Successful,56.8,32.6,51.1,45.8
Pass,1,19,4511,26,Successful,53.3,47.2,52.7,79.8
Pass,1,26,115726,26,Successful,56.2,91.1,42.3,70.6
Pass,1,29,95408,26,Successful,42.7,67.8,74.8,5.4
Pass,1,34,386969,26,Unsuccessful,74.8,4.6,90.9,6.6
BallRecovery,1,35,297403,13,Successful,7.7,94.2,,
Pass,1,35,297403,13,Unsuccessful,7.7,94.2,44.4,90.6
BallRecovery,1,38,136451,26,Successful,58.0,16.5,,
Pass,1,38,136451,26,Successful,58.0,16.5,65.7,20.3
Pass,1,39,4511,26,Successful,65.7,20.3,65.6,7.1
Pass,1,41,33568,26,Successful,65.5,8.8,71.3,3.7
Pass,1,43,386969,26,Unsuccessful,71.6,3.7,74.1,10.4
Interception,1,45,89401,13,Successful,28.5,89.0,,
Pass,1,46,297403,13,Successful,22.2,80.2,33.5,76.9
Dispossessed,1,48,345845,13,Successful,32.0,80.4,,
Tackle,1,48,115916,26,Unsuccessful,68.0,19.6,,
Aerial,1,50,367185,13,Successful,32.8,49.9,,
Aerial,1,50,109915,26,Unsuccessful,67.2,50.1,,
Pass,1,50,367185,13,Successful,34.0,49.5,30.3,35.3
BallRecovery,1,52,125211,13,Successful,31.2,33.4,,
Pass,1,52,125211,13,Unsuccessful,29.8,29.9,36.5,34.5
Pass,1,53,4511,26,Successful,65.0,63.3,56.8,74.2
BallRecovery,1,55,115726,26,Successful,60.1,69.7,,
Pass,1,57,115726,26,Successful,57.2,73.8,45.8,61.5
Pass,2,0,95408,26,Successful,46.4,57.2,45,42.2
Pass,2,2,136451,26,Successful,45.3,41.2,45.6,86.5
Pass,2,6,115726,26,Successful,44.9,90.3,38.5,68.5
Pass,2,14,95408,26,Successful,46.5,42.8,57.4,2.3
Pass,2,17,386969,26,Successful,56.4,2.9,41.7,16.2
Pass,2,20,136451,26,Successful,37.5,27.9,32.7,40.6
Pass,2,22,95408,26,Successful,31.5,54.5,13.5,51.2
Pass,2,25,114147,26,Successful,13.6,50.9,20.3,70.6
Pass,2,30,95408,26,Successful,22.5,70.5,91,81.8
Pass,2,38,109915,26,Successful,89.9,86.1,86,73.2
Pass,2,40,115726,26,Unsuccessful,86.5,74.0,90.2,55.7
Clearance,2,40,27586,13,Successful,8.8,44.1,29.3,13.7
Aerial,2,44,4511,26,Successful,70.7,86.0,,
Aerial,2,44,367185,13,Unsuccessful,29.3,14.0,,
Pass,2,44,4511,26,Unsuccessful,69.5,85.5,67,100
Pass,3,3,125211,13,Successful,28.9,0.0,29.7,7.4
Pass,3,5,125209,13,Successful,29.7,7.4,28.3,1.6
Pass,3,6,125211,13,Successful,28.4,4.0,23,4.9
Pass,3,7,367185,13,Successful,26.2,5.6,36.9,5.4
Pass,3,8,125209,13,Successful,34.9,3.6,32.9,16.1
Pass,3,9,125211,13,Successful,32.6,13.9,39.7,14.3
TakeOn,3,13,367185,13,Successful,37.1,34.7,,
Challenge,3,13,109915,26,Unsuccessful,62.9,65.3,,
Pass,3,14,367185,13,Successful,38.3,39.2,32.1,62.4
Pass,3,16,297403,13,Unsuccessful,32.6,65.1,85.8,74.1
KeeperPickup,3,20,114147,26,Successful,14.0,27.0,,
Pass,3,26,114147,26,Successful,12.5,34.2,21.4,67.8
Pass,3,28,95408,26,Successful,22.1,68.6,25.1,93.8
Pass,3,29,115726,26,Successful,26.1,92.7,21.9,63.3
Pass,3,29,95408,26,Successful,20.9,62.3,5.3,50.3
Pass,3,32,114147,26,Unsuccessful,9.5,42.1,43.8,49.9
Pass,3,35,27586,13,Successful,56.5,45.1,45.8,41.8
BallRecovery,3,37,288795,13,Successful,45.6,49.1,,
Pass,3,38,288795,13,Successful,45.9,54.5,44.2,87.6
Pass,3,40,255169,13,Successful,45.0,88.7,56.2,98.7
Pass,3,43,44120,13,Successful,53.9,97.2,47,75
Pass,3,46,89401,13,Unsuccessful,47.3,69.8,67.8,10.7
BallRecovery,3,50,115726,26,Successful,38.4,96.5,,
Pass,3,55,115726,26,Unsuccessful,68.1,93.4,86.2,43.3
Clearance,3,58,297403,13,Successful,15.0,56.9,2.3,56.9
KeeperPickup,4,0,102248,13,Successful,2.0,56.5,,
Pass,4,15,102248,13,Successful,13.8,62.0,58.9,92.9
Pass,4,18,44120,13,Successful,58.9,92.9,55.5,83
Pass,4,19,345845,13,Successful,55.5,83.0,52.4,91.7
Pass,4,20,255169,13,Unsuccessful,52.8,90.1,56.7,79.3
BallTouch,4,21,115916,26,Successful,43.6,21.5,,
Pass,4,23,297403,13,Successful,39.7,94.6,48.1,91.9
Pass,4,24,255169,13,Successful,47.3,91.7,36.2,91.3
Pass,4,25,297403,13,Successful,37.5,93.4,26.5,79.3
Pass,4,27,27586,13,Successful,28.2,77.0,33.5,62.9
Pass,4,32,125209,13,Unsuccessful,35.6,46.4,79.9,40
BallRecovery,4,37,114147,26,Successful,19.6,61.4,,
Pass,4,38,114147,26,Successful,19.6,61.4,25.1,34.2
Pass,4,43,136451,26,Successful,28.0,38.0,26.9,56.6
Pass,4,44,95408,26,Successful,26.4,58.5,11.7,52.6
Pass,4,46,114147,26,Successful,12.4,53.6,13.5,96
Pass,4,50,4511,26,Successful,15.3,96.0,4.9,65.4
Pass,4,58,114147,26,Successful,10.2,53.1,12.3,73.5
Pass,5,1,95408,26,Successful,13.3,73.2,25.6,69.4
Pass,5,2,115916,26,Successful,25.6,69.4,20.7,92.9
Pass,5,4,4511,26,Successful,20.7,92.9,43.9,98.4
Pass,5,7,115726,26,Unsuccessful,43.6,98.3,44.6,97.2
BlockedPass,5,7,288795,13,Successful,55.2,4.4,,
Pass,5,9,115916,26,Successful,40.5,83.8,59.1,85.9
Pass,5,14,109915,26,Unsuccessful,63.1,67.8,65.5,43.5
Interception,5,15,89401,13,Successful,35.2,54.0,,
Pass,5,17,115916,26,Successful,60.2,60.9,47.1,42.2
Pass,5,21,136451,26,Successful,46.6,41.9,42.4,59.1
Pass,5,23,95408,26,Successful,42.4,59.1,55.9,93.2
Pass,5,27,115726,26,Successful,57.7,95.1,64,68.7
Pass,5,30,96182,26,Successful,61.2,64.0,71.5,56.3
Foul,5,34,33568,26,Successful,72.4,63.0,,
Foul,5,34,27586,13,Unsuccessful,27.6,37.0,,
OffsideGiven,6,,95408,26,Unsuccessful,92.2,45.0,,
OffsideProvoked,6,6,297403,13,Successful,15.4,55.5,,
OffsidePass,6,6,115726,26,Successful,68.5,72.1,92.2,45
Pass,6,51,102248,13,Unsuccessful,8.5,52.7,65.4,71.1
Aerial,6,55,95408,26,Successful,35.6,31.2,,
Aerial,6,55,345845,13,Unsuccessful,64.4,68.8,,
Interception,6,55,95408,26,Successful,36.8,32.2,,
Pass,6,57,297403,13,Successful,46.4,75.2,53.2,18.7
Pass,7,2,125211,13,Successful,60.1,9.8,59.3,24.2
Pass,7,3,125209,13,Successful,59.3,24.2,53.3,5.3
Pass,7,5,125211,13,Successful,51.5,2.5,33.5,10.6
Pass,7,8,288795,13,Successful,32.3,16.3,27.1,48.2
Pass,7,11,27586,13,Successful,30.1,53.2,38.3,96.6
Pass,7,14,297403,13,Unsuccessful,41.3,97.2,85.7,63
KeeperPickup,7,19,114147,26,Successful,14.2,41.3,,
Pass,7,20,114147,26,Successful,14.7,41.2,24,81.2
Pass,7,25,115726,26,Successful,30.3,93.5,35,71.2
Pass,7,28,115916,26,Successful,35.9,61.4,29.4,32.8
Pass,7,33,136451,26,Successful,29.0,30.7,26.1,46.3
Pass,7,35,95408,26,Successful,26.1,48.4,28.4,72.4
Pass,7,36,4511,26,Successful,28.7,81.1,36.5,93.6
Pass,7,39,115726,26,Successful,37.6,94.8,28.3,86
Pass,7,40,4511,26,Successful,27.7,82.9,24.4,54.8
Pass,7,44,95408,26,Successful,21.4,55.1,7.5,44.6
Pass,7,52,114147,26,Unsuccessful,9.7,40.4,46.2,61.2
Aerial,7,55,27586,13,Successful,52.6,40.8,,
Aerial,7,55,96182,26,Unsuccessful,47.4,59.2,,
Pass,7,55,27586,13,Unsuccessful,53.6,37.4,62,43.1
TakeOn,7,58,115916,26,Unsuccessful,39.5,64.9,,
Tackle,7,58,125209,13,Successful,60.5,35.1,,
BallRecovery,8,0,367185,13,Successful,57.7,21.5,,
Pass,8,0,367185,13,Successful,57.7,21.5,54.1,13.7
