Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY
BallRecovery,17,12.0,89401,13,Successful,12.4,37.0,,
Pass,17,12.0,89401,13,Successful,12.4,37.0,23,34.6
Pass,17,15.0,73078,13,Successful,23.8,32.8,21.6,28.4
Pass,17,17.0,89401,13,Successful,22.1,26.9,19.5,9.2
Pass,17,19.0,125211,13,Successful,19.4,8.5,21.1,24.1
Pass,17,21.0,144890,13,Successful,22.6,25.0,10.8,24.7
Pass,17,24.0,80921,13,Successful,10.8,25.0,4.6,47.8
Pass,17,27.0,102248,13,Successful,4.3,52.5,8.2,59.1
Pass,17,28.0,27586,13,Successful,8.2,58.5,4.4,52.2
Pass,17,30.0,102248,13,Successful,4.4,52.2,14.6,49.6
Pass,17,33.0,144890,13,Successful,12.0,44.6,3.7,23.8
Pass,17,36.0,80921,13,Successful,3.7,27.2,2.2,42.2
Pass,17,39.0,102248,13,Successful,2.1,42.5,11.7,47.6
Pass,17,44.0,89401,13,Successful,9.4,48.0,10.5,77.1
Pass,17,46.0,27586,13,Successful,29.4,75.8,39.4,96.9
Pass,17,49.0,297403,13,Successful,44.5,97.7,58,75.9
Pass,17,51.0,73078,13,Successful,54.2,65.4,56,28.1
Pass,17,57.0,125211,13,Successful,74.9,22.0,85.9,13.7
Pass,17,59.0,239872,13,Successful,82.8,14.3,95.9,59
