Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,162,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,9156,162,Successful,48.6,51.0,51.9,47.6,OpenPlay
Pass,0,2,20339,162,Successful,51.9,47.6,29.8,54.8,OpenPlay
Pass,0,3,12124,162,Unsuccessful,29.3,56.6,51.6,79.3,OpenPlay
BallRecovery,0,5,26820,13,Successful,48.3,21.2,,,OpenPlay
Pass,0,6,26820,13,Successful,63.7,21.8,72.6,37.7,OpenPlay
BallTouch,0,8,13756,13,Unsuccessful,72.9,30.3,,,OpenPlay
BallRecovery,0,10,9156,162,Successful,28.3,72.7,,,OpenPlay
Pass,0,11,9156,162,Unsuccessful,24.1,76.7,27.3,85.1,OpenPlay
BallRecovery,0,14,69738,13,Successful,67.0,8.8,,,OpenPlay
Pass,0,15,69738,13,Successful,67.0,8.8,70.1,17.7,OpenPlay
Pass,0,16,26820,13,Successful,68.7,23.1,61.7,36.3,OpenPlay
Pass,0,17,4522,13,Successful,62.0,39.4,62.3,92.7,OpenPlay
Pass,0,20,23072,13,Successful,62.3,92.7,74.7,94.7,OpenPlay
Pass,0,22,25244,13,Successful,74.7,94.7,58.2,92.7,OpenPlay
Pass,0,23,23072,13,Successful,58.2,92.7,54.7,66.6,OpenPlay
Pass,0,24,4522,13,Successful,54.3,66.4,51.8,49,OpenPlay
Pass,0,26,69738,13,Successful,52.6,52.7,48.2,65.1,OpenPlay
Pass,0,29,4522,13,Successful,47.0,61.7,56.7,53.9,OpenPlay
Pass,0,30,69738,13,Successful,56.7,53.9,46.6,58.8,OpenPlay
Pass,0,32,4522,13,Successful,49.0,58.5,64.6,43.1,OpenPlay
Pass,0,34,26820,13,Unsuccessful,71.9,44.3,75.5,62.3,OpenPlay
Pass,0,37,43105,162,Unsuccessful,23.1,39.1,29.4,48.2,OpenPlay
Pass,0,38,69738,13,Successful,71.9,56.0,73.7,65.2,OpenPlay
Pass,0,40,13756,13,Successful,75.7,68.7,92.8,68.8,OpenPlay
Pass,0,43,25244,13,Unsuccessful,99.1,70.9,98.2,68.7,OpenPlay
