Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
OffsideGiven,0,,26013,96,Unsuccessful,61.8,76.1,,,OpenPlay
Start,0,0,,96,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,85470,96,Successful,49.6,49.3,50.8,47.7,OpenPlay
Pass,0,2,74603,96,Successful,50.8,47.7,44.6,45.5,OpenPlay
Pass,0,3,8505,96,Successful,44.3,42.8,43.4,2.1,OpenPlay
Pass,0,6,76304,96,Successful,41.2,6.9,25.9,44.2,OpenPlay
Pass,0,8,38772,96,Successful,25.8,46.3,23.7,63.3,OpenPlay
Pass,0,10,75177,96,Successful,23.5,63.3,7.7,49.6,OpenPlay
Pass,0,15,107395,96,Successful,10.0,52.1,36.4,90.1,OpenPlay
Pass,0,17,24148,96,Successful,39.8,90.4,46.8,87.2,OpenPlay
Pass,0,19,74603,96,Successful,47.5,86.3,42.2,79.8,OpenPlay
OffsideProvoked,0,20,30051,13,Successful,41.9,38.2,,,OpenPlay
OffsidePass,0,20,24148,96,Successful,41.6,78.9,61.8,76.1,OpenPlay
Pass,0,29,4522,13,Successful,39.5,35.3,33.7,62.8,OpenPlay
Pass,0,31,30051,13,Successful,35.9,63.7,43.4,80.9,OpenPlay
Pass,0,34,23072,13,Successful,44.2,88.2,41.4,65.2,OpenPlay
Pass,0,36,69738,13,Successful,41.4,65.2,32.7,59.9,OpenPlay
Pass,0,38,30051,13,Successful,32.1,55.5,43.5,6.3,OpenPlay
Pass,0,43,4522,13,Successful,54.9,3.7,61.5,2.4,OpenPlay
Pass,0,44,26820,13,Successful,61.6,2.4,54,12.3,OpenPlay
Pass,0,46,4522,13,Successful,50.8,26.1,47.7,53.9,OpenPlay
Pass,0,50,69738,13,Successful,46.2,45.6,46.8,71.2,OpenPlay
Pass,0,52,30051,13,Successful,52.0,71.4,61.1,73.9,OpenPlay
Pass,0,54,25244,13,Successful,58.9,74.7,44.2,73.6,OpenPlay
Pass,0,57,30051,13,Successful,44.1,68.3,41.3,43.9,OpenPlay
Pass,0,59,76810,13,Successful,40.9,37.7,48.2,6.1,OpenPlay
Pass,1,4,26820,13,Successful,42.1,18.2,33.3,46.3,OpenPlay
Pass,1,6,76810,13,Successful,33.3,46.3,44.3,71.2,OpenPlay
Pass,1,13,30051,13,Successful,45.7,66.0,43.1,49.1,OpenPlay
