Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype
Start,0,0,,32,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,13796,13,Successful,50.0,50.7,50.9,51.1,OpenPlay
Pass,0,2,13756,13,Successful,50.7,50.7,33.8,50.5,OpenPlay
Pass,0,4,4522,13,Unsuccessful,35.0,49.5,74.5,40.4,OpenPlay
Pass,0,6,70033,32,Unsuccessful,24.4,66.1,31.9,62,OpenPlay
Pass,0,8,13756,13,Successful,70.5,41.0,73.7,34.3,OpenPlay
Pass,0,12,26820,13,Successful,61.4,27.6,37.3,30.6,OpenPlay
Pass,0,14,6292,13,Successful,37.3,30.6,44.9,12.3,OpenPlay
Pass,0,16,26820,13,Successful,47.1,22.1,27.4,33.6,OpenPlay
Pass,0,20,6292,13,Successful,28.5,33.3,39.2,32.8,OpenPlay
Pass,0,22,4522,13,Successful,41.2,32.8,61.8,21.3,OpenPlay
Pass,0,24,26820,13,Successful,61.8,18.3,64,4,OpenPlay
Pass,0,26,125211,13,Successful,62.9,10.1,54.4,9.7,OpenPlay
Pass,0,27,26820,13,Successful,54.4,9.7,30.1,28,OpenPlay
Pass,0,30,6292,13,Successful,30.1,28.0,37.4,36.1,OpenPlay
Pass,0,33,4522,13,Successful,40.4,34.6,28.9,31,OpenPlay
Pass,0,37,6292,13,Successful,30.0,34.0,29.2,66,OpenPlay
Pass,0,41,76810,13,Successful,30.5,63.7,34,49.4,OpenPlay
Pass,0,44,4522,13,Successful,34.6,44.2,34.5,25.9,OpenPlay
Pass,0,47,6292,13,Successful,34.5,25.9,34.3,40.9,OpenPlay
Pass,0,51,4522,13,Successful,40.9,38.6,61.9,64,OpenPlay
Pass,0,53,13756,13,Successful,61.9,64.0,69.1,76.3,OpenPlay
Challenge,0,55,23220,32,Unsuccessful,24.9,27.7,,,OpenPlay
TakeOn,0,55,25244,13,Successful,72.6,72.5,,,OpenPlay
Pass,0,56,25244,13,Successful,75.2,65.5,93.5,70.5,OpenPlay
Foul,1,7,23220,32,Unsuccessful,12.3,14.4,,,OpenPlay
Foul,1,7,13796,13,Successful,88.2,84.2,,,OpenPlay
Pass,1,48,4522,13,Unsuccessful,88.6,84.8,96.9,50.9,OpenPlay
Punch,1,51,79554,32,Successful,1.8,48.5,,,OpenPlay
Pass,1,53,26820,13,Unsuccessful,90.4,28.5,81.7,43.6,OpenPlay
Clearance,1,56,110154,32,Successful,18.0,58.4,32.3,70.9,OpenPlay
Pass,1,57,125211,13,Successful,69.2,21.0,76.7,10.4,OpenPlay
Pass,1,59,26820,13,Successful,76.7,10.4,96.5,17.6,OpenPlay
Pass,2,5,25244,13,Unsuccessful,98.9,17.4,98.5,19.7,OpenPlay
Clearance,2,7,3859,32,Successful,1.9,82.9,1.9,82.9,OpenPlay
CornerAwarded,2,8,3859,32,Unsuccessful,1.7,81.6,,,OpenPlay
CornerAwarded,2,8,25244,13,Successful,98.3,18.4,,,OpenPlay
Pass,2,32,4522,13,Successful,99.5,0.5,85.1,50.6,CornerTaken
Aerial,2,36,122366,32,Unsuccessful,21.7,59.7,,,OpenPlay
Aerial,2,36,69738,13,Successful,77.6,43.2,,,OpenPlay
Pass,2,37,69738,13,Successful,77.0,46.1,78.1,39.2,OpenPlay
Aerial,2,38,4567,32,Unsuccessful,20.8,63.2,,,OpenPlay
Aerial,2,38,6292,13,Successful,79.2,36.8,,,OpenPlay
Pass,2,39,6292,13,Successful,78.1,38.8,81.2,32.2,OpenPlay
Pass,2,40,13756,13,Unsuccessful,81.2,32.2,96.8,39.7,OpenPlay
Interception,2,42,2115,32,Successful,4.2,60.8,,,OpenPlay
CornerAwarded,2,42,2115,32,Unsuccessful,4.2,60.8,,,OpenPlay
CornerAwarded,2,42,13756,13,Successful,96.3,39.4,,,OpenPlay
Pass,3,16,4522,13,Unsuccessful,99.5,0.5,97.1,42.5,CornerTaken
Clearance,3,18,2115,32,Successful,3.9,59.3,24.9,93.2,OpenPlay
Pass,3,21,13756,13,Successful,73.6,5.8,54.1,36.7,OpenPlay
Pass,3,25,125211,13,Successful,57.9,31.9,66.7,4.3,OpenPlay
Pass,3,27,13756,13,Successful,66.8,6.5,77.6,24.4,OpenPlay
TakeOn,3,30,13796,13,Unsuccessful,75.6,24.9,,,OpenPlay
Tackle,3,30,71345,32,Successful,24.4,75.1,,,OpenPlay
BallRecovery,3,31,2115,32,Successful,25.4,69.6,,,OpenPlay
Pass,3,32,2115,32,Unsuccessful,25.4,69.6,33.8,74.5,OpenPlay
BallRecovery,3,33,4522,13,Successful,72.1,27.4,,,OpenPlay
BlockedPass,3,33,4522,13,Successful,72.1,27.4,,,OpenPlay
Pass,3,33,4522,13,Successful,74.2,28.3,68.7,32.4,OpenPlay
Pass,3,35,69738,13,Successful,66.7,35.4,53.1,63,OpenPlay
Pass,3,39,76810,13,Successful,53.0,61.7,53.9,46.1,OpenPlay
Pass,3,41,4522,13,Successful,54.7,46.7,85.1,68.8,OpenPlay
Aerial,3,43,23220,32,Unsuccessful,12.5,37.7,,,OpenPlay
Aerial,3,43,25244,13,Successful,86.3,65.6,,,OpenPlay
MissedShots,3,44,25244,13,Successful,85.1,68.8,,,OpenPlay
Pass,4,5,79554,32,Unsuccessful,5.0,37.0,61.1,36.7,OpenPlay
Pass,4,9,6292,13,Unsuccessful,34.4,48.2,65.2,62.1,OpenPlay
Pass,4,10,2115,32,Successful,36.1,37.0,44.3,36.6,OpenPlay
Aerial,4,11,4567,32,Successful,44.3,37.1,,,OpenPlay
Aerial,4,11,13756,13,Unsuccessful,55.7,62.9,,,OpenPlay
Pass,4,11,4567,32,Successful,44.3,36.6,55.9,30.3,OpenPlay
Pass,4,12,122366,32,Unsuccessful,55.9,30.3,53.4,34.2,OpenPlay
BlockedPass,4,13,69738,13,Successful,48.3,67.5,,,OpenPlay
Dispossessed,4,14,122366,32,Successful,55.5,35.6,,,OpenPlay
Tackle,4,14,76810,13,Successful,44.5,64.4,,,OpenPlay
BallRecovery,4,15,69738,13,Successful,34.4,64.3,,,OpenPlay
Pass,4,16,69738,13,Successful,45.0,65.7,35.2,61.8,OpenPlay
Pass,4,17,6292,13,Successful,34.4,64.3,43.8,97.2,OpenPlay
Pass,4,19,23072,13,Successful,37.2,89.1,23,77.5,OpenPlay
Pass,4,22,76810,13,Successful,24.5,69.6,24.4,49.9,OpenPlay
Pass,4,31,6292,13,Successful,31.7,42.2,46.8,42.7,OpenPlay
Pass,4,35,26820,13,Successful,36.0,53.4,26.2,65.1,OpenPlay
Pass,4,41,76810,13,Successful,26.9,53.3,31.6,39.5,OpenPlay
Pass,4,47,4522,13,Successful,28.0,38.3,25.2,22.7,OpenPlay
Pass,4,49,6292,13,Successful,25.2,22.7,41,23,OpenPlay
Challenge,4,51,3859,32,Unsuccessful,57.6,80.0,,,OpenPlay
