Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,24,Successful,0.0,0.0,,
Pass,68659,26,Successful,50.1,50.3,33.2,51.2
Pass,29106,26,Unsuccessful,32.9,50.1,74.3,78.1
Aerial,96182,26,Unsuccessful,72.7,77.4,,
Aerial,108493,24,Successful,27.3,22.6,,
Pass,108493,24,Unsuccessful,28.9,23.3,42.5,15.6
Pass,115726,26,Unsuccessful,55.8,92.1,68.9,81.2
Aerial,96182,26,Unsuccessful,70.2,79.0,,
Aerial,108493,24,Successful,29.8,21.0,,
Pass,108493,24,Successful,28.4,23.1,32.2,30.3
BallRecovery,243249,24,Successful,32.2,30.3,,
Pass,243249,24,Successful,32.2,30.3,20,37
Pass,123167,24,Successful,20.4,43.4,51.1,75.6
Pass,313545,24,Successful,49.7,75.6,46.5,83.2
Pass,337883,24,Successful,46.5,83.2,61.4,95.1
Pass,328362,24,Successful,68.6,72.4,70.5,47.9
Dispossessed,232261,24,Successful,76.6,46.7,,
Tackle,109915,26,Successful,23.4,53.3,,
BallTouch,109915,26,Unsuccessful,17.3,54.2,,
SavedShot,232261,24,Successful,86.8,46.6,,
Save,114147,26,Successful,4.3,52.0,,
Error,109915,26,Successful,15.2,60.5,,
Clearance,115726,26,Successful,8.6,58.4,8,100
Pass,260493,24,Successful,88.5,0.0,96.9,19.4
BallTouch,232261,24,Unsuccessful,90.4,6.7,,
Pass,115726,26,Successful,13.6,100.0,15.5,86.9
Pass,21683,26,Successful,14.9,87.1,11.7,95
Pass,115726,26,Successful,11.7,95.0,13.2,89.7
Pass,21683,26,Successful,13.1,89.7,19.9,95.1
Pass,115726,26,Successful,19.6,95.1,21.7,87.1
Pass,33568,26,Successful,19.7,88.1,14.7,84.7
Pass,21683,26,Successful,14.9,84.7,19.6,89
Pass,33568,26,Successful,19.3,89.4,13.8,88.4
Pass,21683,26,Unsuccessful,14.2,93.8,15.3,94.1
BlockedPass,318449,24,Successful,80.3,6.1,,
Pass,115726,26,Successful,15.0,100.0,14.3,62.6
Pass,29106,26,Successful,13.5,62.7,5.2,64.5
KeeperPickup,114147,26,Successful,5.2,64.5,,
Pass,114147,26,Successful,7.6,64.3,31.6,6.2
Pass,318871,26,Successful,41.5,4.6,61.4,3.4
Pass,108226,26,Successful,63.3,45.4,68,57.6
Pass,33568,26,Successful,68.0,63.4,65,66.4
Pass,108226,26,Successful,61.5,77.9,65.4,93.6
Pass,115726,26,Successful,65.0,94.8,60.5,80.5
Pass,33568,26,Successful,61.3,72.9,51.7,64.8
Pass,95408,26,Successful,50.8,61.1,48.4,25
Pass,29106,26,Successful,48.4,25.0,58.3,15.2
Pass,68659,26,Successful,54.0,17.0,42.6,41
Pass,95408,26,Successful,47.8,47.2,48.2,30.1
Pass,29106,26,Successful,47.4,29.5,57.2,6.2
Pass,68659,26,Successful,61.0,13.8,47,27.4
Pass,29106,26,Successful,47.1,28.6,80,2.8
Pass,318871,26,Unsuccessful,79.8,2.3,90.1,34.6
Clearance,123167,24,Successful,9.8,59.9,30.5,49.9
Pass,21683,26,Successful,67.3,58.8,52.5,59
Pass,95408,26,Successful,53.5,55.5,80.9,4.1
Pass,318871,26,Successful,86.0,7.9,73,14.7
Pass,68659,26,Unsuccessful,73.0,14.7,86.5,41.6
Clearance,243249,24,Successful,13.2,55.5,26,100
Pass,318871,26,Successful,76.7,0.0,76.1,10.1
Pass,68659,26,Successful,76.1,10.1,76.5,3.1
Pass,318871,26,Unsuccessful,75.5,3.1,78,4
BallTouch,313545,24,Successful,32.0,92.4,,
Pass,68659,26,Successful,82.7,4.9,76.7,9.4
