Event,Player,Team,Outcome,X,Y,endX,endY
Start,,162,Successful,0.0,0.0,,
Start,,26,Successful,0.0,0.0,,
Pass,20339,162,Successful,49.9,50.1,33.9,56.3
Pass,70493,162,Successful,34.1,57.8,33,45.4
Pass,33930,162,Successful,33.0,45.2,32.1,77.2
Pass,11981,162,Successful,31.1,78.2,14.9,50.7
Pass,33866,162,Unsuccessful,15.0,50.7,56.6,66.4
Aerial,67491,162,Unsuccessful,55.9,67.6,,
Aerial,29106,26,Successful,44.1,32.4,,
Pass,29106,26,Successful,44.8,31.2,53.4,26.2
BallRecovery,109915,26,Successful,53.5,27.0,,
Dispossessed,109915,26,Successful,54.2,27.8,,
Tackle,66741,162,Unsuccessful,45.8,72.2,,
Pass,109915,26,Successful,59.1,9.4,63,11.4
Pass,96182,26,Successful,62.7,14.0,63.3,24.6
Foul,109915,26,Successful,66.2,35.5,,
Foul,20339,162,Unsuccessful,33.8,64.5,,
Pass,318871,26,Successful,66.8,41.0,67.6,40.1
Pass,115726,26,Successful,67.6,40.1,67.6,41.2
Pass,318871,26,Unsuccessful,67.9,41.0,90,53.4
Clearance,66741,162,Successful,10.7,44.9,21.4,49.3
Aerial,29106,26,Unsuccessful,81.4,47.8,,
Aerial,20339,162,Successful,18.6,52.2,,
Clearance,20339,162,Successful,19.1,51.8,19.9,50.9
BallTouch,29106,26,Successful,83.3,44.9,,
Pass,115916,26,Unsuccessful,77.7,47.3,84.1,47.6
Clearance,66741,162,Successful,17.9,47.2,32.4,49.4
Aerial,67491,162,Successful,32.3,51.7,,
Aerial,68659,26,Unsuccessful,67.7,48.3,,
BallTouch,67491,162,Successful,32.4,49.4,,
Pass,29106,26,Successful,65.8,37.7,44.1,39.1
Pass,115726,26,Unsuccessful,40.7,41.2,75.2,68.4
Aerial,95408,26,Unsuccessful,76.2,71.5,,
Aerial,43105,162,Successful,23.8,28.5,,
BallTouch,43105,162,Successful,23.3,26.7,,
BallRecovery,66741,162,Successful,16.6,7.9,,
Pass,66741,162,Unsuccessful,16.6,7.7,67.9,7.9
Pass,115726,26,Successful,32.3,88.6,42.6,93.4
BallRecovery,84146,26,Successful,44.2,93.9,,
Pass,84146,26,Successful,43.3,92.9,32.7,86.5
Pass,115726,26,Successful,32.1,84.8,37.4,72.7
Pass,115916,26,Successful,29.1,67.8,26.6,37.4
Pass,29106,26,Successful,27.6,33.6,46.6,6.5
Pass,318871,26,Unsuccessful,76.0,6.4,84.7,25.6
Clearance,11981,162,Successful,14.1,73.6,21.6,84.7
Pass,318871,26,Successful,81.0,17.6,92.6,75
Pass,84146,26,Successful,85.8,76.6,75.3,81.8
Pass,115726,26,Successful,73.6,81.8,54.5,63
Pass,95408,26,Successful,54.5,58.7,55.3,31.6
Pass,29106,26,Successful,58.6,24.6,58.7,13.4
Pass,68659,26,Successful,58.0,18.5,46.3,56.6
Pass,95408,26,Successful,53.8,53.1,57.1,20.7
Pass,68659,26,Successful,59.3,18.0,64.6,4.1
Pass,318871,26,Unsuccessful,64.9,5.6,66.2,38.3
BallRecovery,66741,162,Successful,28.7,54.8,,
Pass,66741,162,Successful,28.7,54.8,39.8,63.4
Pass,67491,162,Successful,39.8,63.4,36.6,80.2
Pass,20339,162,Successful,36.6,80.2,40.4,91.4
Pass,78221,162,Unsuccessful,44.0,86.8,61.6,86.3
BallRecovery,29106,26,Successful,34.3,16.1,,
Pass,29106,26,Successful,33.9,16.2,39.6,18.9
Pass,115916,26,Successful,40.2,19.7,31.4,31
Pass,95408,26,Successful,31.1,34.9,29.9,72.9
Pass,115726,26,Successful,30.1,69.7,30.5,40
Pass,95408,26,Unsuccessful,32.8,38.8,79.3,54.3
KeeperSweeper,33866,162,Successful,0.0,0.0,,
Pass,33866,162,Successful,20.2,45.2,23.8,31.6
BallRecovery,43105,162,Successful,23.9,31.0,,
Pass,43105,162,Successful,23.9,31.0,21.9,40.6
Pass,33930,162,Unsuccessful,21.9,40.6,54.2,42.5
BallRecovery,95408,26,Successful,47.7,57.2,,
Pass,95408,26,Successful,46.9,55.4,46.4,41.5
Pass,29106,26,Successful,46.4,42.1,53.7,60.5
Pass,115916,26,Successful,57.7,66.7,62.6,92.9
Pass,115726,26,Unsuccessful,62.6,91.8,66,88.3
BallTouch,71522,162,Successful,35.4,14.0,,
Pass,115726,26,Successful,70.9,100.0,43.8,93.6
Pass,95408,26,Successful,42.9,79.0,45.4,43.7
Pass,29106,26,Successful,51.4,36.0,42.2,67
Pass,95408,26,Successful,42.2,67.0,53.3,57.3
Pass,115916,26,Successful,53.2,57.3,36.4,65.4
Pass,95408,26,Successful,37.0,65.4,41,36.6
Pass,29106,26,Unsuccessful,43.9,33.3,87.7,67.9
Clearance,43105,162,Successful,12.6,29.8,0,34.3
CornerAwarded,43105,162,Unsuccessful,0.0,25.8,,
CornerAwarded,29106,26,Successful,100.0,74.2,,
Pass,318871,26,Unsuccessful,99.5,99.5,95.6,60
Clearance,66741,162,Successful,3.0,40.7,47.4,24.3
Pass,84146,26,Successful,42.9,69.3,22,55.4
