Event,Player,Team,Outcome,X,Y,endX,endY
Start,,211,Successful,0.0,0.0,,
Start,,26,Successful,0.0,0.0,,
Pass,71824,211,Successful,50.0,50.0,32,60.5
Pass,86441,211,Successful,34.3,59.0,74.8,89.4
Pass,82277,211,Unsuccessful,76.4,91.7,95.7,100
Pass,318871,26,Successful,7.2,0.0,19.3,7.9
Pass,33568,26,Unsuccessful,20.5,8.8,30.5,12.8
Pass,86441,211,Unsuccessful,63.3,82.6,70.3,73.2
Pass,33568,26,Unsuccessful,27.6,24.4,30.8,26.4
BallRecovery,77429,211,Successful,70.7,69.4,,
Pass,77429,211,Unsuccessful,73.1,61.1,78.3,59.6
BallTouch,95408,26,Successful,24.5,47.3,,
BallRecovery,109915,26,Successful,26.6,59.7,,
Pass,109915,26,Successful,26.2,59.7,20.6,74.1
Pass,115726,26,Successful,20.9,72.7,18.1,61.7
Pass,95408,26,Successful,18.3,61.7,22.7,81.5
Pass,115726,26,Successful,38.0,92.0,45.6,89.3
Pass,96182,26,Successful,45.0,89.0,40.5,93.2
Pass,115726,26,Successful,42.5,90.6,60.8,8.2
Pass,108226,26,Successful,71.3,15.0,85.7,7.4
Pass,318871,26,Successful,86.7,5.0,90.2,19.7
Pass,84146,26,Unsuccessful,96.4,17.3,92.4,48.7
Clearance,109922,211,Successful,7.5,51.0,23.2,33.9
MissedShots,115726,26,Successful,75.0,63.4,,
Pass,81523,211,Successful,4.7,54.0,53.3,83.3
Aerial,68659,26,Unsuccessful,46.6,22.4,,
Aerial,82277,211,Successful,53.4,77.6,,
Pass,82277,211,Successful,54.6,83.7,54.3,82.4
BallTouch,303096,211,Successful,54.4,80.1,,
Pass,33568,26,Unsuccessful,46.0,33.6,53.9,54.9
Pass,91387,211,Successful,42.1,36.0,26.5,32.8
Pass,109922,211,Successful,39.3,21.5,42.8,4.7
Pass,91387,211,Unsuccessful,43.3,4.4,55.2,17.6
BallRecovery,115726,26,Successful,42.1,82.3,,
Pass,115726,26,Successful,42.8,82.4,53.9,80.5
Pass,96182,26,Unsuccessful,53.9,80.5,55.1,86
BallRecovery,91387,211,Successful,44.2,21.6,,
Pass,91387,211,Successful,43.3,11.1,46.3,21.3
Pass,77429,211,Unsuccessful,46.3,21.3,41.8,16.8
BallRecovery,115726,26,Successful,58.5,81.7,,
Pass,115726,26,Successful,58.7,81.7,69.6,91.2
Pass,109915,26,Unsuccessful,87.1,84.4,90.8,70.6
Clearance,109922,211,Successful,7.8,27.0,3.7,33.6
Clearance,109922,211,Successful,3.7,33.6,7.4,30.9
Aerial,109922,211,Unsuccessful,7.2,29.2,,
Aerial,115726,26,Successful,92.8,70.8,,
Pass,115726,26,Successful,94.6,68.0,89.6,61.4
Aerial,318153,211,Unsuccessful,15.0,36.2,,
Aerial,84146,26,Successful,85.0,63.8,,
Pass,84146,26,Unsuccessful,87.3,65.5,87.8,65.1
BallTouch,318153,211,Successful,17.4,37.9,,
Clearance,77429,211,Successful,13.2,35.5,25.9,54.6
Pass,68659,26,Successful,73.4,51.3,78.3,22.2
Pass,108226,26,Successful,79.4,26.2,73,27.7
Pass,68659,26,Unsuccessful,73.2,29.5,91.5,58.5
