Event,Player,Team,Outcome,X,Y,endX,endY
OffsideGiven,109915,26,Unsuccessful,80.4,86.2,,
Start,,26,Successful,0.0,0.0,,
Start,,27,Successful,0.0,0.0,,
Pass,33590,27,Successful,50.0,50.0,28.5,55.5
Pass,25241,27,Unsuccessful,36.2,55.9,79.2,0
Pass,4511,26,Successful,19.5,100.0,22.2,91.2
Pass,109915,26,Unsuccessful,22.4,90.6,23.9,91.8
Pass,116317,27,Successful,76.5,11.2,70.9,7.9
Pass,33590,27,Unsuccessful,68.7,7.0,79.9,14
Pass,4511,26,Unsuccessful,19.2,89.6,28,75.1
BallTouch,108638,27,Unsuccessful,65.5,29.1,,
Pass,96182,26,Successful,33.2,72.1,27.1,62.6
Pass,95408,26,Successful,27.6,63.6,35.3,27.3
Pass,318871,26,Successful,44.3,28.9,77.3,90
Pass,109915,26,Unsuccessful,86.2,82.0,86.4,75.3
Interception,322670,27,Successful,12.0,24.4,,
BallRecovery,322670,27,Successful,17.0,12.9,,
Pass,322670,27,Unsuccessful,18.9,10.7,22.6,8.5
BlockedPass,4511,26,Successful,75.1,86.9,,
OffsideProvoked,68393,27,Successful,17.8,18.8,,
OffsidePass,4511,26,Successful,75.1,86.9,80.4,86.2
Pass,11530,27,Unsuccessful,23.5,19.1,71.3,53.4
Aerial,25832,27,Unsuccessful,72.2,55.3,,
Aerial,136451,26,Successful,27.8,44.7,,
Pass,136451,26,Unsuccessful,28.6,38.0,34.5,38.5
Pass,108638,27,Unsuccessful,63.4,54.3,70.1,47.2
Pass,33568,26,Unsuccessful,29.0,47.2,36.7,54.2
Pass,33590,27,Unsuccessful,63.3,40.9,76.7,27.7
Aerial,322670,27,Unsuccessful,76.2,30.2,,
Aerial,4511,26,Successful,23.8,69.8,,
Pass,4511,26,Successful,23.6,67.2,33.4,76.9
BallTouch,109915,26,Successful,32.9,75.7,,
BallRecovery,96182,26,Successful,35.4,85.1,,
Pass,96182,26,Unsuccessful,36.6,86.0,37.2,87.7
BlockedPass,108638,27,Successful,63.3,9.8,,
Pass,33568,26,Successful,44.7,100.0,35.3,95.2
Pass,4511,26,Successful,29.9,90.2,36.4,23.3
Pass,318871,26,Successful,38.9,19.4,29.6,27.3
Pass,136451,26,Successful,31.0,31.6,26.2,59.4
Pass,95408,26,Successful,26.7,60.9,40.4,94.8
Pass,4511,26,Successful,48.0,86.8,37,69.3
Pass,95408,26,Successful,35.4,63.0,35.9,34.8
Pass,136451,26,Successful,40.9,31.2,39,8.5
Pass,318871,26,Unsuccessful,39.9,7.0,68.2,6.2
Clearance,25241,27,Successful,30.2,94.8,31.4,100
Pass,76304,26,Successful,65.2,0.0,75.3,6.2
Pass,108226,26,Successful,84.3,7.7,83.8,3.2
Pass,76304,26,Successful,80.2,3.5,68.1,2.9
Pass,318871,26,Successful,67.1,6.2,53.6,9.4
Pass,136451,26,Successful,55.5,7.0,65,3.2
Pass,76304,26,Successful,65.0,3.2,64.9,14.7
Pass,68659,26,Successful,64.9,14.9,70.5,10
Pass,108226,26,Successful,69.0,11.1,68,15.6
Dispossessed,68659,26,Successful,72.7,19.8,,
Tackle,25241,27,Successful,27.3,80.2,,
KeeperPickup,11530,27,Successful,3.2,74.4,,
Pass,11530,27,Successful,10.2,76.4,63.7,74.5
Aerial,136451,26,Unsuccessful,34.4,22.4,,
Aerial,25832,27,Successful,65.6,77.6,,
Pass,25832,27,Unsuccessful,63.7,74.5,87.5,75.3
Interception,318871,26,Successful,8.7,27.1,,
OffsideGiven,98317,27,Unsuccessful,59.4,79.1,,
Pass,98317,27,Unsuccessful,86.1,79.7,75.1,67.8
BallRecovery,96182,26,Successful,28.1,38.3,,
Pass,96182,26,Successful,29.3,37.3,38.5,49.1
Pass,33568,26,Successful,42.2,49.9,52.9,70
Pass,109915,26,Unsuccessful,68.7,76.3,96.3,37.1
KeeperPickup,11530,27,Successful,3.4,64.6,,
OffsidePass,11530,27,Successful,14.8,75.3,59.4,79.1
OffsideProvoked,95408,26,Successful,44.3,43.9,,
Pass,318871,26,Successful,33.8,2.7,26.9,22.5
Pass,136451,26,Successful,29.5,25.2,27.5,46.8
Pass,95408,26,Successful,30.6,53.4,37.5,66
Pass,33568,26,Successful,38.1,69.1,35.4,54.9
Pass,95408,26,Successful,42.9,53.4,46.7,72.1
Pass,33568,26,Successful,46.8,72.1,53.1,94.1
Pass,4511,26,Successful,52.0,94.5,32.9,80.5
Pass,95408,26,Successful,33.3,76.7,75.2,54.6
Pass,108226,26,Successful,75.9,56.5,76.2,53.4
TakeOn,109915,26,Unsuccessful,75.5,56.1,,
Tackle,68393,27,Successful,24.5,43.9,,
Pass,108638,27,Successful,26.3,43.7,27.6,39.1
BallRecovery,33590,27,Successful,27.0,37.3,,
Pass,33590,27,Successful,27.0,37.3,19.5,34.8
