Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,18,Successful,0.0,0.0,,
Pass,4511,26,Successful,50.1,49.7,39.4,85.4
Pass,115726,26,Successful,39.6,85.9,52.5,96
Pass,109915,26,Successful,52.1,95.9,59.4,93.6
Pass,96182,26,Successful,60.7,93.6,54.1,94.4
BallTouch,109915,26,Successful,53.6,94.1,,
Pass,115726,26,Successful,46.0,94.2,51.8,87.8
Dispossessed,109915,26,Successful,52.9,83.4,,
Tackle,90780,18,Successful,47.1,16.6,,
BallRecovery,105172,18,Successful,57.8,18.3,,
Pass,105172,18,Successful,57.8,18.3,62.7,33.3
Pass,86425,18,Successful,63.5,33.6,62.6,51.3
Pass,256419,18,Successful,63.6,56.0,65.8,83.5
Pass,22846,18,Successful,72.5,85.3,61.7,75.1
Pass,101859,18,Successful,61.7,75.1,42.9,52.7
Pass,37204,18,Unsuccessful,37.8,40.4,63.4,8.5
Aerial,323791,18,Unsuccessful,69.6,7.8,,
Aerial,115726,26,Successful,30.4,92.2,,
Pass,115726,26,Unsuccessful,23.7,92.7,30.8,92.4
Pass,105172,18,Unsuccessful,60.4,7.7,74.3,30.1
Interception,95408,26,Successful,26.5,75.9,,
BallTouch,109915,26,Unsuccessful,40.0,96.6,,
Pass,323791,18,Successful,54.3,0.0,54.6,11.4
BallTouch,101859,18,Unsuccessful,58.6,12.1,,
BallRecovery,4511,26,Successful,38.2,81.4,,
Pass,4511,26,Successful,35.6,85.7,45.7,89
Pass,84146,26,Successful,46.4,90.9,52.2,88.3
Pass,96182,26,Successful,58.0,82.4,55.3,79.4
Challenge,136742,18,Unsuccessful,37.6,29.1,,
TakeOn,84146,26,Successful,62.4,70.9,,
Pass,84146,26,Successful,72.4,49.6,82.1,26.4
Pass,318871,26,Successful,82.1,26.4,96.6,63.7
Pass,96182,26,Unsuccessful,96.6,63.7,96.1,50.3
OffsideGiven,323791,18,Unsuccessful,74.9,2.6,,
Clearance,87182,18,Successful,3.2,47.9,28.1,17.7
Pass,115726,26,Successful,62.0,75.4,53.7,66.4
Pass,95408,26,Successful,55.4,67.0,60.1,21.3
Pass,74341,26,Successful,68.8,7.7,70.2,3.5
Pass,318871,26,Unsuccessful,73.4,7.5,80.5,29.3
Pass,87182,18,Successful,22.3,73.0,31.6,90.8
BallRecovery,86425,18,Successful,31.7,90.8,,
