Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,30,Successful,0.0,0.0,,
Pass,84146,26,Successful,50.1,50.0,33.9,51.3
Pass,136451,26,Unsuccessful,35.0,52.4,73.6,87.1
Aerial,109915,26,Unsuccessful,73.4,85.4,,
Aerial,384063,30,Successful,26.6,14.6,,
Clearance,384063,30,Successful,24.7,15.9,27.2,0
Pass,115726,26,Successful,64.5,100.0,40.3,93.1
Pass,95408,26,Successful,38.9,93.6,56.1,98.3
Pass,115726,26,Successful,51.1,96.9,36.4,80
Pass,95408,26,Successful,36.9,74.8,34.3,49.1
Pass,136451,26,Successful,34.9,38.9,35.6,70.9
Pass,95408,26,Successful,35.6,70.9,45.3,71.4
Pass,33568,26,Successful,45.8,71.5,36,71.4
Pass,95408,26,Successful,35.6,67.0,35,35.8
Pass,68659,26,Successful,41.5,29.8,64,3.8
Pass,318871,26,Successful,66.0,3.7,71.9,23.4
Pass,108226,26,Successful,72.3,23.4,67.3,10.1
Pass,318871,26,Unsuccessful,69.4,13.7,91.7,39.1
KeeperPickup,104732,30,Successful,9.2,63.0,,
Pass,104732,30,Unsuccessful,15.0,60.2,71.7,63
Pass,95408,26,Unsuccessful,27.4,39.2,40,11.6
Pass,91909,30,Successful,60.7,85.0,88.8,85.9
TakeOn,131519,30,Unsuccessful,89.2,86.8,,
Tackle,136451,26,Successful,10.8,13.2,,
CornerAwarded,131519,30,Successful,95.2,85.2,,
CornerAwarded,136451,26,Unsuccessful,4.8,14.8,,
Pass,69344,30,Unsuccessful,99.5,99.5,96.3,56.1
Clearance,33568,26,Successful,3.3,43.9,4.4,60.8
Clearance,318871,26,Successful,4.4,60.8,14.7,77.8
BallTouch,143990,30,Unsuccessful,82.8,6.0,,
Dispossessed,108226,26,Successful,16.6,93.9,,
Tackle,143990,30,Successful,83.4,6.1,,
Pass,143990,30,Unsuccessful,82.7,13.8,86.9,36.7
Clearance,95408,26,Successful,13.0,65.1,45.9,42.1
Pass,24711,30,Unsuccessful,54.1,59.6,64.2,82.3
