Event,Player,Team,Outcome,X,Y,endX,endY
Start,,161,Successful,0.0,0.0,,
Start,,26,Successful,0.0,0.0,,
Pass,84146,26,Successful,50.0,50.0,34.5,55.4
Pass,136451,26,Unsuccessful,35.3,54.8,75.3,76
Pass,124106,161,Unsuccessful,19.9,27.7,36.7,10.4
Pass,115726,26,Unsuccessful,61.5,92.0,68.3,74.4
Pass,238244,161,Unsuccessful,25.5,31.8,32.7,36.4
Pass,68659,26,Successful,65.6,71.2,72.7,75.3
Pass,96182,26,Successful,69.4,76.4,65.6,91.7
Pass,109915,26,Successful,65.0,92.3,58.2,97.8
Pass,115726,26,Successful,58.1,95.6,45,75.9
Pass,95408,26,Successful,45.0,75.9,52.9,94.7
Pass,115726,26,Successful,62.7,92.0,64.8,96.6
Pass,109915,26,Successful,63.8,95.3,61,82.7
Pass,68659,26,Successful,61.0,82.7,60.4,95.4
Pass,115726,26,Successful,60.1,92.7,55.6,77.3
Pass,68659,26,Successful,53.5,75.1,44.3,41.8
Pass,136451,26,Successful,44.5,35.8,51,7.9
Pass,318871,26,Successful,59.1,13.4,62.2,92.9
Pass,115726,26,Successful,76.0,90.9,89.8,94.5
Pass,109915,26,Successful,88.1,92.1,85.5,81.5
Pass,96182,26,Successful,85.5,81.5,80.5,93.5
Pass,115726,26,Successful,77.3,91.2,59,66.3
Pass,95408,26,Successful,57.7,65.4,57.4,60.9
Pass,68659,26,Successful,56.1,57.9,52,27.7
Pass,136451,26,Unsuccessful,54.0,14.7,100,9.1
Pass,23089,161,Successful,4.7,48.7,37.6,5
Aerial,109915,26,Unsuccessful,60.2,94.9,,
Aerial,94042,161,Successful,39.8,5.1,,
Pass,94042,161,Unsuccessful,37.6,5.0,55,16.8
Pass,68659,26,Successful,46.0,77.2,55.5,92.7
BallRecovery,109915,26,Successful,55.8,93.0,,
Pass,109915,26,Successful,55.8,93.0,46.1,95.9
Pass,115726,26,Successful,47.0,95.1,56.5,72.7
Pass,96182,26,Successful,56.0,74.8,49.1,76.1
Pass,68659,26,Successful,49.4,71.3,41.5,34.9
Pass,318871,26,Successful,46.2,30.7,56,28.9
Pass,84146,26,Successful,56.0,28.6,52.8,16.1
Pass,318871,26,Unsuccessful,57.8,14.6,65.6,22.5
Pass,236519,161,Unsuccessful,30.0,76.6,45.3,84.8
Aerial,108186,161,Unsuccessful,46.8,84.6,,
Aerial,84146,26,Successful,53.2,15.4,,
