Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,29,Successful,0.0,0.0,,
Pass,8247,29,Successful,50.0,50.0,31.8,54.3
Pass,23547,29,Unsuccessful,31.7,55.1,71.4,39.5
Aerial,236544,29,Unsuccessful,69.7,38.6,,
Aerial,95408,26,Successful,30.3,61.4,,
Pass,95408,26,Successful,31.1,60.3,48.7,64
Pass,124688,26,Successful,48.5,64.0,49.1,68.4
Pass,96182,26,Successful,48.7,68.4,56.1,64.3
BallRecovery,124688,26,Successful,61.9,60.3,,
Pass,124688,26,Successful,67.3,54.3,95.9,2.3
Pass,108226,26,Successful,94.9,2.6,76.4,3.5
Pass,318871,26,Successful,77.2,5.5,87.1,62.7
BallTouch,33568,26,Successful,87.1,62.7,,
Pass,115726,26,Successful,78.4,93.0,67.9,91.2
Pass,95408,26,Successful,65.9,86.8,48.8,51.9
Pass,136451,26,Successful,47.8,43.3,56.9,10.4
Pass,318871,26,Successful,58.7,11.4,72.4,30.7
Pass,108226,26,Successful,71.4,30.7,72.2,34.9
Pass,96182,26,Successful,72.3,35.5,69.6,33.9
Dispossessed,108226,26,Successful,66.6,40.8,,
Tackle,8247,29,Successful,33.4,59.2,,
BallRecovery,8247,29,Successful,32.5,53.3,,
Pass,8247,29,Successful,32.5,53.3,29.9,46
Pass,332325,29,Successful,29.9,46.0,9.3,43.3
Pass,20973,29,Unsuccessful,9.3,43.3,55,48.7
Foul,236544,29,Unsuccessful,54.0,48.0,,
Foul,95408,26,Successful,46.0,52.0,,
Pass,95408,26,Successful,45.3,56.0,46.5,33.7
Pass,68659,26,Successful,47.7,33.3,56.1,6.4
Pass,318871,26,Successful,56.3,6.4,49.2,22.4
Pass,68659,26,Successful,49.2,22.8,41.8,48.2
Pass,136451,26,Successful,40.8,50.7,43.5,74.2
Pass,95408,26,Successful,43.3,73.8,42.8,33
Pass,68659,26,Successful,44.2,32.1,56.2,6.1
Pass,318871,26,Successful,56.6,8.8,47.3,23.9
Pass,68659,26,Successful,47.8,24.3,37.5,51.6
Pass,136451,26,Successful,39.4,37.9,45.7,4.7
Pass,318871,26,Unsuccessful,46.9,4.9,82.8,29.7
Pass,23547,29,Successful,19.6,72.1,31.1,79.1
BallRecovery,8247,29,Successful,31.1,79.1,,
Pass,8247,29,Successful,31.1,79.1,18,91.4
Pass,68049,29,Unsuccessful,17.9,91.4,36,91.1
BallRecovery,318871,26,Successful,64.1,14.6,,
Pass,318871,26,Successful,63.2,21.6,70.3,32.5
Challenge,8247,29,Unsuccessful,28.4,64.7,,
