Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,168,Successful,0.0,0.0,,
Pass,243510,26,Successful,50.0,50.0,34.8,60.2
Pass,136451,26,Unsuccessful,35.7,59.6,69.4,82.6
Pass,9342,168,Unsuccessful,30.5,13.1,38.2,26.8
Pass,33568,26,Successful,67.1,71.7,71.4,73.6
Pass,96182,26,Successful,72.4,56.6,71.4,34.6
MissedShots,318871,26,Successful,75.6,33.0,,
Pass,22319,168,Unsuccessful,5.3,40.3,49.3,60.6
Aerial,82917,168,Unsuccessful,49.6,60.2,,
Aerial,243510,26,Successful,50.4,39.8,,
Pass,243510,26,Unsuccessful,50.1,40.3,61.3,42.2
Pass,118303,168,Unsuccessful,36.6,57.5,52,41.3
Pass,33568,26,Unsuccessful,47.4,58.7,58,51.3
Pass,86593,168,Unsuccessful,43.9,54.9,87.2,81.7
BallRecovery,114147,26,Successful,12.8,18.6,,
Pass,114147,26,Successful,10.3,35.7,16.5,22.7
Pass,136451,26,Successful,24.9,14.9,25.2,2.9
Pass,318871,26,Unsuccessful,26.4,3.1,31,5.5
BallTouch,346738,168,Successful,63.5,95.3,,
Pass,243510,26,Unsuccessful,55.8,23.3,80.1,38
Pass,228569,168,Successful,21.8,64.8,7.3,59.7
KeeperPickup,22319,168,Successful,7.3,59.7,,
Pass,22319,168,Successful,12.7,44.9,13.6,28.3
Pass,228569,168,Successful,14.9,40.6,23.1,60.3
Pass,9342,168,Successful,21.2,61.8,9.9,76.3
Pass,86593,168,Successful,9.4,77.0,3,62.4
Pass,22319,168,Unsuccessful,3.4,64.2,37.6,82.1
Pass,68659,26,Unsuccessful,58.7,13.5,56.3,32.2
Pass,25028,168,Successful,41.5,69.1,41.6,72.9
Pass,115257,168,Successful,42.4,72.1,46.8,59.7
Pass,79533,168,Successful,46.8,59.7,44.9,61.5
Pass,115257,168,Successful,45.3,54.8,41.7,10.9
Pass,362103,168,Successful,41.3,12.5,31.7,30.7
Pass,228569,168,Successful,32.6,29.2,45,5.3
Pass,362103,168,Unsuccessful,35.0,2.3,61.6,7.4
Pass,95408,26,Unsuccessful,41.8,90.5,68.5,100
Pass,362103,168,Successful,35.3,0.0,38.9,2.9
Dispossessed,79533,168,Successful,35.2,3.8,,
Tackle,33568,26,Unsuccessful,64.8,96.2,,
Dispossessed,79533,168,Successful,36.0,7.2,,
Tackle,115726,26,Unsuccessful,64.0,92.8,,
Pass,82917,168,Successful,30.8,10.9,9.4,36.1
Pass,22319,168,Unsuccessful,9.4,36.1,42.5,0
Pass,115726,26,Successful,57.6,100.0,52,87.8
Pass,243510,26,Successful,45.5,78.1,36.2,41.6
Pass,136451,26,Successful,36.9,37.3,43.1,17
Pass,318871,26,Successful,41.5,24.1,35,69.9
Pass,95408,26,Successful,40.1,71.4,45.3,95.1
