Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,183,Successful,0.0,0.0,,
Pass,93160,183,Successful,49.9,49.7,33,50.4
Pass,133464,183,Unsuccessful,32.7,51.3,71.2,93.9
Pass,318871,26,Unsuccessful,25.0,6.4,32.2,0
Pass,69877,183,Successful,73.4,100.0,89.1,88.4
Pass,134115,183,Successful,89.1,87.5,84.5,89.1
Pass,145277,183,Successful,84.7,89.6,84,93.2
BallTouch,69877,183,Unsuccessful,84.0,93.2,,
TakeOn,84146,26,Successful,16.9,6.8,,
Challenge,69877,183,Unsuccessful,83.1,93.2,,
BallRecovery,84146,26,Successful,20.4,6.4,,
Challenge,145277,183,Unsuccessful,82.1,97.4,,
TakeOn,84146,26,Successful,17.9,2.6,,
Challenge,145277,183,Unsuccessful,74.6,93.3,,
TakeOn,84146,26,Successful,25.4,6.7,,
Pass,84146,26,Successful,27.2,1.9,46,1.7
Pass,96182,26,Unsuccessful,45.4,3.4,57.4,18.9
Pass,68662,183,Unsuccessful,39.7,81.5,60.9,76.1
Pass,95408,26,Unsuccessful,44.6,30.3,93.1,23.9
KeeperPickup,316858,183,Successful,4.9,75.1,,
Pass,316858,183,Successful,12.7,71.1,27.3,89.6
Pass,69877,183,Successful,27.9,91.5,37.6,95.9
Pass,69912,183,Unsuccessful,42.9,98.3,67,96.6
BallRecovery,136451,26,Successful,34.2,5.5,,
Pass,136451,26,Successful,34.0,5.5,9.5,37.4
Pass,73399,26,Successful,9.7,37.6,19.2,51
Pass,95408,26,Successful,21.5,46.4,26.3,25.2
Pass,136451,26,Successful,28.8,27.0,27.5,52.1
Pass,95408,26,Successful,30.2,55.8,35,31.2
Pass,136451,26,Successful,36.1,29.5,41.2,4.1
Pass,318871,26,Successful,42.2,4.3,38.2,17
Pass,136451,26,Successful,39.1,22.4,34.8,46.7
Pass,95408,26,Unsuccessful,36.1,49.9,80.7,100
Pass,231080,183,Unsuccessful,22.5,0.0,28.5,10.6
Foul,145277,183,Successful,30.6,10.1,,
Foul,115916,26,Unsuccessful,69.4,89.9,,
Pass,231080,183,Successful,31.7,12.9,22.2,23.1
Pass,68662,183,Successful,22.4,25.6,6.3,40.1
Pass,316858,183,Unsuccessful,6.4,40.3,63.3,62.7
Pass,136451,26,Unsuccessful,37.2,39.8,39.6,47.6
Pass,145277,183,Unsuccessful,60.3,52.4,65.2,63
BallRecovery,136451,26,Successful,34.0,36.3,,
Pass,136451,26,Unsuccessful,34.9,33.7,74,22.8
BallRecovery,122945,183,Successful,26.8,86.3,,
Pass,122945,183,Unsuccessful,23.6,92.0,42.2,95
Interception,84146,26,Successful,58.1,6.1,,
Pass,69877,183,Successful,31.5,100.0,35.1,94.2
Pass,136456,183,Successful,35.1,94.2,31.7,98.3
Pass,69877,183,Unsuccessful,33.3,94.7,59.3,85
Pass,136451,26,Unsuccessful,40.1,14.7,44.2,26.2
Aerial,33568,26,Unsuccessful,45.7,24.0,,
Aerial,145277,183,Successful,54.3,76.0,,
Pass,145277,183,Unsuccessful,53.5,79.1,76.2,96.5
BallRecovery,318871,26,Successful,24.8,5.3,,
Pass,318871,26,Successful,24.6,5.2,9.4,40.4
Pass,73399,26,Successful,9.4,40.4,16,56.1
Pass,95408,26,Successful,16.0,56.9,22.1,29.8
Pass,136451,26,Successful,26.4,33.9,26.2,60.9
Pass,95408,26,Successful,32.7,62.0,35.2,75
Pass,33568,26,Successful,34.3,75.4,33.7,62.4
Pass,95408,26,Successful,33.9,61.1,36.1,34.3
Pass,136451,26,Successful,46.5,31.3,42.9,62.1
Pass,95408,26,Successful,43.0,63.1,43.6,88.9
Pass,4511,26,Successful,42.3,88.6,39.7,69.3
Pass,95408,26,Successful,39.0,64.8,74.3,5.3
Pass,318871,26,Successful,74.5,5.5,67.9,8.2
Pass,84146,26,Successful,63.3,10.7,49.3,26.5
Pass,136451,26,Successful,49.2,26.5,42.9,58.1
Pass,95408,26,Successful,43.3,64.3,43.3,37.1
Pass,136451,26,Successful,42.2,33.3,43.6,8.9
Pass,84146,26,Successful,43.6,8.9,39.5,26.2
Pass,136451,26,Successful,40.9,30.0,38.5,66.6
Pass,95408,26,Successful,46.5,67.8,62.2,94.4
Pass,4511,26,Successful,62.3,94.5,57,92
Pass,33568,26,Successful,55.2,86.0,74.9,23.9
Pass,84146,26,Successful,75.7,24.6,85.4,10.4
