Event,Player,Team,Outcome,X,Y,endX,endY
Start,,13,Successful,0.0,0.0,,
Start,,26,Successful,0.0,0.0,,
Pass,68659,26,Successful,50.2,49.9,28.4,49.4
Pass,74341,26,Unsuccessful,28.4,49.4,61.9,100
Pass,255169,13,Successful,38.9,0.0,38.2,8.3
Pass,89401,13,Successful,38.2,8.3,34.4,1.4
Pass,255169,13,Successful,34.4,1.4,19,12.2
Pass,22210,13,Successful,19.0,12.2,4.7,34.3
Pass,92173,13,Successful,4.7,34.3,19.6,26.5
Pass,89401,13,Successful,19.6,26.5,8.5,4.6
Pass,22210,13,Successful,8.5,4.6,21.9,0.5
Pass,255169,13,Unsuccessful,18.0,2.5,29.2,7.3
Pass,115916,26,Successful,69.7,82.8,75.8,73.6
BallRecovery,68659,26,Successful,73.5,70.9,,
Pass,68659,26,Unsuccessful,75.3,72.0,75.6,71.7
BlockedPass,328983,13,Successful,23.9,30.4,,
BallRecovery,89401,13,Successful,26.3,34.9,,
Pass,89401,13,Unsuccessful,31.4,53.4,40.6,68.4
Pass,318871,26,Unsuccessful,54.2,29.5,75.9,31.2
Pass,23072,13,Unsuccessful,26.0,72.0,32.3,66
Pass,144890,13,Successful,30.9,75.8,29.1,87.3
Pass,342563,13,Successful,31.0,91.8,42.1,89.7
Pass,44120,13,Successful,42.1,89.7,39.4,96.9
BallTouch,342563,13,Unsuccessful,55.7,98.7,,
Pass,318871,26,Successful,42.3,0.0,25.1,9.5
Pass,74341,26,Successful,25.3,16.8,23.9,33.4
Pass,95408,26,Successful,24.9,31.9,33.2,5.8
Pass,318871,26,Successful,42.5,4.9,57,30.7
Pass,96182,26,Unsuccessful,60.8,34.9,61.3,35.7
BallTouch,328983,13,Successful,40.0,66.1,,
Pass,342563,13,Successful,35.8,90.3,43.4,84.2
BallRecovery,144890,13,Successful,43.4,84.2,,
Dispossessed,144890,13,Successful,47.6,90.2,,
Tackle,68659,26,Successful,52.4,9.8,,
BallRecovery,318871,26,Successful,43.7,12.2,,
Pass,318871,26,Successful,43.7,12.2,55.1,20.6
Pass,96182,26,Successful,55.0,21.0,40.6,28.8
Pass,74341,26,Successful,41.0,29.2,52.7,71.7
MissedShots,115726,26,Successful,75.5,75.3,,
Pass,92173,13,Successful,5.0,59.1,7.5,71.8
Pass,27586,13,Unsuccessful,5.2,66.7,46.5,37
Pass,95408,26,Successful,53.8,61.7,65.6,73.5
Pass,109915,26,Successful,65.6,73.5,57,95.1
Pass,115726,26,Successful,56.2,96.0,55,88.7
Pass,109915,26,Successful,47.2,86.3,52.3,75
Foul,115916,26,Successful,65.2,82.5,,
Foul,89401,13,Unsuccessful,34.8,17.5,,
Pass,115726,26,Unsuccessful,68.2,83.5,92,43.1
Clearance,27586,13,Successful,6.7,51.8,2.8,86.3
Pass,96182,26,Successful,96.2,13.8,79.9,12.9
Dispossessed,108226,26,Successful,77.5,13.0,,
Tackle,44120,13,Successful,22.5,87.0,,
BallRecovery,44120,13,Successful,21.5,98.0,,
Pass,44120,13,Successful,21.5,98.0,17.6,83.9
Pass,23072,13,Unsuccessful,23.5,94.4,24.8,93.6
BlockedPass,96182,26,Successful,75.4,4.3,,
Pass,23072,13,Successful,27.8,100.0,28.5,92.1
Pass,89401,13,Successful,31.9,91.6,32.3,97.4
Pass,23072,13,Unsuccessful,31.9,96.8,36.7,97.1
Pass,318871,26,Successful,60.6,3.5,62,3.4
Pass,68659,26,Unsuccessful,66.3,4.9,68.3,2.3
BallTouch,23072,13,Successful,34.3,98.7,,
Pass,318871,26,Successful,68.6,0.0,36.8,18.5
Pass,74341,26,Successful,38.1,19.2,43.5,82.4
Pass,115726,26,Successful,68.1,96.0,69.5,81.8
Pass,109915,26,Successful,68.8,79.4,60.6,66.1
Pass,115916,26,Successful,60.7,63.7,72.7,26.7
Pass,108226,26,Successful,74.7,28.3,87.2,42.4
Pass,68659,26,Unsuccessful,87.4,38.9,97.9,61.7
KeeperPickup,92173,13,Successful,3.1,27.3,,
Pass,92173,13,Successful,5.8,30.7,14.8,35.4
Pass,89401,13,Successful,14.8,35.4,3.5,39.4
