Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,31,Successful,0.0,0.0,,
Pass,68659,26,Successful,50.1,50.1,30.3,46
Pass,74341,26,Unsuccessful,29.7,44.8,75.4,100
Pass,31826,31,Successful,24.8,0.0,41.7,3.7
Aerial,141469,31,Successful,42.6,6.2,,
Aerial,4511,26,Unsuccessful,57.4,93.8,,
Pass,141469,31,Successful,41.7,3.7,46.4,3.1
Dispossessed,317804,31,Successful,45.3,4.5,,
Tackle,115916,26,Successful,54.7,95.5,,
BallRecovery,243510,26,Successful,60.6,93.8,,
Pass,243510,26,Unsuccessful,60.7,96.0,72.6,83.2
BallRecovery,107941,31,Successful,23.0,15.8,,
Pass,107941,31,Successful,19.9,14.1,4.2,43
Pass,110189,31,Successful,4.2,47.3,26.1,40
Pass,118123,31,Successful,27.0,33.9,34.5,5.5
TakeOn,136824,31,Successful,29.7,8.9,,
Challenge,4511,26,Unsuccessful,70.3,91.1,,
Pass,136824,31,Successful,28.9,10.0,29,1.4
TakeOn,31826,31,Unsuccessful,30.6,2.0,,
Tackle,109915,26,Successful,69.4,98.0,,
Pass,31826,31,Unsuccessful,30.3,0.0,44,3.5
Aerial,115916,26,Successful,54.8,95.4,,
Aerial,141469,31,Unsuccessful,45.2,4.6,,
Pass,115916,26,Successful,53.5,94.4,60,92.3
BallRecovery,109915,26,Successful,60.2,92.4,,
TakeOn,109915,26,Successful,63.0,93.1,,
Challenge,316077,31,Unsuccessful,37.0,6.9,,
TakeOn,109915,26,Successful,63.1,93.0,,
Challenge,31826,31,Unsuccessful,36.9,7.0,,
Pass,109915,26,Unsuccessful,69.1,98.0,73.1,96
BallTouch,107941,31,Successful,22.9,6.7,,
BallRecovery,31826,31,Successful,24.1,5.0,,
TakeOn,31826,31,Unsuccessful,26.4,2.6,,
Tackle,109915,26,Successful,73.6,97.4,,
Pass,31826,31,Successful,28.0,0.0,43.8,3.8
Pass,141469,31,Unsuccessful,45.3,3.6,53,6.9
Pass,115916,26,Successful,45.9,95.1,55.8,93
BallTouch,4511,26,Unsuccessful,55.8,93.0,,
Pass,141469,31,Unsuccessful,51.3,7.3,52.2,8.6
BlockedPass,115916,26,Successful,46.6,94.2,,
Pass,136824,31,Successful,44.0,12.9,28,50.4
Pass,297544,31,Successful,28.0,50.4,11.1,58.4
KeeperPickup,110189,31,Successful,11.1,58.4,,
Pass,110189,31,Successful,12.3,60.3,14.4,37.7
Pass,107941,31,Successful,14.4,37.7,28.3,30.1
Pass,316077,31,Successful,28.3,30.1,24.5,7.3
Pass,31826,31,Unsuccessful,25.1,3.8,65.5,14.3
Aerial,95408,26,Successful,32.8,86.2,,
Aerial,317804,31,Unsuccessful,67.2,13.8,,
BallTouch,95408,26,Successful,27.5,87.7,,
Foul,,26,Successful,33.2,80.6,,
Foul,141469,31,Unsuccessful,66.8,19.4,,
Pass,68659,26,Successful,26.9,68.8,36,16.8
Pass,318871,26,Successful,44.1,11.7,61.4,17.7
TakeOn,262838,26,Unsuccessful,66.4,21.9,,
Tackle,297544,31,Successful,33.6,78.1,,
BallRecovery,297544,31,Successful,28.4,73.3,,
Pass,297544,31,Successful,28.0,73.6,32,86
Pass,349669,31,Successful,32.0,86.0,20.5,81.7
Pass,89925,31,Successful,20.5,81.7,36.6,72.4
Pass,118123,31,Successful,36.6,72.4,24.8,81.2
Pass,89925,31,Successful,24.8,81.2,3.4,49.9
Pass,110189,31,Unsuccessful,7.0,54.6,85,67
KeeperPickup,114147,26,Successful,13.2,28.8,,
Pass,114147,26,Successful,13.1,40.7,23.5,59.9
Pass,95408,26,Successful,23.3,61.4,24.5,25.3
Pass,74341,26,Successful,44.8,28.6,46.7,58.1
Pass,243510,26,Successful,63.4,51.0,72.5,8.6
Clearance,349669,31,Successful,26.4,89.9,26.4,89.9
Pass,318871,26,Unsuccessful,78.6,7.3,81.3,10
KeeperPickup,110189,31,Successful,2.2,50.1,,
Pass,110189,31,Unsuccessful,15.0,46.6,55.1,40.6
Pass,115916,26,Unsuccessful,43.4,54.8,62.7,35.8
Aerial,89925,31,Successful,38.7,64.4,,
Aerial,262838,26,Unsuccessful,61.3,35.6,,
Pass,89925,31,Unsuccessful,40.1,64.5,55.2,53.9
Pass,115916,26,Unsuccessful,44.0,44.8,29,38.3
SavedShot,317804,31,Successful,95.2,67.3,,
Save,114147,26,Successful,1.0,45.2,,
BallRecovery,4511,26,Successful,1.2,94.1,,
Pass,4511,26,Successful,1.2,94.1,23.8,97.1
BallTouch,109915,26,Unsuccessful,23.8,97.1,,
Pass,31826,31,Successful,65.5,0.0,62.5,12
Pass,118123,31,Successful,61.8,15.2,60.4,67.9
Pass,89925,31,Successful,61.3,72.3,70.8,72.4
Pass,349669,31,Unsuccessful,73.6,84.8,89.9,81.1
BallRecovery,68659,26,Successful,9.6,13.7,,
Pass,68659,26,Unsuccessful,5.2,11.4,7.2,10.3
BlockedPass,89925,31,Successful,94.3,85.7,,
Pass,114147,26,Successful,5.4,48.8,52.8,65.8
Foul,109915,26,Successful,52.5,65.0,,
Foul,316077,31,Unsuccessful,47.5,35.0,,
Pass,95408,26,Successful,46.2,64.5,44.7,40.4
Pass,74341,26,Successful,45.6,37.9,67.7,47.8
Pass,96182,26,Unsuccessful,67.7,47.8,71,56
BallRecovery,31826,31,Successful,24.0,24.3,,
Pass,31826,31,Successful,24.0,24.3,32,18.8
Pass,136824,31,Successful,32.9,19.2,44.1,13.5
Foul,141469,31,Successful,54.0,10.4,,
Foul,115916,26,Unsuccessful,46.0,89.6,,
Pass,31826,31,Successful,53.8,7.5,52.8,29.7
Pass,316077,31,Successful,54.7,22.9,35,44.3
Pass,297544,31,Successful,37.9,53.2,52,92.3
Pass,89925,31,Unsuccessful,51.6,88.8,67.5,79.1
Pass,74341,26,Unsuccessful,31.2,17.8,34.9,16.1
BallTouch,349669,31,Successful,69.9,87.4,,
BallRecovery,74341,26,Successful,22.1,10.7,,
Pass,74341,26,Successful,22.1,10.7,25.5,14.9
Pass,68659,26,Successful,25.5,14.9,27.9,3.4
Pass,318871,26,Unsuccessful,29.8,2.0,64.3,26.8
BallRecovery,107941,31,Successful,27.5,54.9,,
Pass,107941,31,Unsuccessful,26.9,55.4,28.5,52.8
Interception,96182,26,Successful,74.6,23.7,,
Pass,110189,31,Successful,3.8,51.0,9.8,50.1
Pass,107941,31,Successful,10.1,50.9,6.1,68.5
Pass,297544,31,Unsuccessful,6.1,68.5,21.5,69.3
Interception,68659,26,Successful,80.1,30.6,,
BallTouch,118123,31,Successful,19.9,69.4,,
Pass,89925,31,Successful,10.0,95.9,43.8,94.7
BallTouch,349669,31,Unsuccessful,43.8,94.7,,
Pass,74341,26,Successful,52.6,10.4,65.2,30.1
BallRecovery,74341,26,Successful,52.6,10.4,,
Pass,115916,26,Unsuccessful,67.3,31.2,77.7,40.6
Pass,107941,31,Successful,24.7,56.0,46.1,55.7
