Event,Player,Team,Outcome,X,Y,endX,endY
Start,,167,Successful,0.0,0.0,,
Start,,26,Successful,0.0,0.0,,
Pass,68659,26,Successful,50.0,50.0,33.9,54.3
Pass,136451,26,Unsuccessful,33.2,55.4,74.7,80.7
Aerial,368091,167,Successful,24.0,17.2,,
Aerial,96182,26,Unsuccessful,76.0,82.8,,
Pass,368091,167,Unsuccessful,22.7,15.2,25.2,14.1
BallTouch,96182,26,Successful,74.7,80.7,,
Pass,303139,167,Successful,31.9,15.6,74.6,12.2
BallRecovery,279379,167,Successful,76.5,14.4,,
BallTouch,279379,167,Unsuccessful,83.3,16.4,,
BallRecovery,95408,26,Successful,10.9,90.2,,
Pass,95408,26,Unsuccessful,10.2,92.1,48.2,92
BallRecovery,368091,167,Successful,37.0,13.1,,
Pass,368091,167,Successful,33.7,14.3,17.7,38
Pass,121774,167,Successful,17.8,39.4,21.5,18.3
Pass,368091,167,Successful,21.7,18.2,26.6,4.7
Pass,69778,167,Successful,27.6,4.4,16,13.8
Pass,368091,167,Successful,15.8,9.5,4.8,34.5
Pass,121774,167,Successful,4.2,44.2,5.2,60
Pass,122117,167,Successful,6.2,61.2,20.3,35.1
Pass,77464,167,Successful,22.5,35.5,23.1,18.2
Pass,368091,167,Unsuccessful,25.3,14.1,41.9,29.1
Interception,68659,26,Successful,57.6,68.3,,
Pass,68659,26,Successful,61.3,72.3,63.6,89.7
BallRecovery,115726,26,Successful,63.0,89.0,,
Pass,115726,26,Successful,63.0,89.0,68.3,78.8
Pass,33568,26,Unsuccessful,68.3,78.8,71,83.1
BallRecovery,69778,167,Successful,28.7,19.7,,
Pass,69778,167,Successful,28.1,20.6,36,49.7
TakeOn,303139,167,Unsuccessful,33.7,50.4,,
BallRecovery,115916,26,Successful,63.0,65.6,,
Challenge,303139,167,Unsuccessful,35.7,39.5,,
TakeOn,115916,26,Successful,64.3,60.5,,
Pass,115916,26,Successful,63.0,65.6,64.6,53.1
Pass,68659,26,Unsuccessful,64.8,52.7,76.7,60.8
Pass,368091,167,Successful,21.6,34.6,27,37.7
Pass,77464,167,Successful,26.2,36.1,23.5,11.2
BallRecovery,77464,167,Successful,27.0,37.7,,
OffsideGiven,279379,167,Unsuccessful,66.7,64.0,,
Pass,69778,167,Successful,23.5,8.5,10.8,22.5
Pass,368091,167,Successful,9.5,24.6,4.4,45.4
Pass,121774,167,Successful,4.3,48.5,18.8,50.5
Pass,303139,167,Successful,24.7,68.1,15.1,76.6
Pass,122117,167,Successful,20.9,65.1,18.5,27.1
Pass,368091,167,Successful,21.1,24.6,8.1,46.9
Pass,121774,167,Successful,9.2,48.7,14.1,63.6
Pass,122117,167,Successful,22.8,69.1,3.1,49
Pass,121774,167,Successful,4.2,49.0,9,15.5
Pass,368091,167,Unsuccessful,9.6,12.8,10.9,10.6
BlockedPass,109915,26,Successful,87.7,90.5,,
Pass,109915,26,Successful,87.7,90.5,82.2,92.9
BallTouch,115726,26,Unsuccessful,82.7,92.6,,
Pass,368091,167,Successful,12.7,12.8,13.8,13.5
BallTouch,77464,167,Successful,14.2,14.1,,
BallRecovery,109915,26,Successful,87.1,91.6,,
Pass,109915,26,Unsuccessful,86.5,90.9,96,54.6
KeeperPickup,121774,167,Successful,4.1,49.3,,
Pass,121774,167,Successful,5.1,48.8,19.8,86.9
Pass,105962,167,Successful,30.2,89.2,34.9,74
Pass,303139,167,Successful,40.7,77.7,47.2,94.4
OffsideProvoked,318871,26,Successful,37.6,17.8,,
OffsidePass,105962,167,Successful,46.9,94.8,66.7,64
Pass,95408,26,Unsuccessful,29.6,53.0,67.2,5.6
BallTouch,97692,167,Successful,22.1,95.1,,
Pass,105962,167,Unsuccessful,15.0,84.7,27.6,91.3
Pass,68659,26,Successful,69.7,1.4,63.4,6.4
Pass,115916,26,Unsuccessful,62.6,6.1,65.2,3.2
Interception,303139,167,Successful,35.6,94.7,,
Pass,115916,26,Successful,56.1,3.2,37.1,5
Pass,136451,26,Successful,36.5,5.2,16.8,31.7
Pass,114147,26,Successful,16.8,31.7,23.2,6.8
Pass,136451,26,Successful,24.4,13.6,26.4,28.7
Pass,33568,26,Successful,33.8,59.4,42.2,93.1
Pass,115726,26,Successful,40.6,92.3,32.9,61.6
Pass,95408,26,Successful,32.4,58.1,72.1,54.3
SavedShot,108226,26,Successful,78.1,56.7,,
Save,121774,167,Successful,11.8,46.9,,
BallTouch,105962,167,Unsuccessful,11.7,53.7,,
Error,105962,167,Successful,14.6,55.8,,
SavedShot,96182,26,Successful,90.3,35.9,,
Save,121774,167,Successful,3.6,54.5,,
KeeperPickup,121774,167,Successful,13.0,48.5,,
Pass,121774,167,Successful,13.1,50.7,17.2,74.2
Pass,122117,167,Successful,15.1,71.9,27.9,69.3
Pass,303139,167,Successful,27.3,68.9,29.7,89.9
Pass,105962,167,Successful,32.5,95.7,21.4,74.1
Pass,122117,167,Successful,27.6,64.0,13.4,48.8
Pass,121774,167,Successful,13.4,48.8,24.5,20
Pass,368091,167,Successful,32.3,18.3,39.4,5.5
Pass,69778,167,Successful,38.3,17.4,18.9,74.5
Pass,122117,167,Unsuccessful,18.9,74.5,20.5,79.1
BallTouch,108226,26,Successful,77.3,19.0,,
Pass,105962,167,Successful,34.4,94.8,35.6,83.6
Pass,303139,167,Successful,38.6,75.3,72.1,53.3
Pass,331254,167,Unsuccessful,70.4,51.5,75.2,55.3
Pass,95408,26,Successful,21.5,43.5,3.8,54.6
BallRecovery,114147,26,Successful,2.5,65.0,,
Pass,114147,26,Successful,2.5,65.7,19.8,84
Pass,115726,26,Successful,36.4,87.2,49,96.2
Pass,109915,26,Successful,47.9,96.0,39.6,80.1
Pass,33568,26,Successful,39.5,80.1,42.1,97.8
Pass,115726,26,Unsuccessful,44.6,98.3,54.4,33.8
BallRecovery,105962,167,Successful,45.7,71.7,,
Pass,105962,167,Successful,46.6,65.3,35.6,58.8
Pass,122117,167,Successful,36.2,57.1,44.9,50.3
Pass,303139,167,Successful,44.3,52.5,38,58.5
Pass,122117,167,Successful,39.2,61.8,54.5,76.4
Pass,73084,167,Successful,54.5,76.4,53.3,98.1
Pass,105962,167,Successful,56.8,95.7,39.6,77.3
Pass,122117,167,Successful,40.9,77.5,45.9,76.7
Pass,303139,167,Successful,44.4,77.2,36.8,39.5
Pass,368091,167,Successful,36.8,39.8,42.9,33.9
Pass,77464,167,Successful,38.5,34.6,32.9,28.8
Pass,368091,167,Successful,32.9,28.8,16.9,44.6
Pass,121774,167,Successful,16.5,46.7,20.8,67.6
Pass,122117,167,Successful,20.8,67.6,26.4,62.6
Pass,303139,167,Successful,26.4,62.6,12.4,46.7
Pass,121774,167,Successful,14.0,45.1,15,17.4
Pass,368091,167,Successful,24.8,18.5,27.9,43.4
Pass,303139,167,Successful,30.3,46.7,47.7,96.2
Pass,105962,167,Successful,62.9,89.1,72.5,68.4
BallTouch,97692,167,Unsuccessful,74.1,69.0,,
Pass,136451,26,Successful,20.8,27.8,27.6,29.9
BallRecovery,68659,26,Successful,27.6,29.9,,
Pass,68659,26,Successful,27.6,29.9,26.7,38.3
Pass,115916,26,Successful,26.7,38.3,24.1,35.6
Pass,95408,26,Successful,24.1,35.6,27.5,29.3
Pass,68659,26,Successful,27.4,27.1,43.5,24.4
Pass,108226,26,Unsuccessful,44.8,29.5,83.7,63
BallRecovery,121774,167,Successful,14.2,33.1,,
Pass,121774,167,Successful,16.2,33.7,29.4,70.3
Pass,122117,167,Successful,33.9,73.8,51.6,80.3
Pass,73084,167,Successful,52.8,82.9,61.5,97.7
Pass,105962,167,Successful,62.0,95.1,70.5,61.2
Pass,279379,167,Unsuccessful,70.4,60.2,67,72.4
Pass,279379,167,Unsuccessful,63.7,61.5,63.2,64.9
Pass,68659,26,Successful,29.3,25.0,32.4,26.5
TakeOn,96182,26,Successful,35.4,32.6,,
Challenge,303139,167,Unsuccessful,64.6,67.4,,
Pass,96182,26,Successful,29.7,27.2,29.3,11.8
BallRecovery,96182,26,Successful,29.7,27.2,,
Pass,318871,26,Successful,36.0,17.4,94.9,87.6
Pass,109915,26,Successful,92.3,85.4,82.6,91.1
Pass,115726,26,Successful,81.7,90.6,75.8,76.2
Pass,33568,26,Successful,74.6,77.7,78.7,95.3
Foul,109915,26,Successful,69.4,89.5,,
Foul,331254,167,Unsuccessful,30.6,10.5,,
Pass,115916,26,Successful,60.4,72.3,50.3,69.3
Pass,95408,26,Successful,50.0,73.8,55.2,91.9
Pass,115726,26,Successful,57.4,93.1,50.7,73.8
Pass,95408,26,Successful,42.2,64.4,46.1,30.2
