Event,Player,Team,Outcome,X,Y,endX,endY
Start,,184,Successful,0.0,0.0,,
Start,,26,Successful,0.0,0.0,,
Pass,108226,26,Successful,50.0,50.0,34.7,45.7
Pass,136451,26,Unsuccessful,34.4,45.4,58.2,86.9
Pass,24148,184,Unsuccessful,37.5,11.6,56.4,0
Pass,115726,26,Successful,41.8,100.0,23.7,70.5
Pass,136451,26,Successful,20.8,65.2,7.4,53
Pass,114147,26,Successful,7.4,53.0,18.7,84.4
Pass,95408,26,Successful,19.6,86.5,23.6,96.8
Pass,115726,26,Successful,24.6,95.6,18.4,53.3
Pass,136451,26,Unsuccessful,33.3,42.8,78.4,71.7
Pass,18181,184,Successful,19.4,27.0,11.5,32.2
KeeperPickup,105720,184,Successful,11.0,31.2,,
Pass,105720,184,Unsuccessful,17.9,54.5,84.9,74.1
KeeperPickup,114147,26,Successful,12.5,25.9,,
Pass,114147,26,Successful,12.5,38.4,15.7,66.6
Pass,95408,26,Successful,20.8,65.8,24,30.6
Pass,136451,26,Successful,24.5,28.6,28.5,8.6
Pass,355354,26,Successful,29.2,8.3,25.2,21.5
Pass,136451,26,Successful,25.6,24.6,30.1,10.6
Pass,355354,26,Successful,32.5,13.7,40,23.5
Pass,115916,26,Successful,39.3,22.7,41.3,2.7
Pass,386969,26,Successful,36.5,5.2,14.2,28.6
Pass,136451,26,Successful,13.6,29.8,6.4,48.5
Pass,114147,26,Successful,6.4,48.5,23.3,48.5
Pass,355354,26,Successful,23.3,48.5,13.9,34.8
Pass,136451,26,Successful,13.0,30.9,22.9,2.8
Pass,386969,26,Unsuccessful,23.1,2.8,77.5,16.1
BallRecovery,131464,184,Successful,20.4,81.2,,
Pass,131464,184,Successful,20.4,81.2,7.4,72.1
Pass,105720,184,Unsuccessful,7.5,72.7,52.8,77
Aerial,136451,26,Successful,46.6,21.8,,
Aerial,73380,184,Unsuccessful,53.4,78.2,,
Pass,136451,26,Unsuccessful,45.0,18.8,55.6,35.8
Pass,79050,184,Successful,42.2,64.3,61.9,96.3
Pass,73380,184,Successful,61.9,96.3,55.7,97.5
Pass,357427,184,Successful,42.2,96.5,36.4,96.2
Pass,107462,184,Unsuccessful,35.8,96.2,66.7,95.6
BallRecovery,136451,26,Successful,32.4,5.5,,
Pass,136451,26,Successful,32.4,5.5,54,10.6
Pass,96182,26,Successful,54.0,10.6,45.9,29.1
Challenge,138929,184,Unsuccessful,38.6,78.4,,
TakeOn,33568,26,Successful,61.4,21.6,,
