Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,15,Successful,0.0,0.0,,
Pass,24444,15,Successful,50.2,49.7,39.3,57.8
Pass,93894,15,Successful,37.0,54.6,33.8,22.5
Pass,25931,15,Successful,35.6,22.9,21.9,44.1
Pass,106086,15,Successful,23.3,52.1,29.8,56
Pass,93894,15,Unsuccessful,29.5,59.0,37,36.1
BallRecovery,243510,26,Successful,61.8,61.8,,
Pass,243510,26,Successful,61.8,61.8,63.6,45.4
Pass,33568,26,Successful,64.1,44.8,74,25.7
Pass,108226,26,Unsuccessful,75.5,25.3,88,45.8
Clearance,106086,15,Successful,12.2,51.3,14.7,42.7
Pass,106968,15,Successful,14.5,46.8,25.4,21.7
Pass,29463,15,Successful,30.4,11.9,19.9,11.4
Pass,361330,15,Unsuccessful,17.7,13.9,31.9,23.3
Pass,115916,26,Unsuccessful,68.6,69.3,69.2,57.6
Pass,93894,15,Unsuccessful,27.9,43.5,36.6,63.7
Pass,318871,26,Unsuccessful,60.7,37.7,72.2,34.7
BallRecovery,104010,15,Successful,24.6,60.0,,
Pass,104010,15,Successful,25.6,63.1,53.4,57.3
BallTouch,24444,15,Successful,54.8,57.1,,
Pass,33568,26,Successful,51.2,42.4,54,42.1
BallRecovery,96182,26,Successful,53.8,44.5,,
Pass,96182,26,Unsuccessful,53.8,44.5,55.3,59
BallRecovery,29463,15,Successful,42.4,37.6,,
Challenge,243510,26,Unsuccessful,59.1,60.2,,
TakeOn,29463,15,Successful,40.9,39.8,,
Pass,29463,15,Successful,35.6,38.5,10.2,37.1
Pass,113880,15,Successful,9.9,30.9,12.4,19.4
Pass,25931,15,Successful,14.7,17.1,23.9,4.9
Pass,361330,15,Successful,21.2,5.0,14.7,8.5
Pass,25931,15,Unsuccessful,14.7,8.6,55,5.6
Pass,95408,26,Successful,42.7,98.1,56.1,88.2
Pass,243510,26,Unsuccessful,56.2,88.2,59.5,100
Pass,25931,15,Unsuccessful,43.0,0.0,54.6,21.8
Pass,115916,26,Successful,41.2,77.1,52.4,59.3
Pass,108226,26,Successful,52.4,59.3,61.3,64.5
BallRecovery,109915,26,Successful,62.5,69.2,,
BallTouch,109915,26,Unsuccessful,61.5,65.3,,
BallRecovery,25931,15,Successful,27.0,32.8,,
Pass,25931,15,Successful,26.7,33.4,8.4,54
Pass,113880,15,Successful,8.6,54.2,20.7,95.7
Pass,84008,15,Unsuccessful,21.6,89.6,45.9,55.2
Aerial,95408,26,Successful,52.9,42.8,,
Aerial,24444,15,Unsuccessful,47.1,57.2,,
Pass,95408,26,Unsuccessful,51.6,40.7,55.8,24.1
Pass,343346,15,Successful,46.5,91.7,38.4,96.9
Pass,84008,15,Successful,34.3,92.9,28.9,70.2
Pass,106968,15,Successful,27.8,58.2,52,7.7
TakeOn,361330,15,Unsuccessful,40.2,11.6,,
Tackle,243510,26,Unsuccessful,59.8,88.4,,
BallTouch,361330,15,Successful,39.9,12.8,,
