Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,23,Successful,0.0,0.0,,
Pass,4511,26,Successful,49.9,49.9,32.1,51.2
Pass,136451,26,Unsuccessful,33.5,48.0,72.1,75.2
Aerial,124688,26,Successful,72.3,78.8,,
Aerial,109227,23,Unsuccessful,27.7,21.2,,
BallTouch,124688,26,Successful,74.4,73.8,,
BallRecovery,40027,23,Successful,26.0,23.6,,
Pass,40027,23,Successful,31.3,24.2,15.1,8.9
Pass,114323,23,Successful,16.9,6.9,46.4,31
BallTouch,135891,23,Unsuccessful,47.1,32.1,,
BallTouch,95408,26,Successful,55.8,64.3,,
Foul,135891,23,Successful,50.2,43.0,,
Foul,95408,26,Unsuccessful,49.8,57.0,,
Pass,40027,23,Successful,53.0,42.1,74.8,60.4
Goal,118326,23,Successful,87.3,59.8,,
Pass,4511,26,Successful,50.1,50.0,36.2,78.2
Pass,115726,26,Successful,39.3,83.5,33.5,53.8
Pass,136451,26,Successful,34.2,44.1,39.7,9.3
Pass,386969,26,Successful,37.6,28.2,25.2,34.6
Pass,136451,26,Successful,25.4,38.2,32.5,76.1
Pass,95408,26,Successful,33.6,77.5,41.5,95
Pass,115726,26,Successful,44.2,95.0,26.8,79.3
Pass,95408,26,Successful,22.5,74.4,22.7,32.8
Pass,136451,26,Successful,25.0,29.8,35.7,3.4
Pass,386969,26,Unsuccessful,36.5,3.1,76.8,34.5
Pass,44847,23,Successful,22.2,66.2,25.2,94.6
Pass,68648,23,Unsuccessful,24.2,95.2,19.2,100
Pass,386969,26,Successful,77.2,0.0,72.5,14.9
Pass,243510,26,Successful,70.5,15.3,72.5,1.5
Pass,386969,26,Successful,66.8,6.4,59,33.2
Foul,4511,26,Successful,58.6,34.2,,
Foul,40027,23,Unsuccessful,41.4,65.8,,
Pass,95408,26,Successful,53.3,41.3,53.1,69.4
Pass,115726,26,Successful,52.3,67.2,57.7,64.7
Pass,262838,26,Successful,57.8,66.4,51.2,73.2
Pass,115726,26,Successful,47.4,64.9,42.2,31.8
Pass,136451,26,Successful,42.2,22.9,54.4,8.3
Pass,4511,26,Successful,53.7,5.2,64.8,11.6
Dispossessed,84146,26,Successful,66.2,10.8,,
Tackle,24711,23,Successful,33.8,89.2,,
BallRecovery,303924,23,Successful,42.1,96.2,,
Pass,303924,23,Successful,40.2,96.2,46.7,92.5
Pass,135891,23,Successful,47.4,91.7,49.4,75.9
Pass,118326,23,Successful,51.3,74.7,44.8,82
OffsideGiven,303924,23,Unsuccessful,61.1,98.1,,
OffsidePass,137521,23,Successful,45.0,85.5,61.1,98.1
OffsideProvoked,386969,26,Successful,34.5,12.2,,
Pass,386969,26,Successful,44.3,4.4,31.1,17.3
Pass,136451,26,Successful,29.8,16.5,38,22.5
Pass,33568,26,Successful,40.6,27.7,48.7,33.1
Pass,243510,26,Successful,61.4,41.5,68.7,61
Pass,262838,26,Successful,67.4,59.2,56,67.6
Pass,4511,26,Successful,55.6,64.5,62.3,5.6
Pass,386969,26,Successful,61.8,5.2,50,22.3
Pass,136451,26,Successful,51.1,22.9,53.3,96.9
Pass,115726,26,Successful,50.0,91.5,43.2,85.3
Pass,4511,26,Successful,43.3,79.8,48.7,94.6
Pass,115726,26,Successful,45.9,88.0,35.8,61
Pass,95408,26,Successful,35.6,53.2,40.9,25.6
Pass,136451,26,Successful,45.6,21.1,56.8,3.4
Pass,386969,26,Successful,54.8,24.6,38.6,40.8
Pass,95408,26,Successful,39.5,40.6,46.3,66.6
Pass,4511,26,Successful,51.5,70.5,62.3,85.3
Pass,262838,26,Successful,64.4,85.9,63,97.1
Pass,115726,26,Successful,59.8,88.6,60.1,67
Pass,33568,26,Unsuccessful,60.7,66.9,71.5,23.1
Aerial,68648,23,Successful,28.6,77.0,,
Aerial,386969,26,Unsuccessful,71.4,23.0,,
Pass,68648,23,Unsuccessful,27.3,76.3,40.9,71.5
Pass,136451,26,Successful,60.7,25.0,53.6,41.6
Pass,4511,26,Successful,54.1,42.4,56,87.7
