Event,Player,Team,Outcome,X,Y,endX,endY
OffsideGiven,106981,14,Unsuccessful,66.6,82.6,,
Start,,26,Successful,0.0,0.0,,
Start,,14,Successful,0.0,0.0,,
Pass,4511,26,Successful,50.1,49.7,30.8,49
Pass,29106,26,Unsuccessful,30.9,50.4,78.2,73.9
Pass,22079,14,Unsuccessful,24.2,26.1,38.2,29.4
Pass,115916,26,Successful,63.8,72.4,64.4,96
Pass,115726,26,Successful,62.6,93.9,60,84.4
Pass,115916,26,Successful,55.9,79.4,42.2,47.9
Pass,29106,26,Successful,43.2,47.0,41.5,77.8
Pass,95408,26,Successful,42.5,69.1,35.7,42.5
Pass,29106,26,Successful,39.3,36.7,49,44.9
Pass,115916,26,Successful,45.6,47.9,35.4,65.5
Pass,95408,26,Successful,33.3,63.6,6.6,47.5
Pass,73399,26,Successful,6.6,47.3,46.9,43
Pass,109915,26,Unsuccessful,46.8,41.9,54.6,31.8
BallRecovery,299272,14,Successful,43.5,73.0,,
Pass,299272,14,Unsuccessful,44.5,76.4,90.9,65.7
KeeperPickup,73399,26,Successful,8.8,33.4,,
Pass,73399,26,Successful,10.7,40.7,18.8,23
Pass,29106,26,Successful,20.5,19.4,36.2,4.7
Pass,318871,26,Successful,36.4,5.3,33.6,32.8
Pass,115916,26,Unsuccessful,34.0,32.2,45.1,18
Pass,136345,14,Unsuccessful,56.8,79.1,69.2,68
Pass,115916,26,Unsuccessful,35.2,26.5,59.8,28
Pass,317998,14,Successful,40.8,73.8,54.5,64.9
OffsidePass,327683,14,Successful,54.7,64.9,66.6,82.6
OffsideProvoked,95408,26,Successful,34.0,43.4,,
Pass,318871,26,Unsuccessful,35.8,7.1,72.2,13.9
BallRecovery,317998,14,Successful,23.5,80.0,,
Pass,317998,14,Successful,23.5,80.0,28,95.6
Pass,299272,14,Unsuccessful,27.9,96.0,80.2,70.9
BallRecovery,29106,26,Successful,22.8,27.4,,
Pass,29106,26,Successful,21.5,29.4,4.3,49.3
Pass,73399,26,Successful,4.4,49.0,34.6,96.6
Pass,115726,26,Successful,26.2,86.3,19.8,78.4
Pass,95408,26,Successful,20.5,89.9,30.9,97.4
Pass,4511,26,Successful,30.4,97.2,14.6,94.1
Pass,95408,26,Unsuccessful,13.4,87.8,53.3,20.9
Aerial,109915,26,Unsuccessful,52.0,24.0,,
Aerial,299272,14,Successful,48.0,76.0,,
Pass,299272,14,Unsuccessful,49.1,72.6,61.8,75.1
Pass,318871,26,Unsuccessful,38.2,23.6,56.6,25.5
Pass,299272,14,Unsuccessful,46.6,75.6,62.4,64.8
Pass,115916,26,Unsuccessful,38.5,29.8,43.8,18.9
BallTouch,137015,14,Unsuccessful,58.6,75.7,,
Pass,115916,26,Successful,40.2,30.7,54.7,33.4
Pass,108226,26,Successful,55.9,33.7,53.1,42.4
Pass,4511,26,Successful,53.2,46.3,55.5,54.3
Pass,96182,26,Successful,55.0,55.1,60.5,76.7
Pass,115726,26,Successful,61.1,76.7,68.4,60.6
Challenge,327683,14,Unsuccessful,25.2,39.1,,
TakeOn,108226,26,Successful,74.8,60.9,,
Pass,108226,26,Unsuccessful,77.1,58.4,87.1,57.5
BallRecovery,22079,14,Successful,16.3,43.3,,
Pass,22079,14,Successful,15.7,43.7,33.4,54.8
Pass,137015,14,Successful,32.4,55.2,25.3,53
Pass,136345,14,Unsuccessful,28.6,53.4,40.9,66.4
BallRecovery,318871,26,Successful,59.8,28.8,,
Foul,106981,14,Successful,51.4,64.3,,
Foul,29106,26,Unsuccessful,48.6,35.7,,
Pass,317998,14,Successful,41.0,68.7,36.1,44.5
Pass,22079,14,Successful,36.7,40.7,40.2,9.5
Pass,120763,14,Successful,40.1,7.4,64.3,3.7
Dispossessed,331382,14,Successful,62.8,3.8,,
Tackle,115726,26,Successful,37.2,96.2,,
Dispossessed,96182,26,Successful,42.0,95.2,,
Tackle,331382,14,Unsuccessful,58.0,4.8,,
Pass,96182,26,Successful,39.9,94.6,35.2,93.8
BallRecovery,115726,26,Successful,36.9,93.6,,
Pass,115726,26,Successful,36.9,93.6,36.7,89.1
Pass,115916,26,Successful,36.7,89.1,44.5,94.1
BallTouch,96182,26,Unsuccessful,44.5,93.9,,
BallRecovery,327683,14,Successful,48.5,13.5,,
Pass,327683,14,Successful,48.5,13.5,47.2,4
Challenge,4511,26,Unsuccessful,42.6,93.9,,
TakeOn,120763,14,Successful,57.4,6.1,,
Tackle,115916,26,Unsuccessful,39.9,89.0,,
TakeOn,120763,14,Unsuccessful,60.1,11.0,,
BallTouch,120763,14,Successful,61.4,11.8,,
Pass,106413,14,Successful,59.8,19.1,65.7,27
Pass,137015,14,Unsuccessful,65.7,27.1,75.7,28.8
Clearance,95408,26,Successful,24.0,70.6,36.7,57.6
Pass,136345,14,Successful,62.0,40.6,59.4,31
Pass,106413,14,Successful,59.0,31.6,47.7,58.4
Pass,317998,14,Unsuccessful,48.5,58.7,67.7,81.7
BallRecovery,318871,26,Successful,32.9,15.0,,
Pass,318871,26,Unsuccessful,32.9,15.0,80.3,24.1
BallRecovery,317998,14,Successful,17.2,76.4,,
Pass,317998,14,Unsuccessful,21.2,94.4,23.1,97.1
BlockedPass,109915,26,Successful,78.2,3.9,,
Pass,299272,14,Successful,26.8,100.0,33.6,90.3
BallTouch,106413,14,Unsuccessful,30.3,93.6,,
Pass,318871,26,Unsuccessful,74.4,0.0,87.4,19.4
Interception,317998,14,Successful,15.3,81.4,,
Save,19545,14,Successful,3.1,54.8,,
SavedShot,108226,26,Successful,90.9,26.4,,
KeeperPickup,19545,14,Successful,3.1,54.8,,
Pass,19545,14,Successful,12.6,47.3,44.1,10.9
Pass,120763,14,Unsuccessful,44.1,10.9,66.7,5.8
BallRecovery,115726,26,Successful,32.6,95.4,,
Pass,115726,26,Successful,24.6,86.6,8.2,60
OffsideGiven,108226,26,Unsuccessful,77.0,16.2,,
Pass,73399,26,Successful,8.2,60.0,41.1,89.7
Pass,4511,26,Unsuccessful,40.7,89.7,53.9,67.6
Pass,22079,14,Successful,45.0,35.1,58.4,61.2
BallRecovery,137015,14,Successful,56.6,64.9,,
Pass,137015,14,Unsuccessful,53.8,65.4,46.8,88
BallRecovery,109915,26,Successful,55.1,9.2,,
Pass,109915,26,Unsuccessful,57.4,10.3,92.1,40.7
KeeperPickup,19545,14,Successful,8.4,61.4,,
Pass,19545,14,Successful,9.4,60.0,19.7,70.2
Pass,317998,14,Successful,23.0,76.1,27.9,95.3
Pass,299272,14,Successful,22.8,93.8,19.9,82.9
Pass,317998,14,Unsuccessful,19.9,82.9,45.8,79.7
Pass,115916,26,Unsuccessful,59.4,23.0,73.6,0
Pass,299272,14,Unsuccessful,31.8,100.0,52.2,96
Aerial,106981,14,Unsuccessful,52.0,94.8,,
Aerial,115916,26,Successful,48.0,5.2,,
Pass,115916,26,Successful,48.1,6.5,54.7,4
BallRecovery,318871,26,Successful,55.9,4.4,,
OffsideProvoked,317998,14,Successful,23.5,75.7,,
OffsidePass,318871,26,Successful,56.1,4.4,77,16.2
Pass,136345,14,Successful,25.9,71.5,24.1,48.2
Pass,22079,14,Successful,29.1,36.4,38.4,14.3
Pass,120763,14,Successful,37.1,16.2,26.5,28
Pass,22079,14,Unsuccessful,28.0,24.6,63.3,26.5
BallRecovery,95408,26,Successful,38.8,75.1,,
Pass,95408,26,Successful,39.1,74.4,52,65.1
Pass,115916,26,Successful,52.5,64.0,46,63.1
Pass,33568,26,Unsuccessful,47.4,64.8,52.7,77.8
BallTouch,106413,14,Successful,46.2,24.7,,
