Event,Player,Team,Outcome,X,Y,endX,endY
Start,,26,Successful,0.0,0.0,,
Start,,163,Successful,0.0,0.0,,
Pass,68659,26,Successful,50.1,49.9,29,47.8
Pass,74341,26,Unsuccessful,29.3,45.2,71.4,92
Pass,35607,163,Unsuccessful,26.3,9.2,52,11.1
Pass,95408,26,Successful,46.0,87.0,50.4,94.8
Pass,115726,26,Successful,48.9,93.6,52.2,86.8
Pass,115916,26,Successful,48.4,85.3,14.3,51.8
Pass,73399,26,Successful,14.4,46.6,28,14.6
Pass,318871,26,Unsuccessful,31.7,9.1,95.4,25
KeeperPickup,304008,163,Successful,3.5,73.6,,
Pass,304008,163,Unsuccessful,13.8,58.7,57.2,68.2
Aerial,138695,163,Unsuccessful,58.1,71.4,,
Aerial,115916,26,Successful,41.9,28.6,,
Pass,115916,26,Successful,41.0,25.3,35.7,12.6
BallRecovery,318871,26,Successful,35.8,12.6,,
Pass,318871,26,Unsuccessful,39.4,7.1,97.6,27.3
KeeperPickup,304008,163,Successful,8.8,64.5,,
Pass,304008,163,Unsuccessful,18.0,65.1,70.5,77.6
Aerial,138695,163,Unsuccessful,70.4,80.3,,
Aerial,74341,26,Successful,29.6,19.7,,
Pass,74341,26,Unsuccessful,29.6,17.0,38.5,14.1
Pass,90324,163,Unsuccessful,56.2,88.7,56.8,100
Pass,96182,26,Successful,43.7,0.0,23.6,21.9
Pass,74341,26,Successful,24.0,26.5,28.7,69.6
Pass,115726,26,Successful,29.0,66.9,23.6,41.9
Pass,95408,26,Successful,23.7,39.7,33.9,5.2
Pass,318871,26,Successful,34.8,4.7,52.2,9.5
Pass,68659,26,Successful,53.7,5.3,54.1,1.7
Pass,108226,26,Successful,54.1,1.7,46.2,6.4
Pass,318871,26,Successful,51.5,5.8,51,84.4
Pass,115726,26,Successful,63.6,86.6,74.6,77.6
Pass,109915,26,Successful,77.8,75.0,88.5,62.6
Pass,96182,26,Successful,89.8,66.6,81.2,61.5
Pass,109915,26,Successful,81.2,61.5,75.3,49.9
Pass,33568,26,Successful,75.2,48.1,76.2,30
