Event,Player,Team,Outcome,X,Y,endX,endY
Start,,32,Successful,0.0,0.0,,
Start,,26,Successful,0.0,0.0,,
Pass,243254,32,Successful,50.1,49.7,37.4,53.4
Pass,336915,32,Unsuccessful,37.2,53.9,78.5,80.9
Pass,74341,26,Successful,24.4,21.7,36.5,15.7
Pass,68659,26,Unsuccessful,38.2,17.3,46.1,31.2
Pass,336915,32,Successful,56.0,75.0,60.4,80.2
BallTouch,114397,32,Unsuccessful,61.9,83.2,,
Pass,68659,26,Successful,36.5,14.6,29.6,7.3
BallRecovery,318871,26,Successful,30.0,7.4,,
Pass,318871,26,Unsuccessful,30.0,7.4,75.2,46.3
BallRecovery,79554,32,Successful,23.2,55.4,,
Pass,79554,32,Successful,23.2,55.4,25.5,32.4
Pass,100008,32,Unsuccessful,25.5,32.2,63.3,28.2
Clearance,95408,26,Successful,40.9,76.7,46.6,100
Pass,331924,32,Successful,58.8,0.0,69.9,10
Dispossessed,243254,32,Successful,59.0,14.0,,
Tackle,124688,26,Successful,41.0,86.0,,
BallTouch,243254,32,Unsuccessful,65.3,11.6,,
Pass,124688,26,Successful,38.3,80.8,38.9,65.7
BallRecovery,68659,26,Successful,38.9,64.2,,
Pass,68659,26,Successful,38.3,51.5,12.5,56.1
Pass,114147,26,Successful,12.6,56.1,21.2,93.5
Pass,115726,26,Successful,21.2,93.5,13.1,83.5
Pass,95408,26,Successful,12.8,86.2,15.6,96
Pass,115726,26,Successful,16.8,94.5,26.5,75.7
Tackle,336915,32,Unsuccessful,71.2,20.2,,
Dispossessed,33568,26,Successful,28.8,79.8,,
BallTouch,33568,26,Successful,27.1,74.2,,
Pass,336915,32,Successful,70.1,35.7,63.1,22.5
BallRecovery,243254,32,Successful,68.4,12.2,,
Pass,243254,32,Unsuccessful,68.4,12.2,70.8,7.4
Interception,124688,26,Successful,30.3,89.3,,
BallRecovery,115726,26,Successful,23.7,90.6,,
Pass,115726,26,Unsuccessful,23.7,90.6,26.9,92
BlockedPass,331924,32,Successful,74.5,5.8,,
BallTouch,115726,26,Successful,26.9,91.8,,
Pass,124688,26,Successful,31.0,88.3,32.9,92.6
Pass,115726,26,Successful,35.7,91.8,36.3,86.3
BallTouch,124688,26,Successful,37.6,89.1,,
Pass,331924,32,Unsuccessful,48.0,0.0,58.9,4.3
