Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,36.6,63.6,20.9,60.3
Pass,89401,13,Successful,51.5,95.4,56.6,93.8
Pass,89401,13,Successful,24.9,41.3,34.8,41.2
Pass,89401,13,Successful,42.6,24.9,31.3,14.4
Pass,89401,13,Successful,33.5,33.3,39,82.6
Pass,89401,13,Unsuccessful,99.5,0.5,96.6,47.9
Pass,89401,13,Successful,45.4,59.7,47.5,56.1
Pass,89401,13,Successful,16.9,94.1,18.1,98
Pass,89401,13,Successful,30.3,68.1,31.1,59.9
Pass,89401,13,Successful,56.0,24.4,36.9,67
Pass,89401,13,Successful,32.2,71.4,33.9,56.7
BallTouch,89401,13,Unsuccessful,28.8,55.3,,
Error,89401,13,Successful,26.7,57.8,,
Pass,89401,13,Successful,41.8,50.1,45.8,93.8
Pass,89401,13,Successful,46.8,42.7,44.8,8.9
Pass,89401,13,Successful,51.6,31.2,72.5,99.1
Pass,89401,13,Successful,27.0,74.4,26.9,59.4
Pass,89401,13,Successful,73.8,36.9,86.1,22.7
Pass,89401,13,Unsuccessful,69.8,42.1,69.7,46.9
Pass,89401,13,Successful,37.3,51.9,48.3,73.3
Pass,89401,13,Successful,63.7,20.9,69.2,19.8
Pass,89401,13,Successful,47.1,42.1,63.1,98.1
Pass,89401,13,Successful,35.1,60.9,60,30.9
Pass,89401,13,Successful,53.5,40.7,62.4,8.5
Pass,89401,13,Successful,35.0,41.2,48.1,41.9
Pass,89401,13,Successful,38.0,37.9,40.2,53.1
Pass,89401,13,Successful,52.9,74.7,42.9,90.5
Pass,89401,13,Successful,45.7,73.8,43.1,83.9
Pass,89401,13,Successful,55.2,63.9,60.8,90.2
Pass,89401,13,Successful,54.7,57.0,51.5,48.5
Pass,89401,13,Successful,41.3,38.6,44,6.5
Pass,89401,13,Successful,45.6,35.8,45.3,74.5
Pass,89401,13,Successful,57.6,66.9,69.1,70.3
Pass,89401,13,Successful,19.0,89.3,18.1,98.1
Pass,89401,13,Unsuccessful,27.5,78.4,34.5,75.7
Pass,89401,13,Successful,35.2,79.3,32.3,97.7
Pass,89401,13,Successful,32.5,39.2,24.9,32.5
Pass,89401,13,Unsuccessful,80.5,46.7,100,69.6
Pass,89401,13,Successful,37.0,42.7,45.3,6.4
Pass,89401,13,Successful,46.9,28.6,55.9,4.9
Pass,89401,13,Successful,47.2,27.6,52.5,54.2
Pass,89401,13,Successful,61.1,57.2,56.5,93.5
Pass,89401,13,Successful,42.5,63.4,61.8,64
Pass,89401,13,Successful,38.2,49.3,38.3,15.5
Pass,89401,13,Successful,51.8,42.2,71.7,96
Pass,89401,13,Successful,60.6,61.8,59.4,59.3
Pass,89401,13,Successful,47.5,100.0,43.5,90.9
Pass,89401,13,Successful,52.0,77.6,42.2,55.5
Pass,89401,13,Successful,53.8,67.5,64.6,98.1
Pass,89401,13,Successful,61.2,66.7,57.7,14.1
Pass,89401,13,Successful,38.6,68.1,33.9,48.5
Pass,89401,13,Successful,59.8,81.4,69.6,86.5
BallTouch,89401,13,Unsuccessful,68.7,50.1,,
Pass,89401,13,Successful,65.5,54.3,63.1,43.3
Pass,89401,13,Successful,59.9,68.1,68.8,91.7
Pass,89401,13,Successful,61.9,68.8,73.4,78.1
Pass,89401,13,Unsuccessful,39.6,78.5,57.6,77.6
Pass,89401,13,Successful,57.7,30.7,63.8,22.4
Pass,89401,13,Unsuccessful,51.0,44.0,74.3,21.9
Pass,89401,13,Successful,62.2,57.0,66.1,81.5
Pass,89401,13,Unsuccessful,68.9,45.6,69.9,42.1
Pass,89401,13,Successful,25.4,63.3,3.7,32.2
Pass,89401,13,Unsuccessful,29.8,69.3,35.2,76.7
Pass,89401,13,Successful,27.5,79.1,30.3,92.7
Pass,89401,13,Successful,53.1,43.1,63.4,64.6
Pass,89401,13,Successful,34.7,38.3,29.7,27.9
