Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,59.8,36.4,46,56.6
Pass,89401,13,Successful,65.2,65.8,70.7,96
Pass,89401,13,Successful,75.0,80.2,89.4,23.1
Pass,89401,13,Successful,44.2,64.9,50.7,52
Pass,89401,13,Unsuccessful,46.4,60.0,53.5,15.9
Pass,89401,13,Successful,41.6,50.4,32.5,59.6
Pass,89401,13,Successful,39.7,70.2,52.5,70.5
Pass,89401,13,Successful,53.2,80.8,73.8,4.6
Pass,89401,13,Successful,63.5,80.3,53.1,56.4
Pass,89401,13,Successful,66.1,71.7,85.6,96.2
Pass,89401,13,Unsuccessful,99.4,0.5,97,100
Pass,89401,13,Successful,67.6,47.6,62.4,21.6
Pass,89401,13,Successful,59.9,61.4,59.2,82.4
Pass,89401,13,Successful,54.4,47.8,63.4,35.2
Pass,89401,13,Successful,66.3,76.0,67.4,58.1
Pass,89401,13,Successful,63.3,46.1,73.7,12.8
Pass,89401,13,Successful,78.8,35.5,85.2,39.4
Pass,89401,13,Unsuccessful,63.9,66.6,91.9,53.6
Pass,89401,13,Successful,48.5,83.9,94,2.5
Pass,89401,13,Successful,39.0,56.0,29.9,12.8
Pass,89401,13,Successful,64.1,47.9,74.7,97.1
Pass,89401,13,Successful,32.1,72.3,38.6,88
Pass,89401,13,Successful,47.2,86.3,59.4,73.3
Pass,89401,13,Successful,64.1,73.3,70.2,71.1
Pass,89401,13,Successful,63.9,71.2,69.2,62.1
Pass,89401,13,Successful,65.7,64.6,45.5,23.9
Pass,89401,13,Successful,59.1,69.1,66.1,12.5
Pass,89401,13,Successful,71.1,34.2,69.8,7.6
Pass,89401,13,Successful,53.8,55.8,63.4,62.9
Pass,89401,13,Unsuccessful,54.3,63.7,58.6,83.5
Pass,89401,13,Successful,41.0,62.4,54.2,64.8
Pass,89401,13,Successful,57.9,65.7,66,40.1
Pass,89401,13,Unsuccessful,72.1,34.8,93.6,25.5
Pass,89401,13,Successful,43.5,33.0,56.9,56.9
Pass,89401,13,Successful,63.4,39.1,71.4,38.5
Pass,89401,13,Successful,55.0,43.9,65.4,26.2
Pass,89401,13,Successful,71.3,67.3,79.3,75.7
Pass,89401,13,Unsuccessful,99.5,99.5,92.7,59.1
Pass,89401,13,Successful,29.3,54.8,33.8,40.1
Pass,89401,13,Successful,25.1,41.3,11.7,50.1
Pass,89401,13,Unsuccessful,30.2,53.6,29.3,8.5
Error,89401,13,Successful,30.9,49.6,,
Pass,89401,13,Successful,41.8,48.2,45.1,23.1
Pass,89401,13,Successful,68.7,10.7,72.7,3.8
Pass,89401,13,Successful,64.5,47.2,68.4,39.4
Pass,89401,13,Unsuccessful,26.7,75.1,36.4,64.3
Pass,89401,13,Successful,34.0,70.9,30.2,37.9
Pass,89401,13,Successful,53.8,61.8,64.9,73
Pass,89401,13,Unsuccessful,34.3,63.1,81.7,78.1
Pass,89401,13,Successful,62.6,72.0,66.5,79.7
Pass,89401,13,Successful,22.7,77.8,32.8,20.1
Pass,89401,13,Successful,68.0,70.5,83.6,81.4
Pass,89401,13,Successful,99.5,0.5,94.4,6.2
Pass,89401,13,Successful,82.5,10.0,76.5,32.2
Pass,89401,13,Successful,99.5,99.5,94.4,98.1
Pass,89401,13,Successful,80.1,89.7,68.3,41.8
Pass,89401,13,Successful,69.2,79.1,64.6,63.4
BallTouch,89401,13,Unsuccessful,59.9,60.6,,
Pass,89401,13,Successful,62.3,73.9,74.9,78.8
Pass,89401,13,Successful,62.4,80.2,56.1,61.1
Pass,89401,13,Unsuccessful,76.4,74.8,73.3,58.1
Pass,89401,13,Successful,76.0,85.1,78.5,57.6
Pass,89401,13,Unsuccessful,35.0,20.7,29.6,0
Pass,89401,13,Successful,53.8,41.2,56.8,33.9
Pass,89401,13,Successful,44.2,56.1,37.3,71.5
Pass,89401,13,Successful,62.2,33.4,61.5,4.3
Pass,89401,13,Successful,62.4,17.0,54.5,17
Pass,89401,13,Successful,58.3,25.6,70.1,3.4
Pass,89401,13,Unsuccessful,61.0,24.6,70.7,22.5
Pass,89401,13,Successful,59.4,82.9,57.2,93.3
Pass,89401,13,Unsuccessful,69.7,38.8,75,63.9
Pass,89401,13,Successful,41.6,39.1,48,19.2
Pass,89401,13,Successful,50.6,45.2,87.6,77.2
Pass,89401,13,Successful,33.2,47.9,38.5,11.3
Pass,89401,13,Successful,60.9,87.5,62.6,97.2
Pass,89401,13,Successful,60.3,30.7,67.4,59.1
Pass,89401,13,Unsuccessful,46.5,82.4,72.8,64.9
Pass,89401,13,Successful,59.9,68.2,70.2,63.4
Pass,89401,13,Successful,67.6,50.6,70,38.8
Pass,89401,13,Successful,61.8,73.6,77.1,97.2
Pass,89401,13,Successful,99.5,99.5,77.3,1.1
Pass,89401,13,Successful,46.7,69.3,57.7,76.7
Pass,89401,13,Successful,55.8,66.4,67.4,6.2
Pass,89401,13,Successful,65.0,44.2,66.1,71.1
Pass,89401,13,Unsuccessful,40.1,64.0,69.7,71.7
BallTouch,89401,13,Successful,28.9,42.7,,
Pass,89401,13,Successful,41.8,42.2,81.2,81.2
Pass,89401,13,Unsuccessful,38.6,31.8,49.1,58.5
Pass,89401,13,Successful,45.8,70.2,59,76.6
Pass,89401,13,Successful,70.2,57.6,70,41.2
Pass,89401,13,Successful,59.9,100.0,49.3,91.4
Pass,89401,13,Successful,81.7,98.0,73.8,93.5
Pass,89401,13,Successful,99.5,99.5,69.4,70
Pass,89401,13,Unsuccessful,51.4,83.3,94.7,65.8
Pass,89401,13,Unsuccessful,29.2,79.7,34.7,100
Pass,89401,13,Successful,70.4,67.5,84.8,70
Pass,89401,13,Successful,78.0,52.5,77.4,31.3
Pass,89401,13,Successful,35.4,63.9,72.4,8
Pass,89401,13,Unsuccessful,71.1,65.8,78.7,62.1
Pass,89401,13,Successful,70.1,47.0,64.2,20.3
Pass,89401,13,Successful,99.7,0.4,92.9,63.4
Pass,89401,13,Successful,76.5,63.3,89,35.7
Pass,89401,13,Successful,56.6,74.4,50.6,53.8
Pass,89401,13,Successful,99.5,0.5,92.5,53
Pass,89401,13,Successful,33.2,28.3,33.3,5.5
Pass,89401,13,Successful,65.9,32.4,61.3,3.4
Pass,89401,13,Successful,52.4,84.3,50,91.9
Pass,89401,13,Unsuccessful,27.6,67.5,54.5,80.6
Pass,89401,13,Successful,56.3,48.1,73.3,41.9
