Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Successful,38.4,39.1,22,29.4
Pass,89401,13,Successful,54.3,73.8,41.1,72.4
Pass,89401,13,Successful,59.2,58.1,68.8,52.5
Pass,89401,13,Successful,60.7,40.7,65,4.6
Pass,89401,13,Successful,64.4,34.0,66.8,28.2
Pass,89401,13,Successful,55.2,43.1,66.7,37.1
Pass,89401,13,Successful,54.9,42.4,67.9,44.9
Pass,89401,13,Successful,64.9,66.4,69,55.8
Pass,89401,13,Successful,43.1,38.9,63.3,26.2
Pass,89401,13,Successful,67.1,49.7,68.9,40.1
Pass,89401,13,Successful,37.8,33.3,60.1,36.1
Pass,89401,13,Successful,57.2,64.9,65.2,52.7
Pass,89401,13,Successful,63.6,74.2,72.4,96.9
Pass,89401,13,Successful,38.8,44.8,35.6,33.9
Pass,89401,13,Successful,45.4,46.9,33.4,30.6
Pass,89401,13,Successful,74.5,19.5,73.7,4.9
Pass,89401,13,Successful,46.6,48.4,74.9,85.1
Pass,89401,13,Unsuccessful,59.6,70.6,67.5,67.3
Pass,89401,13,Successful,43.9,92.3,38.1,63.3
Pass,89401,13,Successful,45.3,71.7,52.1,98
Pass,89401,13,Successful,44.1,66.9,59.4,98.3
Pass,89401,13,Successful,44.0,81.1,46.6,97.1
Pass,89401,13,Successful,26.9,44.8,19.3,28.3
Pass,89401,13,Successful,31.2,44.7,18.7,27
Pass,89401,13,Successful,24.2,63.4,51.6,74.1
Pass,89401,13,Successful,34.0,42.4,75.9,41.3
Pass,89401,13,Successful,4.8,80.0,13.9,98
Pass,89401,13,Successful,7.7,80.6,13.6,97.5
Pass,89401,13,Successful,33.6,63.6,45.5,65.5
Pass,89401,13,Successful,46.9,77.8,39.9,69.1
Pass,89401,13,Successful,62.6,82.7,75.2,96.3
Pass,89401,13,Successful,60.6,60.8,64.4,70.5
Pass,89401,13,Unsuccessful,32.1,75.7,71,77.3
BallTouch,89401,13,Unsuccessful,24.3,75.3,,
Error,89401,13,Successful,24.3,75.3,,
Pass,89401,13,Successful,44.1,63.3,61.4,51.6
Pass,89401,13,Successful,64.6,41.8,63,37.4
Pass,89401,13,Successful,46.7,17.7,55.5,43.1
Pass,89401,13,Successful,45.0,91.4,50.6,96
Pass,89401,13,Unsuccessful,44.6,33.0,78,63
Pass,89401,13,Successful,73.6,56.4,78.3,74.2
Pass,89401,13,Successful,72.0,66.3,77.5,71.5
Pass,89401,13,Successful,71.2,61.2,90.2,87.2
Pass,89401,13,Successful,68.2,69.6,76.8,69.3
Pass,89401,13,Successful,66.6,19.4,77,3.8
Pass,89401,13,Successful,46.5,82.3,49.9,91.4
Pass,89401,13,Successful,67.4,16.8,62,10.4
Pass,89401,13,Successful,70.0,6.2,66.3,13.1
Pass,89401,13,Successful,70.0,6.4,72.5,1.9
Pass,89401,13,Successful,62.8,13.5,48.7,21
Pass,89401,13,Successful,22.6,73.8,44.1,88.4
Pass,89401,13,Successful,54.2,40.9,57.5,53.3
Pass,89401,13,Successful,30.1,35.1,9.4,58.1
BallTouch,89401,13,Successful,55.2,47.8,,
Pass,89401,13,Successful,55.3,92.1,57.4,98
