Event,Player,Team,Outcome,X,Y,endX,endY
Pass,89401,13,Unsuccessful,47.1,51.2,44.6,56.9
Pass,89401,13,Successful,37.1,39.8,27,17.6
Pass,89401,13,Successful,39.8,56.4,46.6,92.7
Pass,89401,13,Successful,46.7,73.8,54.4,63.6
Pass,89401,13,Successful,53.5,77.8,59.9,96.5
Pass,89401,13,Successful,55.2,74.1,43.8,59.4
Pass,89401,13,Successful,57.2,64.0,71.6,54.6
Pass,89401,13,Successful,57.9,9.1,70.3,2.8
Pass,89401,13,Successful,54.3,13.8,37.3,27.9
Pass,89401,13,Successful,53.5,46.6,69.6,33
Pass,89401,13,Successful,65.5,35.2,70.4,14.1
Pass,89401,13,Successful,51.9,45.4,67.5,72.6
Pass,89401,13,Successful,67.3,29.5,93.3,13.8
Pass,89401,13,Successful,84.9,24.6,87.5,16.1
Pass,89401,13,Successful,31.9,34.2,44.2,39.8
Pass,89401,13,Successful,45.8,40.1,29.6,42.4
Pass,89401,13,Successful,58.1,49.6,46.5,56.6
Pass,89401,13,Successful,61.1,40.4,65.8,27.9
Pass,89401,13,Successful,71.2,28.3,84.3,6.1
Pass,89401,13,Successful,70.9,21.3,62.4,62.4
Pass,89401,13,Successful,68.2,46.6,78.4,38.2
Pass,89401,13,Successful,87.4,4.4,91.2,2.8
Pass,89401,13,Successful,71.4,4.7,56.7,27.9
Pass,89401,13,Successful,68.4,44.3,77.1,48.1
Pass,89401,13,Successful,65.2,74.4,58.2,81.4
Pass,89401,13,Successful,64.2,67.9,54.1,58.7
Pass,89401,13,Successful,63.8,64.3,55.4,75.9
Pass,89401,13,Successful,57.7,40.7,55.3,20.1
Pass,89401,13,Successful,66.0,21.2,43.5,26.5
Pass,89401,13,Successful,79.1,73.8,71.4,76.9
Pass,89401,13,Successful,65.8,35.4,71.3,2.6
Pass,89401,13,Successful,61.6,38.0,61.3,89.6
Pass,89401,13,Successful,41.1,65.5,46.4,95.4
Pass,89401,13,Successful,52.1,63.4,36.2,33.7
Pass,89401,13,Successful,82.4,81.7,76.2,74.5
Pass,89401,13,Successful,66.8,49.4,82.6,91.4
Pass,89401,13,Successful,75.1,86.9,70.5,97.8
Pass,89401,13,Unsuccessful,64.1,65.5,67,72.6
Error,89401,13,Successful,18.5,22.5,,
Pass,89401,13,Successful,69.9,35.7,74.8,21.3
Pass,89401,13,Successful,42.6,27.3,66.7,3.8
Pass,89401,13,Successful,60.2,31.6,64,47.6
Pass,89401,13,Successful,67.6,48.4,68.4,25.6
Pass,89401,13,Successful,73.1,33.7,78.3,41.9
Pass,89401,13,Successful,73.5,35.1,85.8,78.2
Pass,89401,13,Successful,83.3,81.5,71.7,87.2
Pass,89401,13,Successful,73.3,94.5,70,86
Pass,89401,13,Unsuccessful,89.2,2.0,91.9,49.6
Pass,89401,13,Successful,28.8,31.3,20.1,44.5
Pass,89401,13,Successful,65.1,74.5,74.3,67.2
Pass,89401,13,Successful,65.4,73.0,76.1,95.3
Pass,89401,13,Successful,66.1,67.3,77.7,98
Pass,89401,13,Successful,66.3,73.8,55.8,66.1
Pass,89401,13,Successful,64.6,86.2,73.9,97.8
